rank,施設名,利用者数合計,対象施設フラグ
1,奈良市立都祁診療所,5872.0,0
2,医療法人正和会野村医院,5254.0,0
3,社会医療法人畿内会 岡波総合病院,4964.0,0
4,奈良市立月ヶ瀬診療所,2190.0,1
5,山添村国民健康保険豊原診療所,1591.0,0
6,山添村国民健康保険東山診療所,1569.0,0
7,伊賀市立上野総合市民病院,1454.0,0
8,奈良市立柳生診療所,1097.0,0
9,あずまクリニック,1071.0,0
10,山添村国民健康保険波多野診療所,869.0,0
11,医療法人 伊左治医院,472.0,0
12,医療法人アクアクリニック伊賀,460.0,0
13,医療法人友和会 竹沢内科歯科医院,342.0,0
14,梨ノ木診療所,298.0,0
15,佐々木内科,283.0,0
16,奈良市立田原診療所,247.0,0
17,ひらい小児科クリニック,241.0,0
18,奈良市立興東診療所,238.0,0
19,医療法人森川病院,226.0,0
20,はしもと総合診療クリニック,223.0,0
21,医療法人 泉澄会 亀田クリニック,183.0,0
22,おおのクリニック,171.0,0
23,医療法人社団馬岡医院,168.0,0
24,滝井医院,119.0,0
25,竹代クリニック,116.0,0
26,ゆめが丘クリニック,106.0,0
27,宮本医院,75.0,0
28,嶋地医院,63.0,0
29,広瀬医院,61.0,0
30,森田クリニック,60.0,0
31,桔梗往診クリニック24,53.0,0
32,医療法人佐那具医院,52.0,0
33,桔梗が丘四番町診療所,43.0,0
34,西田整形外科医院,41.0,0
35,一般財団法人信貴山病院分院上野病院,38.0,0
36,まちしクリニック,16.0,0
37,しみずハートクリニック,0.0,0
38,伊藤医院,0.0,0
39,医療法人阿山共生会 河合診療所,0.0,0
40,伊賀市応急診療所,0.0,0
41,医療法人 竹澤内科小児科医院,0.0,0
42,医療法人中産婦人科緑ケ丘クリニック,0.0,0
43,医療法人喜多医院,0.0,0
44,矢倉医院,0.0,0
45,あずま診療所,0.0,0
46,大西医院,0.0,0
47,松本胃腸内科,0.0,0
48,吉村クリニック,0.0,0
49,猪木内科医院,0.0,0
50,竹沢医院,0.0,0
51,谷本整形,0.0,0
