TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,あずまクリニック,あずま診療所,おおのクリニック,しみずハートクリニック,はしもと総合診療クリニック,ひらい小児科クリニック,まちしクリニック,ゆめが丘クリニック,一般財団法人信貴山病院分院上野病院,伊藤医院,伊賀市応急診療所,伊賀市立上野総合市民病院,佐々木内科,医療法人 伊左治医院,医療法人 泉澄会 亀田クリニック,医療法人 竹澤内科小児科医院,医療法人アクアクリニック伊賀,医療法人中産婦人科緑ケ丘クリニック,医療法人佐那具医院,医療法人友和会 竹沢内科歯科医院,医療法人喜多医院,医療法人森川病院,医療法人正和会野村医院,医療法人社団馬岡医院,医療法人阿山共生会 河合診療所,吉村クリニック,大西医院,奈良市立月ヶ瀬診療所,奈良市立柳生診療所,奈良市立田原診療所,奈良市立興東診療所,奈良市立都祁診療所,宮本医院,山添村国民健康保険東山診療所,山添村国民健康保険波多野診療所,山添村国民健康保険豊原診療所,嶋地医院,広瀬医院,松本胃腸内科,桔梗が丘四番町診療所,桔梗往診クリニック24,梨ノ木診療所,森田クリニック,滝井医院,猪木内科医院,矢倉医院,社会医療法人畿内会 岡波総合病院,竹代クリニック,竹沢医院,西田整形外科医院,谷本整形,LON,LAT,dist_km,total_patients,town,town_norm,match_type
29201867000,奈良市,月ヶ瀬尾山,奈良市,月ヶ瀬尾山,奈良市月ヶ瀬尾山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,127.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,1439.0,0.0,0.0,0.0,0.0,136.04743329693437,34.710059653154964,0.28328643857498115,2799.0,奈良市月ヶ瀬尾山,奈良市月ヶ瀬尾山,code_in_car30
29201866000,奈良市,月ヶ瀬長引,奈良市,月ヶ瀬長引,奈良市月ヶ瀬長引,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.03781692273103,34.718211065876545,1.0095616805705576,724.0,奈良市月ヶ瀬長引,奈良市月ヶ瀬長引,code_in_car30
29201868000,奈良市,月ヶ瀬嵩,奈良市,月ヶ瀬嵩,奈良市月ヶ瀬嵩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,136.03240359948254,34.701246168563216,1.5548260774152372,74.0,奈良市月ヶ瀬嵩,奈良市月ヶ瀬嵩,code_in_car30
29322012000,山添村,大字遅瀬,山添村,大字遅瀬,山添村大字遅瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,136.04855463284915,34.69596538230586,1.7135855114178826,1021.0,山添村大字遅瀬,山添村遅瀬,code_in_car30
29201865000,奈良市,月ヶ瀬石打,奈良市,月ヶ瀬石打,奈良市月ヶ瀬石打,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,966.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,0.0,0.0,0.0,0.0,136.05695726526014,34.724145351866675,1.8472221782121536,2978.0,奈良市月ヶ瀬石打,奈良市月ヶ瀬石打,code_in_car30
29322011000,山添村,大字下津,山添村,大字下津,山添村大字下津,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.03523494862466,34.68926836160803,2.5649239314987415,0.0,山添村大字下津,山添村下津,code_in_car30
29322013000,山添村,大字中峰山,山添村,大字中峰山,山添村大字中峰山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,75.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,136.06711962465397,34.692878796417396,2.8847849836834047,517.0,山添村大字中峰山,山添村中峰山,code_in_car30
29201869000,奈良市,月ヶ瀬月瀬,奈良市,月ヶ瀬月瀬,奈良市月ヶ瀬月瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,0.0,136.01877880639387,34.69546619687424,2.9237721696693826,546.0,奈良市月ヶ瀬月瀬,奈良市月ヶ瀬月瀬,code_in_car30
29322008000,山添村,大字大西,山添村,大字大西,山添村大字大西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,72.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,66.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,42.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,136.04085918797531,34.68272863845616,3.164346986425996,605.0,山添村大字大西,山添村大西,code_in_car30
29322007000,山添村,大字春日,山添村,大字春日,山添村大字春日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,136.0509060179404,34.6807334869031,3.4175591382625954,1486.0,山添村大字春日,山添村春日,code_in_car30
