town_name_show,dist_km,医療法人正和会野村医院,社会医療法人畿内会 岡波総合病院,奈良市立月ヶ瀬診療所,奈良市立都祁診療所,山添村国民健康保険豊原診療所,山添村国民健康保険東山診療所,伊賀市立上野総合市民病院,あずまクリニック,奈良市立柳生診療所,山添村国民健康保険波多野診療所
奈良市月ヶ瀬尾山,0.28328643857498115,0.0,1439.0,630.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0
奈良市月ヶ瀬長引,1.0095616805705576,0.0,0.0,184.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0
奈良市月ヶ瀬嵩,1.5548260774152372,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字遅瀬,1.7135855114178826,379.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市月ヶ瀬石打,1.8472221782121536,0.0,1216.0,966.0,0.0,0.0,0.0,54.0,473.0,146.0,0.0
山添村大字下津,2.5649239314987415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字中峰山,2.8847849836834047,40.0,228.0,53.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0
奈良市月ヶ瀬月瀬,2.9237721696693826,0.0,337.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
山添村大字大西,3.164346986425996,193.0,34.0,42.0,0.0,57.0,0.0,66.0,0.0,20.0,0.0
山添村大字春日,3.4175591382625954,1149.0,212.0,0.0,0.0,75.0,0.0,50.0,0.0,0.0,0.0
山添村大字上津,3.7294110342287445,0.0,48.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,80.0
山添村大字中之庄,4.087719952994812,47.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
奈良市月ヶ瀬桃香野,4.105738501601396,0.0,128.0,76.0,0.0,0.0,0.0,200.0,52.0,54.0,0.0
山添村大字吉田,4.113287732682474,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
山添村大字広代,4.175448068807403,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字菅生,4.81751496557109,842.0,366.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0
山添村大字広瀬,5.000307285650483,209.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,169.0
山添村大字大塩,5.056077441601417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字片平,5.390634950280089,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
山添村大字箕輪,5.7787675564417285,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0
山添村大字堂前,5.862845408765241,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字鵜山,5.895292018778046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
山添村大字北野,5.986168028311662,106.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0
奈良市邑地町,6.40811460228118,0.0,0.0,0.0,40.0,0.0,21.0,0.0,0.0,504.0,0.0
山添村大字葛尾,6.428844811537325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字三ケ谷,6.670346897913061,396.0,71.0,0.0,0.0,657.0,67.0,0.0,0.0,0.0,53.0
山添村大字伏拝,6.8912887793906155,186.0,144.0,10.0,0.0,105.0,48.0,0.0,0.0,0.0,0.0
山添村大字桐山,7.045568740488439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字勝原,7.05254252083452,365.0,0.0,0.0,0.0,51.0,0.0,120.0,0.0,0.0,200.0
奈良市北野山町,7.085122640603601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字助命,7.320882162006038,0.0,14.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
奈良市興ヶ原町,7.448038749885856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
奈良市丹生町,7.577399317936343,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,24.0,0.0
