facility,total_patients,top3_frequency
医療法人邦友会 湯河原循環器クリニック,27752.0,16
医療法人 同愛会 小澤病院,26702.0,27
独立行政法人地域医療機能推進機構 湯河原病院,18826.0,11
国際医療福祉大学熱海病院,18545.0,12
湯河原胃腸病院,15737.0,8
小田原市立病院,15588.0,17
真鶴町国民健康保険診療所,14814.0,2
こまつクリニック,14567.0,4
訪問診療めじろクリニック,10323.0,2
YKいわさきクリニック,7677.0,1
本多記念青野クリニック,5276.0,5
五十子内科医院,4584.0,2
山近記念クリニック,4480.0,2
医療法人社団 川_内科医院,3816.0,2
杏林堂クリニック,3724.0,2
河西クリニック,3701.0,0
小田原市休日夜間急患診療所,3560.0,4
医療法人社団 帰陽会 丹羽病院,2711.0,1
城山クリニック,2711.0,1
森本内科医院,2667.0,1
久保クリニック,2633.0,3
独立行政法人国立病院機構 箱根病院,2486.0,3
湯河原ホームクリニック,2270.0,0
小田原銀座クリニック,2195.0,0
おだわら泌尿器科・内科クリニック,2189.0,1
医療法人尽誠会 山近記念総合病院,2138.0,0
医療法人 高見澤クリニック,2012.0,3
浜辺の診療所,1933.0,0
菊地医院,1925.0,3
医療法人社団ちとせ会 熱海ちとせ病院,1764.0,0
医療法人社団伊豆七海会 熱海所記念病院,1745.0,0
朝倉医院,1740.0,0
医療法人山田クリニック,1666.0,1
西湘診療所,1635.0,1
しみず扇町クリニック,1593.0,0
医療法人 小林病院,1052.0,1
仁天堂医院,993.0,1
鴨宮クリニック,949.0,0
窪倉医院,878.0,2
扇町しらさぎ内科クリニック,760.0,0
小田原レディスクリニック,730.0,0
医療法人社団 雨宮内科医院,699.0,0
安間医院,677.0,0
さかわ内科クリニック,662.0,0
清水内科クリニック,620.0,0
鴨宮さとう内科クリニック,551.0,0
医療法人 武井内科医院,550.0,0
医療法人社団 福井内科消化器科クリニック,456.0,0
いがらし胃腸科内科クリニック,398.0,0
ひまわりメンタルクリニック,346.0,0
医療法人財団報徳会 西湘病院,333.0,0
特定医療法人社団研精会 箱根リハビリテーション病院附属ゆい小田原クリニック,323.0,0
循環器中町クリニック,315.0,0
クリニック山田,207.0,0
小島クリニック,196.0,0
古藤内科小児科クリニック,179.0,0
医療法人社団湘星会 小田原腎内科クリニック,176.0,0
漢和クリニック,147.0,0
あおぞらクリニック,108.0,0
川邊小児科内科医院,0.0,0
