TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,あおぞらクリニック,いがらし胃腸科内科クリニック,おだわら泌尿器科・内科クリニック,こまつクリニック,さかわ内科クリニック,さくら醫院,しみず扇町クリニック,なでしこクリニックあたみ,ひまわりメンタルクリニック,クリニック山田,一般財団法人生活保健協会 湯河原中央温泉病院,一般財団法人長寿会 長寿園診療所,久保クリニック,五十子内科医院,仁天堂医院,医療法人 同愛会 小澤病院,医療法人 小林病院,医療法人 武井内科医院,医療法人 社団 山口医院,医療法人 高見澤クリニック,医療法人尽誠会 山近記念総合病院,医療法人山田クリニック,医療法人社団 川_内科医院,医療法人社団 帰陽会 丹羽病院,医療法人社団 福井内科消化器科クリニック,医療法人社団 雨宮内科医院,医療法人社団ちとせ会 熱海ちとせ病院,医療法人社団伊豆七海会 熱海 海の見える病院,医療法人社団伊豆七海会 熱海所記念病院,医療法人社団慈生会 ライフケア診療所,医療法人社団栄友会 熱海ゆずクリニック,医療法人社団湘星会 小田原腎内科クリニック,医療法人社団綾和会 間中病院,医療法人財団報徳会 西湘病院,医療法人邦友会 湯河原循環器クリニック,古藤内科小児科クリニック,国際医療福祉大学熱海病院,土屋医院,城山クリニック,多田医院,太陽の門,安井医院,安間医院,小島クリニック,小澤医院,小田原レディスクリニック,小田原医院,小田原市休日夜間急患診療所,小田原市国民健康保険片浦診療所,小田原市立病院,小田原甲状腺クリニック,小田原銀座クリニック,山近記念クリニック,川邊小児科内科医院,循環器中町クリニック,扇町しらさぎ内科クリニック,朝倉医院,本多記念青野クリニック,杏林堂クリニック,梅園ヘルスケアクリニック,森本内科医院,河西クリニック,浜辺の診療所,清水内科クリニック,湘南こいじクリニック,湘南大磯二宮クリニック,湯河原ゆうゆうの里診療所,湯河原クリニック,湯河原ホームクリニック,湯河原胃腸病院,漢和クリニック,特定医療法人社団研精会 箱根リハビリテーション病院附属ゆい小田原クリニック,独立行政法人国立病院機構 箱根病院,独立行政法人地域医療機能推進機構 湯河原病院,真鶴町国民健康保険診療所,窪倉医院,菊地医院,西川内科医院,西湘診療所,訪問診療めじろクリニック,谷口外科医院,霜島内科医院,鴨宮さとう内科クリニック,鴨宮クリニック,YKいわさきクリニック,LON,LAT,dist_km,total_patients,town,town_norm,match_type
14383002000,真鶴町,岩,真鶴町,岩,真鶴町岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,95.0,0.0,273.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,395.0,0.0,0.0,0.0,40.0,76.0,0.0,49.0,45.0,0.0,0.0,62.0,0.0,119.0,0.0,108.0,0.0,0.0,0.0,1175.0,0.0,1289.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,559.0,0.0,38.0,94.0,0.0,0.0,0.0,1105.0,0.0,150.0,0.0,42.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,40.0,0.0,0.0,1240.0,4451.0,0.0,0.0,0.0,0.0,595.0,0.0,0.0,0.0,38.0,238.0,139.13643807708206,35.15764895886243,0.17405757441757636,13141.0,真鶴町岩,真鶴町岩,code_in_car30
14384008000,湯河原町,福浦,湯河原町,福浦,湯河原町福浦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,354.0,0.0,397.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,626.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,244.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,49.0,1091.0,186.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,59.0,431.0,139.1316694497097,35.15233842502327,0.6272442929272602,6223.0,湯河原町福浦,湯河原町福浦,code_in_car30
14383001000,真鶴町,真鶴,真鶴町,真鶴,真鶴町真鶴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,51.0,140.0,524.0,195.0,0.0,263.0,0.0,70.0,64.0,0.0,0.0,100.0,280.0,0.0,498.0,51.0,106.0,0.0,91.0,376.0,0.0,177.0,0.0,48.0,0.0,0.0,0.0,97.0,50.0,64.0,66.0,0.0,57.0,3627.0,0.0,2965.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,359.0,50.0,0.0,878.0,0.0,53.0,613.0,0.0,0.0,64.0,635.0,0.0,361.0,51.0,181.0,775.0,139.0,70.0,0.0,0.0,45.0,0.0,204.0,1475.0,0.0,0.0,0.0,2146.0,8772.0,0.0,0.0,0.0,71.0,243.0,70.0,0.0,0.0,66.0,1233.0,139.1430515565636,35.150867490140385,1.0668855988871966,28977.0,真鶴町真鶴,真鶴町真鶴,code_in_car30
14384007003,湯河原町,吉浜,湯河原町,吉浜,湯河原町吉浜,神奈川県,湯河原町,吉浜,,湯河原町吉浜,14384.0,7003.0,4.0,2923.0,47.0,85.0,123.0,113.0,92.0,63.0,68.0,81.0,151.0,189.0,206.0,180.0,193.0,224.0,295.0,274.0,224.0,163.0,103.0,38.0,8.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,9.0,10.0,12.0,18.0,28.0,31.0,27.0,19.0,10.0,4.0,1.0,204.0,0.0,0.0,0.0,1065.0,0.0,0.0,161.0,0.0,0.0,0.0,117.0,0.0,52.0,666.0,0.0,634.0,0.0,0.0,0.0,0.0,155.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,0.0,0.0,45.0,1717.0,0.0,2484.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,341.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,48.0,134.0,306.0,0.0,0.0,0.0,246.0,134.0,45.0,1785.0,0.0,0.0,215.0,2222.0,598.0,0.0,0.0,0.0,0.0,641.0,0.0,0.0,0.0,0.0,2039.0,139.11928366198885,35.15210248330608,1.5096112229393868,16694.0,湯河原町吉浜,湯河原町吉浜,code_in_car30
14384012004,湯河原町,中央四丁目,湯河原町,中央四丁目,湯河原町中央四丁目,神奈川県,湯河原町,中央,四丁目,湯河原町中央四丁目,14384.0,12004.0,4.0,1117.0,34.0,33.0,31.0,39.0,37.0,31.0,37.0,37.0,43.0,71.0,72.0,53.0,67.0,82.0,90.0,91.0,93.0,72.0,75.0,19.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,7.0,8.0,10.0,11.0,8.0,8.0,2.0,1.0,79.0,0.0,0.0,0.0,809.0,0.0,0.0,61.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,0.0,887.0,0.0,61.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,178.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,139.11256081365002,35.15199426746753,2.088544390145496,5091.0,湯河原町中央四丁目,湯河原町中央四丁目,code_in_car30
14384012005,湯河原町,中央五丁目,湯河原町,中央五丁目,湯河原町中央五丁目,神奈川県,湯河原町,中央,五丁目,湯河原町中央五丁目,14384.0,12005.0,4.0,537.0,11.0,18.0,24.0,21.0,29.0,30.0,17.0,22.0,30.0,41.0,42.0,37.0,29.0,46.0,44.0,40.0,32.0,15.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,56.0,0.0,0.0,85.0,0.0,25.0,52.0,0.0,75.0,0.0,0.0,0.0,26.0,0.0,0.0,120.0,25.0,0.0,0.0,272.0,0.0,248.0,0.0,0.0,0.0,0.0,29.0,466.0,0.0,427.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,174.0,0.0,0.0,0.0,1021.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,31.0,0.0,397.0,139.11426121925268,35.14787748670982,2.129631508394164,4785.0,湯河原町中央五丁目,湯河原町中央五丁目,code_in_car30
14384012003,湯河原町,中央三丁目,湯河原町,中央三丁目,湯河原町中央三丁目,神奈川県,湯河原町,中央,三丁目,湯河原町中央三丁目,14384.0,12003.0,4.0,389.0,10.0,7.0,19.0,16.0,16.0,12.0,22.0,17.0,31.0,27.0,24.0,32.0,21.0,34.0,44.0,28.0,13.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,295.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,92.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,75.0,139.11080610804535,35.150696190025045,2.285068721576417,2630.0,湯河原町中央三丁目,湯河原町中央三丁目,code_in_car30
14384012002,湯河原町,中央二丁目,湯河原町,中央二丁目,湯河原町中央二丁目,神奈川県,湯河原町,中央,二丁目,湯河原町中央二丁目,14384.0,12002.0,4.0,703.0,17.0,23.0,28.0,36.0,26.0,33.0,20.0,26.0,40.0,46.0,57.0,42.0,42.0,59.0,51.0,58.0,48.0,27.0,17.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,5.0,5.0,6.0,6.0,3.0,2.0,0.0,0.0,46.0,0.0,33.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,64.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,385.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,229.0,0.0,0.0,0.0,1435.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,68.0,154.0,139.11057810958386,35.148296841553076,2.405119373877127,3987.0,湯河原町中央二丁目,湯河原町中央二丁目,code_in_car30
14384012001,湯河原町,中央一丁目,湯河原町,中央一丁目,湯河原町中央一丁目,神奈川県,湯河原町,中央,一丁目,湯河原町中央一丁目,14384.0,12001.0,4.0,970.0,16.0,31.0,33.0,38.0,34.0,28.0,38.0,46.0,57.0,61.0,60.0,60.0,67.0,68.0,87.0,95.0,59.0,47.0,27.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0,8.0,11.0,7.0,5.0,3.0,1.0,0.0,65.0,0.0,0.0,42.0,541.0,0.0,0.0,33.0,0.0,0.0,0.0,199.0,0.0,38.0,122.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.0,0.0,232.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,536.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,835.0,190.0,0.0,0.0,0.0,34.0,630.0,0.0,0.0,0.0,0.0,544.0,139.11097875571434,35.14616298890519,2.483481438823315,7916.0,湯河原町中央一丁目,湯河原町中央一丁目,code_in_car30
14384005000,湯河原町,門川,湯河原町,門川,湯河原町門川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.1116458192017,35.14336345972499,2.6060233934824772,0.0,湯河原町門川,湯河原町門川,code_in_car30
