town_name_show,dist_km,医療法人邦友会 湯河原循環器クリニック,医療法人 同愛会 小澤病院,独立行政法人地域医療機能推進機構 湯河原病院,国際医療福祉大学熱海病院,湯河原胃腸病院,小田原市立病院,真鶴町国民健康保険診療所,こまつクリニック,訪問診療めじろクリニック,YKいわさきクリニック
真鶴町岩,0.17405757441757636,1175.0,395.0,1240.0,1289.0,523.0,559.0,4451.0,273.0,595.0,238.0
湯河原町福浦,0.6272442929272602,626.0,397.0,1091.0,620.0,750.0,224.0,186.0,105.0,503.0,431.0
真鶴町真鶴,1.0668855988871966,3627.0,498.0,2146.0,2965.0,1475.0,878.0,8772.0,524.0,243.0,1233.0
湯河原町吉浜,1.5096112229393868,1717.0,634.0,2222.0,2484.0,1785.0,183.0,598.0,1065.0,641.0,2039.0
湯河原町中央四丁目,2.088544390145496,735.0,0.0,700.0,887.0,243.0,165.0,0.0,809.0,0.0,458.0
湯河原町中央五丁目,2.129631508394164,466.0,75.0,1021.0,427.0,174.0,189.0,0.0,426.0,294.0,397.0
湯河原町中央三丁目,2.285068721576417,612.0,63.0,438.0,296.0,269.0,112.0,0.0,0.0,161.0,75.0
湯河原町中央二丁目,2.405119373877127,57.0,0.0,1435.0,385.0,229.0,0.0,0.0,55.0,303.0,154.0
湯河原町中央一丁目,2.483481438823315,1318.0,151.0,835.0,232.0,573.0,536.0,190.0,541.0,630.0,544.0
湯河原町門川,2.6060233934824772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町土肥二丁目,2.83707392606034,1153.0,55.0,493.0,530.0,1294.0,1016.0,0.0,241.0,2052.0,0.0
湯河原町吉浜,2.847793966297625,113.0,144.0,37.0,413.0,0.0,145.0,0.0,59.0,100.0,104.0
湯河原町土肥三丁目,3.0052067855469757,707.0,0.0,81.0,462.0,688.0,242.0,0.0,65.0,666.0,0.0
湯河原町土肥一丁目,3.185046968173532,2481.0,181.0,281.0,453.0,1742.0,0.0,0.0,226.0,412.0,0.0
小田原市江之浦,3.2759692526096464,0.0,173.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0
湯河原町土肥四丁目,3.3459088370839227,1848.0,241.0,0.0,2673.0,1953.0,0.0,151.0,254.0,1103.0,473.0
