town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,善ファミリークリニック,小松循環器科・内科,秦野駅南口診療所,医療法人杏林会 八木病院,医療法人社団 仁輪会 くず葉台病院,横田整形外科,宮野内科・小児科医院,くまざわ脳神経・内科クリニック,秦野寿町クリニック,こいけクリニック,医療法人 _友会 白_医院,なかいファミリークリニック,安部内科胃腸科クリニック,南足柄クリニック,医療法人邦友会 小田原循環器病院,南が丘クリニック,秦野メディカルクリニック,渋沢内科クリニック,小泉クリニック,医療法人社団 村田医院,螢田診療所,医療法人社団 安寧会 川上医院,川口医院,医療法人社団慈邦会 石川医院,とうめい厚木クリニック,医療法人社団 翠明会 あおば診療所,二宮胃腸内科クリニック,まえかわクリニック,マナクリニック,城島医院,渡辺消化器科クリニック,笹尾内科,みやうち内科糖尿病クリニック,医療生協かながわ生活協同組合 おだわら診療所,大秦野内科クリニック,まごころ内科整形外科クリニック,斉藤医院,大内病院,医療法人社団 奥津医院,吉邑クリニック,一般社団法人秦野伊勢原医師会 秦野市休日夜間急患診療所,足柄上地区休日急患診療所,秦野北クリニック,医療法人社団 富田医院,開成駅光クリニック,りゅう医院,足柄療護園診療所,東名厚木メディカルサテライトクリニック,いしぐろ整形外科,鈴張町クリニック,みかんクリニック,もてぎクリニック,医療法人社団 武尾医院,鈴木内科医院,医療法人社団 五常会 鶴巻メンタルクリニック,こうの内科クリニック,はたの渋沢クリニック,大井町クリニック,山北中央診療所,山北町立山北診療所
山北町湯触,山北町,湯触,14364009000,1.0359512013484191,139.03989511674254,35.37343612165653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0
山北町都夫良野,山北町,都夫良野,14364006000,1.590618731309248,139.05359336938008,35.368284905990826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町谷ケ,山北町,谷ケ,14364007000,1.7356088732982224,139.02646473927823,35.35129612633298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
山北町平山,山北町,平山,14364004000,2.053521225398988,139.05475773018026,35.353376982206406,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0
山北町川西,山北町,川西,14364008000,2.41574429451693,139.01689412666911,35.379048166063605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0
山北町山市場,山北町,山市場,14364010000,2.926775871347962,139.03456460872877,35.3907612311126,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南足柄市内山,南足柄市,内山,14217002000,3.413576077593875,139.06241885676687,35.34209869047629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町山北,山北町,山北,14364001000,3.975409548287086,139.08031821658494,35.36792050267896,53.0,140.0,0.0,172.0,57.0,0.0,45.0,50.0,269.0,0.0,53.0,50.0,0.0,347.0,55.0,0.0,0.0,0.0,103.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,47.0,0.0,67.0,0.0,0.0,0.0,0.0,161.0,0.0,102.0,52.0,61.0,0.0,99.0,0.0,0.0,52.0,103.0,52.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,2840.0,284.0
南足柄市矢倉沢,南足柄市,矢倉沢,14217001002,4.179467813021721,139.04804026877048,35.32807033142496,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,358.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町神縄,山北町,神縄,14364011000,4.51832786430707,139.05464889594444,35.402397396765174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
