facility,total_patients,top3_frequency
医療法人 _友会 白_医院,12803.0,18
南足柄クリニック,8927.0,15
小泉クリニック,6884.0,12
山北中央診療所,4186.0,5
足柄上地区休日急患診療所,3778.0,3
開成駅光クリニック,3034.0,5
大内病院,2713.0,5
善ファミリークリニック,2471.0,4
医療法人社団慈邦会 石川医院,2363.0,6
医療法人社団 奥津医院,2221.0,2
医療法人社団 村田医院,2161.0,3
まごころ内科整形外科クリニック,2050.0,2
山北町立山北診療所,1822.0,3
くまざわ脳神経・内科クリニック,1762.0,2
医療法人邦友会 小田原循環器病院,1681.0,2
まえかわクリニック,1304.0,1
足柄療護園診療所,1145.0,0
いしぐろ整形外科,1041.0,1
なかいファミリークリニック,1023.0,1
小松循環器科・内科,1012.0,1
宮野内科・小児科医院,932.0,0
秦野寿町クリニック,724.0,0
横田整形外科,687.0,1
こうの内科クリニック,681.0,0
螢田診療所,680.0,0
医療法人杏林会 八木病院,630.0,0
大井町クリニック,518.0,0
りゅう医院,491.0,2
一般社団法人秦野伊勢原医師会 秦野市休日夜間急患診療所,449.0,0
医療法人社団 安寧会 川上医院,367.0,0
医療生協かながわ生活協同組合 おだわら診療所,362.0,0
医療法人社団 武尾医院,342.0,1
渡辺消化器科クリニック,320.0,0
マナクリニック,317.0,0
こいけクリニック,315.0,0
医療法人社団 仁輪会 くず葉台病院,290.0,0
みかんクリニック,270.0,0
渋沢内科クリニック,256.0,0
吉邑クリニック,238.0,0
医療法人社団 翠明会 あおば診療所,236.0,0
鈴張町クリニック,229.0,0
もてぎクリニック,217.0,0
医療法人社団 五常会 鶴巻メンタルクリニック,200.0,0
とうめい厚木クリニック,176.0,0
大秦野内科クリニック,165.0,1
城島医院,154.0,0
安部内科胃腸科クリニック,153.0,0
斉藤医院,136.0,0
秦野北クリニック,62.0,0
東名厚木メディカルサテライトクリニック,57.0,0
医療法人社団 富田医院,46.0,0
秦野駅南口診療所,39.0,0
みやうち内科糖尿病クリニック,0.0,0
笹尾内科,0.0,0
二宮胃腸内科クリニック,0.0,0
鈴木内科医院,0.0,0
川口医院,0.0,0
秦野メディカルクリニック,0.0,0
はたの渋沢クリニック,0.0,0
南が丘クリニック,0.0,0
