rank,施設名,利用者数合計,対象施設フラグ
1,善ファミリークリニック,113738.0,0
2,小松循環器科・内科,69164.0,0
3,秦野駅南口診療所,53158.0,0
4,医療法人杏林会 八木病院,47927.0,0
5,医療法人社団 仁輪会 くず葉台病院,45238.0,0
6,横田整形外科,36854.0,0
7,宮野内科・小児科医院,33670.0,0
8,くまざわ脳神経・内科クリニック,25088.0,0
9,秦野寿町クリニック,24619.0,0
10,こいけクリニック,23210.0,0
11,医療法人 _友会 白_医院,20512.0,0
12,なかいファミリークリニック,20431.0,0
13,安部内科胃腸科クリニック,17956.0,0
14,南足柄クリニック,17594.0,0
15,医療法人邦友会 小田原循環器病院,16864.0,0
16,南が丘クリニック,16599.0,0
17,秦野メディカルクリニック,16506.0,0
18,渋沢内科クリニック,16171.0,0
19,小泉クリニック,15914.0,0
20,医療法人社団 村田医院,15824.0,0
21,螢田診療所,15126.0,0
22,医療法人社団 安寧会 川上医院,14356.0,0
23,川口医院,14335.0,0
24,医療法人社団慈邦会 石川医院,14109.0,0
25,とうめい厚木クリニック,13542.0,0
26,医療法人社団 翠明会 あおば診療所,12372.0,0
27,二宮胃腸内科クリニック,12173.0,0
28,まえかわクリニック,11613.0,0
29,マナクリニック,11318.0,0
30,城島医院,10869.0,0
31,渡辺消化器科クリニック,10773.0,0
32,笹尾内科,10204.0,0
33,みやうち内科糖尿病クリニック,9804.0,0
34,医療生協かながわ生活協同組合 おだわら診療所,9492.0,0
35,大秦野内科クリニック,9276.0,0
36,まごころ内科整形外科クリニック,9135.0,0
37,斉藤医院,8769.0,0
38,大内病院,8751.0,0
39,医療法人社団 奥津医院,8591.0,0
40,吉邑クリニック,8537.0,0
41,一般社団法人秦野伊勢原医師会 秦野市休日夜間急患診療所,8532.0,0
42,足柄上地区休日急患診療所,8531.0,0
43,秦野北クリニック,8255.0,0
44,医療法人社団 富田医院,7785.0,0
45,開成駅光クリニック,7723.0,0
46,りゅう医院,7527.0,0
47,足柄療護園診療所,7517.0,0
48,東名厚木メディカルサテライトクリニック,7369.0,0
49,いしぐろ整形外科,7019.0,0
50,鈴張町クリニック,6956.0,0
51,みかんクリニック,6833.0,0
52,もてぎクリニック,6560.0,0
53,医療法人社団 武尾医院,5880.0,0
54,鈴木内科医院,5624.0,0
55,医療法人社団 五常会 鶴巻メンタルクリニック,5411.0,0
56,こうの内科クリニック,5214.0,0
57,はたの渋沢クリニック,5168.0,0
58,大井町クリニック,5093.0,0
59,山北中央診療所,5080.0,0
60,山北町立山北診療所,4900.0,1
