town_name_show,dist_km,医療法人 _友会 白_医院,南足柄クリニック,小泉クリニック,山北中央診療所,足柄上地区休日急患診療所,開成駅光クリニック,大内病院,善ファミリークリニック,医療法人社団慈邦会 石川医院,医療法人社団 奥津医院
山北町湯触,1.0359512013484191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町都夫良野,1.590618731309248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町谷ケ,1.7356088732982224,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
山北町平山,2.053521225398988,51.0,51.0,0.0,171.0,0.0,0.0,0.0,107.0,0.0,54.0
山北町川西,2.41574429451693,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町山市場,2.926775871347962,0.0,0.0,0.0,0.0,0.0,198.0,0.0,198.0,0.0,0.0
南足柄市内山,3.413576077593875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町山北,3.975409548287086,53.0,347.0,103.0,2840.0,99.0,52.0,102.0,53.0,0.0,52.0
南足柄市矢倉沢,4.179467813021721,161.0,358.0,220.0,0.0,0.0,0.0,0.0,42.0,42.0,60.0
山北町神縄,4.51832786430707,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町皆瀬川,4.75016519075201,0.0,103.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町岸,5.033546677307539,131.0,682.0,347.0,169.0,46.0,92.0,233.0,294.0,45.0,124.0
山北町神尾田,5.205149087080378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0
山北町山北,5.273094289650587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南足柄市怒田,5.758858159166227,0.0,47.0,0.0,0.0,0.0,0.0,33.0,0.0,42.0,0.0
南足柄市弘西寺,6.007861372725868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
