CITY_CODE,TOWN_CODE,TOWN_CODE_11,CITY_NAME,S_NAME,TOWN_NAME_4COL,POP,__srcfile
15101,027000,15101027000,新潟市北区,名目所,新潟県新潟市北区名目所,,h03_15.csv
15101,028013,15101028013,新潟市北区,太田下大口,新潟県新潟市北区太田下大口,,h03_15.csv
15101,039003,15101039003,新潟市北区,前新田上嘉山,新潟県新潟市北区前新田上嘉山,,h03_15.csv
15101,040004,15101040004,新潟市北区,新鼻新鼻乙,新潟県新潟市北区新鼻新鼻乙,,h03_15.csv
15101,043003,15101043003,新潟市北区,木崎樋ノ入,新潟県新潟市北区木崎樋ノ入,,h03_15.csv
15101,049001,15101049001,新潟市北区,浦ノ入,新潟県新潟市北区浦ノ入,,h03_15.csv
15101,049002,15101049002,新潟市北区,浦ノ入内島見,新潟県新潟市北区浦ノ入内島見,,h03_15.csv
15101,056001,15101056001,新潟市北区,早通,新潟県新潟市北区早通,,h03_15.csv
15101,056002,15101056002,新潟市北区,早通芋黒,新潟県新潟市北区早通芋黒,,h03_15.csv
15101,070003,15101070003,新潟市北区,長戸呂大久保,新潟県新潟市北区長戸呂大久保,,h03_15.csv
15101,090002,15101090002,新潟市北区,かぶとやま二丁目,新潟県新潟市北区かぶとやま二丁目,,h03_15.csv
15102,017001,15102017001,新潟市東区,卸新町一丁目,新潟県新潟市東区卸新町一丁目,,h03_15.csv
15102,017002,15102017002,新潟市東区,卸新町二丁目,新潟県新潟市東区卸新町二丁目,,h03_15.csv
15102,017003,15102017003,新潟市東区,卸新町三丁目,新潟県新潟市東区卸新町三丁目,,h03_15.csv
15102,039003,15102039003,新潟市東区,紫竹山三丁目,新潟県新潟市東区紫竹山三丁目,,h03_15.csv
15102,039004,15102039004,新潟市東区,紫竹山四丁目,新潟県新潟市東区紫竹山四丁目,,h03_15.csv
15102,042003,15102042003,新潟市東区,下木戸三丁目,新潟県新潟市東区下木戸三丁目,,h03_15.csv
15102,058008,15102058008,新潟市東区,津島屋八丁目,新潟県新潟市東区津島屋八丁目,,h03_15.csv
15102,076002,15102076002,新潟市東区,船江町二丁目,新潟県新潟市東区船江町二丁目,,h03_15.csv
15102,076003,15102076003,新潟市東区,船江町三丁目,新潟県新潟市東区船江町三丁目,,h03_15.csv
15102,109003,15102109003,新潟市東区,はなみずき三丁目,新潟県新潟市東区はなみずき三丁目,,h03_15.csv
15103,017005,15103017005,新潟市中央区,入船町五丁目,新潟県新潟市中央区入船町五丁目,,h03_15.csv
15103,018006,15103018006,新潟市中央区,礎町通六ノ町,新潟県新潟市中央区礎町通六ノ町,,h03_15.csv
15103,045002,15103045002,新潟市中央区,北浜通二番町,新潟県新潟市中央区北浜通二番町,,h03_15.csv
15103,050000,15103050000,新潟市中央区,窪田町,新潟県新潟市中央区窪田町,,h03_15.csv
15103,064004,15103064004,新潟市中央区,新島町通四ノ町,新潟県新潟市中央区新島町通四ノ町,,h03_15.csv
15103,117006,15103117006,新潟市中央区,西堀前通六番町,新潟県新潟市中央区西堀前通六番町,,h03_15.csv
15103,117007,15103117007,新潟市中央区,西堀前通七番町,新潟県新潟市中央区西堀前通七番町,,h03_15.csv
15103,117009,15103117009,新潟市中央区,西堀前通九番町,新潟県新潟市中央区西堀前通九番町,,h03_15.csv
15103,136006,15103136006,新潟市中央区,東堀通六番町,新潟県新潟市中央区東堀通六番町,,h03_15.csv
15103,136007,15103136007,新潟市中央区,東堀通七番町,新潟県新潟市中央区東堀通七番町,,h03_15.csv
15103,136009,15103136009,新潟市中央区,東堀通九番町,新潟県新潟市中央区東堀通九番町,,h03_15.csv
15103,137007,15103137007,新潟市中央区,東堀前通七番町,新潟県新潟市中央区東堀前通七番町,,h03_15.csv
15103,150007,15103150007,新潟市中央区,古町通七番町,新潟県新潟市中央区古町通七番町,,h03_15.csv
15103,152001,15103152001,新潟市中央区,船見町一丁目,新潟県新潟市中央区船見町一丁目,,h03_15.csv
15103,211001,15103211001,新潟市中央区,美咲町一丁目,新潟県新潟市中央区美咲町一丁目,,h03_15.csv
15103,211002,15103211002,新潟市中央区,美咲町二丁目,新潟県新潟市中央区美咲町二丁目,,h03_15.csv
15104,007003,15104007003,新潟市江南区,泉町三丁目,新潟県新潟市江南区泉町三丁目,,h03_15.csv
15104,007004,15104007004,新潟市江南区,泉町四丁目,新潟県新潟市江南区泉町四丁目,,h03_15.csv
15104,011005,15104011005,新潟市江南区,鵜ノ子五丁目,新潟県新潟市江南区鵜ノ子五丁目,,h03_15.csv
15104,012101,15104012101,新潟市江南区,下早通柳田一丁目,新潟県新潟市江南区下早通柳田一丁目,,h03_15.csv
15104,012102,15104012102,新潟市江南区,下早通柳田二丁目,新潟県新潟市江南区下早通柳田二丁目,,h03_15.csv
15104,023001,15104023001,新潟市江南区,亀田工業団地一丁目,新潟県新潟市江南区亀田工業団地一丁目,,h03_15.csv
15104,023002,15104023002,新潟市江南区,亀田工業団地二丁目,新潟県新潟市江南区亀田工業団地二丁目,,h03_15.csv
15104,023003,15104023003,新潟市江南区,亀田工業団地三丁目,新潟県新潟市江南区亀田工業団地三丁目,,h03_15.csv
15104,029001,15104029001,新潟市江南区,亀田早通,新潟県新潟市江南区亀田早通,,h03_15.csv
15104,029002,15104029002,新潟市江南区,亀田早通,新潟県新潟市江南区亀田早通,,h03_15.csv
15104,029003,15104029003,新潟市江南区,亀田早通,新潟県新潟市江南区亀田早通,,h03_15.csv
15104,035001,15104035001,新潟市江南区,木津上浦ほか,新潟県新潟市江南区木津上浦ほか,,h03_15.csv
15104,035002,15104035002,新潟市江南区,木津中浦,新潟県新潟市江南区木津中浦,,h03_15.csv
15104,035003,15104035003,新潟市江南区,木津下浦,新潟県新潟市江南区木津下浦,,h03_15.csv
15104,040001,15104040001,新潟市江南区,小杉江迎ほか,新潟県新潟市江南区小杉江迎ほか,,h03_15.csv
15104,040002,15104040002,新潟市江南区,小杉居附ほか,新潟県新潟市江南区小杉居附ほか,,h03_15.csv
15104,040003,15104040003,新潟市江南区,小杉通り口ほか,新潟県新潟市江南区小杉通り口ほか,,h03_15.csv
15104,040004,15104040004,新潟市江南区,小杉,新潟県新潟市江南区小杉,,h03_15.csv
15104,046003,15104046003,新潟市江南区,早苗三丁目,新潟県新潟市江南区早苗三丁目,,h03_15.csv
15104,046004,15104046004,新潟市江南区,早苗四丁目,新潟県新潟市江南区早苗四丁目,,h03_15.csv
15104,058001,15104058001,新潟市江南区,沢海居村ほか,新潟県新潟市江南区沢海居村ほか,,h03_15.csv
15104,058002,15104058002,新潟市江南区,沢海西裏ほか,新潟県新潟市江南区沢海西裏ほか,,h03_15.csv
15104,058003,15104058003,新潟市江南区,沢海小池畠ほか,新潟県新潟市江南区沢海小池畠ほか,,h03_15.csv
15104,058004,15104058004,新潟市江南区,沢海焼山,新潟県新潟市江南区沢海焼山,,h03_15.csv
