town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,米倉医院,新潟県地域医療推進機構魚沼基幹病院,南魚沼市民病院,南魚沼市立ゆきぐに大和病院,町立湯沢病院,齋藤記念病院,南魚沼市民病院附属城内診療所,萌気園浦佐診療所,新潟県南魚沼保健所,医療法人社団 あんべクリニック,たかき医院,風間内科医院,大熊内科医院,ほんだ病院,医療法人(社団)河内医院,南魚沼市立 中之島診療所,公益社団法人 地域医療振興協会 今泉記念館 ゆきあかり診療所,萌気園二日町診療所,萌気園あやめ診療所,五日町病院,荒川診療所
南魚沼市万条新田,南魚沼市,万条新田,15226147034,0.0,138.82586439365926,36.998166744853435,1016.0,656.0,220.0,0.0,222.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0
南魚沼市姥島新田,南魚沼市,姥島新田,15226148035,0.8711532687597943,138.82161777370442,36.991104532840595,2501.0,311.0,63.0,108.0,32.0,258.0,3194.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0
南魚沼市下一日市,南魚沼市,下一日市,15226156048,0.9615386420551133,138.81700703581137,37.0031404985435,545.0,34.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
南魚沼市舞子,南魚沼市,舞子,15226144033,1.029150549417669,138.83569788247954,37.00306442012094,517.0,500.0,421.0,0.0,278.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,81.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0
南魚沼市中子新田乙,南魚沼市,中子新田乙,15226146036,1.0514499923641136,138.82787529952864,37.00748528206621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市上一日市,南魚沼市,上一日市,15226155047,1.1457783056017425,138.8129947376317,36.99743864197944,0.0,0.0,6878.0,0.0,113.0,217.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,550.0,55.0,0.0,0.0,0.0,0.0
南魚沼市仙石,南魚沼市,仙石,15226142073,1.676741896395937,138.84149397174576,37.006627586256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市五郎丸,南魚沼市,五郎丸,15226143037,1.7043452323791537,138.83157332036643,37.01280055146671,641.0,60.0,82.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市宮野下,南魚沼市,宮野下,15226154046,1.7583210457717537,138.80609379927182,36.999022057671816,2495.0,359.0,368.0,0.0,100.0,47.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0
南魚沼市関,南魚沼市,関,15226151043,1.7640157832237553,138.80896629524418,36.98982910707318,273.0,251.0,251.0,283.0,671.0,593.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,214.0,328.0,0.0,0.0,0.0,0.0
