rank,施設名,利用者数合計,対象施設フラグ
1,米倉医院,578886.0,0
2,新潟県地域医療推進機構魚沼基幹病院,187824.0,0
3,南魚沼市民病院,175442.0,0
4,南魚沼市立ゆきぐに大和病院,63153.0,0
5,町立湯沢病院,52928.0,0
6,齋藤記念病院,45916.0,0
7,南魚沼市民病院附属城内診療所,26610.0,0
8,萌気園浦佐診療所,14690.0,0
9,新潟県南魚沼保健所,12968.0,0
10,医療法人社団 あんべクリニック,12299.0,0
11,たかき医院,11782.0,0
12,風間内科医院,10213.0,0
13,大熊内科医院,9621.0,0
14,ほんだ病院,6686.0,0
15,医療法人(社団)河内医院,5276.0,0
16,南魚沼市立 中之島診療所,4339.0,0
17,公益社団法人 地域医療振興協会 今泉記念館 ゆきあかり診療所,3191.0,1
18,萌気園二日町診療所,2954.0,0
19,萌気園あやめ診療所,1960.0,0
20,五日町病院,1104.0,0
21,荒川診療所,550.0,0
