TOWN_CODE_11,CITY_NAME_x,S_NAME_x,CITY_NAME_from_master,S_NAME_from_master,town_name_show,CITY_CODE,TOWN_CODE,CITY_NAME_y,S_NAME_y,TOWN_NAME_4COL,POP,__srcfile,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_受容者(小数),0～4歳_受容者(四捨五入),5～9歳_受容者(小数),5～9歳_受容者(四捨五入),10～14歳_受容者(小数),10～14歳_受容者(四捨五入),15～19歳_受容者(小数),15～19歳_受容者(四捨五入),20～24歳_受容者(小数),20～24歳_受容者(四捨五入),25～29歳_受容者(小数),25～29歳_受容者(四捨五入),30～34歳_受容者(小数),30～34歳_受容者(四捨五入),35～39歳_受容者(小数),35～39歳_受容者(四捨五入),40～44歳_受容者(小数),40～44歳_受容者(四捨五入),45～49歳_受容者(小数),45～49歳_受容者(四捨五入),50～54歳_受容者(小数),50～54歳_受容者(四捨五入),55～59歳_受容者(小数),55～59歳_受容者(四捨五入),60～64歳_受容者(小数),60～64歳_受容者(四捨五入),65～69歳_受容者(小数),65～69歳_受容者(四捨五入),70～74歳_受容者(小数),70～74歳_受容者(四捨五入),75～79歳_受容者(小数),75～79歳_受容者(四捨五入),80～84歳_受容者(小数),80～84歳_受容者(四捨五入),85～89歳_受容者(小数),85～89歳_受容者(四捨五入),90～94歳_受容者(小数),90～94歳_受容者(四捨五入),95～99歳_受容者(小数),95～99歳_受容者(四捨五入),100歳以上_受容者(小数),100歳以上_受容者(四捨五入),SUM_受容者(小数),SUM_受容者(四捨五入),たかき医院,ほんだ病院,五日町病院,公益社団法人 地域医療振興協会 今泉記念館 ゆきあかり診療所,医療法人社団 あんべクリニック,医療法人(社団)河内医院,南魚沼市民病院,南魚沼市民病院附属城内診療所,南魚沼市立 中之島診療所,南魚沼市立ゆきぐに大和病院,大熊内科医院,新潟県南魚沼保健所,新潟県地域医療推進機構魚沼基幹病院,町立湯沢病院,米倉医院,荒川診療所,萌気園あやめ診療所,萌気園二日町診療所,萌気園浦佐診療所,風間内科医院,齋藤記念病院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
15226147034,南魚沼市,万条新田,南魚沼市,万条新田,南魚沼市万条新田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,96.0,159.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,656.0,222.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,138.82586439365926,36.998166744853435,0.0,2369.0,南魚沼市万条新田,南魚沼市万条新田,code_in_target_towns
15226148035,南魚沼市,姥島新田,南魚沼市,姥島新田,南魚沼市姥島新田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,154.0,0.0,63.0,3194.0,57.0,108.0,0.0,0.0,311.0,32.0,2501.0,0.0,0.0,0.0,0.0,0.0,258.0,138.82161777370442,36.991104532840595,0.8711532687597943,6678.0,南魚沼市姥島新田,南魚沼市姥島新田,code_in_target_towns
15226156048,南魚沼市,下一日市,南魚沼市,下一日市,南魚沼市下一日市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,46.0,0.0,0.0,40.0,0.0,0.0,29.0,0.0,0.0,34.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,138.81700703581137,37.0031404985435,0.9615386420551133,694.0,南魚沼市下一日市,南魚沼市下一日市,code_in_target_towns
15226144033,南魚沼市,舞子,南魚沼市,舞子,南魚沼市舞子,15226.0,144033.0,南魚沼市,舞子,新潟県南魚沼市舞子,303.0,h03_15.csv,6.0,13.0,13.0,12.0,11.0,12.0,8.0,12.0,18.0,21.0,17.0,26.0,20.0,45.0,18.0,9.0,17.0,12.0,12.0,1.0,0.0,0.2274,0.0,0.67548,1.0,0.4784,0.0,0.29508,0.0,0.26037,0.0,0.3404399999999999,0.0,0.25608,0.0,0.4023599999999999,0.0,0.63018,1.0,0.82152,1.0,0.7471500000000001,1.0,1.49526,1.0,1.2640000000000002,1.0,3.64545,4.0,1.6911,2.0,1.00773,1.0,2.0417,2.0,1.37796,1.0,1.2025199999999998,1.0,0.10021,0.0,0.0,0.0,18.960390000000004,17.0,0.0,81.0,0.0,0.0,0.0,0.0,421.0,0.0,161.0,0.0,0.0,80.0,500.0,278.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,138.83569788247954,37.00306442012094,1.029150549417669,2038.0,南魚沼市舞子,南魚沼市舞子,code_in_target_towns
15226146036,南魚沼市,中子新田乙,南魚沼市,中子新田乙,南魚沼市中子新田乙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.82787529952864,37.00748528206621,1.0514499923641136,0.0,南魚沼市中子新田乙,南魚沼市中子新田乙,code_in_target_towns
15226155047,南魚沼市,上一日市,南魚沼市,上一日市,南魚沼市上一日市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,0.0,0.0,55.0,0.0,0.0,6878.0,0.0,550.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,138.8129947376317,36.99743864197944,1.1457783056017425,7869.0,南魚沼市上一日市,南魚沼市上一日市,code_in_target_towns
15226142073,南魚沼市,仙石,南魚沼市,仙石,南魚沼市仙石,15226.0,142073.0,南魚沼市,仙石,新潟県南魚沼市仙石,66.0,h03_15.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,10.0,16.0,18.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24303,0.0,0.09395,0.0,0.78379,1.0,1.201,1.0,1.83728,2.0,1.80378,2.0,0.80168,1.0,0.3006299999999999,0.0,7.0651399999999995,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.84149397174576,37.006627586256,1.676741896395937,0.0,南魚沼市仙石,南魚沼市仙石,code_in_target_towns
15226143037,南魚沼市,五郎丸,南魚沼市,五郎丸,南魚沼市五郎丸,15226.0,143037.0,南魚沼市,五郎丸,新潟県南魚沼市五郎丸,157.0,h03_15.csv,5.0,7.0,2.0,8.0,9.0,3.0,6.0,12.0,7.0,15.0,5.0,5.0,14.0,14.0,15.0,12.0,5.0,9.0,3.0,1.0,0.0,0.1895,0.0,0.36372,0.0,0.0736,0.0,0.19672,0.0,0.21303,0.0,0.0851099999999999,0.0,0.1920599999999999,0.0,0.4023599999999999,0.0,0.24507,0.0,0.5868,1.0,0.21975,0.0,0.28755,0.0,0.8848,1.0,1.13414,1.0,1.40925,1.0,1.34364,1.0,0.6005,1.0,1.03347,1.0,0.3006299999999999,0.0,0.10021,0.0,0.0,0.0,9.86191,7.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,60.0,34.0,641.0,0.0,0.0,0.0,0.0,176.0,0.0,138.83157332036643,37.01280055146671,1.7043452323791537,993.0,南魚沼市五郎丸,南魚沼市五郎丸,code_in_target_towns
15226154046,南魚沼市,宮野下,南魚沼市,宮野下,南魚沼市宮野下,15226.0,154046.0,南魚沼市,宮野下,新潟県南魚沼市宮野下,165.0,h03_15.csv,2.0,8.0,8.0,7.0,3.0,3.0,1.0,6.0,11.0,8.0,12.0,15.0,14.0,20.0,16.0,7.0,9.0,8.0,6.0,1.0,0.0,0.0758,0.0,0.41568,0.0,0.2944,0.0,0.17213,0.0,0.07101,0.0,0.0851099999999999,0.0,0.03201,0.0,0.2011799999999999,0.0,0.38511,0.0,0.31296,0.0,0.5274000000000001,1.0,0.86265,1.0,0.8848,1.0,1.6202,2.0,1.5032,2.0,0.78379,1.0,1.0809,1.0,0.91864,1.0,0.6012599999999999,1.0,0.10021,0.0,0.0,0.0,10.92844,11.0,0.0,0.0,0.0,244.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,39.0,359.0,100.0,2495.0,0.0,0.0,0.0,0.0,0.0,47.0,138.80609379927182,36.999022057671816,1.7583210457717537,3652.0,南魚沼市宮野下,南魚沼市宮野下,code_in_target_towns
15226151043,南魚沼市,関,南魚沼市,関,南魚沼市関,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,328.0,200.0,0.0,251.0,0.0,214.0,283.0,0.0,0.0,251.0,671.0,273.0,0.0,0.0,0.0,0.0,0.0,593.0,138.80896629524418,36.98982910707318,1.7640157832237553,3064.0,南魚沼市関,南魚沼市関,code_in_target_towns
