town_name_show,dist_km,米倉医院,南魚沼市民病院,新潟県地域医療推進機構魚沼基幹病院,南魚沼市民病院附属城内診療所,町立湯沢病院,医療法人社団 あんべクリニック,南魚沼市立ゆきぐに大和病院,風間内科医院,齋藤記念病院,南魚沼市立 中之島診療所
南魚沼市万条新田,0.0,1016.0,220.0,656.0,0.0,222.0,159.0,0.0,0.0,0.0,0.0
南魚沼市姥島新田,0.8711532687597943,2501.0,63.0,311.0,3194.0,32.0,154.0,108.0,0.0,258.0,57.0
南魚沼市下一日市,0.9615386420551133,545.0,40.0,34.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
南魚沼市舞子,1.029150549417669,517.0,421.0,500.0,0.0,278.0,0.0,0.0,0.0,0.0,161.0
南魚沼市中子新田乙,1.0514499923641136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市上一日市,1.1457783056017425,0.0,6878.0,0.0,0.0,113.0,0.0,0.0,0.0,217.0,550.0
南魚沼市仙石,1.676741896395937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市五郎丸,1.7043452323791537,641.0,82.0,60.0,0.0,34.0,0.0,0.0,176.0,0.0,0.0
南魚沼市宮野下,1.7583210457717537,2495.0,368.0,359.0,0.0,100.0,0.0,0.0,0.0,47.0,0.0
南魚沼市関,1.7640157832237553,273.0,251.0,251.0,0.0,671.0,200.0,283.0,0.0,593.0,214.0
南魚沼市徳田新田,1.9782273057381081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市五郎丸,2.3202666349832364,125.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
南魚沼市宮野下,2.334938450486996,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
南魚沼市南田中,2.3580827441387955,335.0,566.0,113.0,0.0,505.0,349.0,85.0,0.0,40.0,50.0
南魚沼市仙石,2.4819892591359456,700.0,3228.0,784.0,0.0,69.0,0.0,201.0,0.0,1262.0,130.0
南魚沼市中子新田甲,2.6105592808321614,1546.0,361.0,1269.0,0.0,118.0,0.0,196.0,0.0,153.0,0.0
南魚沼市舞子,2.8199384026403633,390.0,286.0,1005.0,0.0,264.0,0.0,123.0,0.0,25.0,65.0
南魚沼市君沢,2.8878487177680063,2030.0,3539.0,687.0,0.0,218.0,177.0,229.0,0.0,136.0,289.0
南魚沼市仙石,2.910484710125906,0.0,44.0,103.0,0.0,0.0,0.0,44.0,0.0,0.0,68.0
