TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,佐藤医院,医療法人社団正仁会 加藤内科,戸田診療所,海瀬医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22203177004,沼津市,戸田一色,沼津市,戸田一色,沼津市戸田一色,静岡県,沼津市,戸田,一色,沼津市戸田一色,22203.0,177004.0,177004.0,4.0,148,11.22377,1.0,3.0,3.0,0.0,3.0,4.0,5.0,6.0,6.0,4.0,9.0,5.0,19.0,18.0,18.0,17.0,11.0,10.0,6.0,0.0,0.0,0.0379,0.15588,0.1104,0.0,0.07101,0.11348,0.1600499999999999,0.2011799999999999,0.21006,0.15648,0.39555,0.28755,1.2008,1.45818,1.6911,1.90349,1.3211,1.1483,0.6012599999999999,0.0,0.0,2122.0,総数,,,,-,7,61,80,44,16,79,9137,62.23649,0.0,0.0,100.0,0.0,138.77845084455961,34.97161148956448,0.2260512174928272,100.0,沼津市戸田一色,沼津市戸田一色,code_in_car30
22203177002,沼津市,戸田小中島,沼津市,戸田小中島,沼津市戸田小中島,静岡県,沼津市,戸田,小中島,沼津市戸田小中島,22203.0,177002.0,177002.0,4.0,154,11.64961,1.0,0.0,8.0,0.0,3.0,5.0,7.0,5.0,6.0,5.0,6.0,4.0,18.0,19.0,23.0,23.0,9.0,8.0,3.0,1.0,0.0,0.0379,0.0,0.2944,0.0,0.07101,0.14185,0.22407,0.16765,0.21006,0.1956,0.2637,0.23004,1.1376000000000002,1.53919,2.16085,2.57531,1.0809,0.91864,0.3006299999999999,0.10021,0.0,2120.0,総数,,,,-,9,59,86,44,12,78,9353,61.23377,0.0,0.0,74.0,0.0,138.78051101515194,34.97490897552476,0.2771192868791889,74.0,沼津市戸田小中島,沼津市戸田小中島,code_in_car30
22203177003,沼津市,戸田大中島,沼津市,戸田大中島,沼津市戸田大中島,静岡県,沼津市,戸田,大中島,沼津市戸田大中島,22203.0,177003.0,177003.0,4.0,363,28.17432,3.0,2.0,12.0,9.0,4.0,7.0,8.0,7.0,20.0,10.0,18.0,20.0,28.0,43.0,54.0,45.0,39.0,22.0,9.0,0.0,0.0,0.1137,0.10392,0.4416,0.22131,0.09468,0.19859,0.25608,0.2347099999999999,0.7001999999999999,0.3912,0.7911,1.1502,1.7696,3.48343,5.073300000000001,5.03865,4.6838999999999995,2.52626,0.90189,0.0,0.0,2121.0,総数,,,,3,17,131,212,115,31,165,22400,62.72222,0.0,0.0,431.0,0.0,138.7809376237273,34.9729062954435,0.2851330685256098,431.0,沼津市戸田大中島,沼津市戸田大中島,code_in_car30
22203177005,沼津市,戸田入浜,沼津市,戸田入浜,沼津市戸田入浜,静岡県,沼津市,戸田,入浜,沼津市戸田入浜,22203.0,177005.0,177005.0,4.0,325,25.39653,1.0,5.0,12.0,8.0,7.0,5.0,1.0,14.0,18.0,12.0,17.0,12.0,19.0,39.0,45.0,44.0,29.0,28.0,5.0,4.0,0.0,0.0379,0.2598,0.4416,0.19672,0.16569,0.14185,0.03201,0.4694199999999999,0.63018,0.46944,0.7471500000000001,0.69012,1.2008,3.15939,4.22775,4.92668,3.4829,3.21524,0.50105,0.40084,0.0,2123.0,総数,,,,-,18,113,194,110,37,144,20152,62.50615,0.0,0.0,0.0,0.0,138.78043356909802,34.970675602210925,0.39733907686345654,0.0,沼津市戸田入浜,沼津市戸田入浜,code_in_car30
22203177006,沼津市,戸田口南,沼津市,戸田口南,沼津市戸田口南,静岡県,沼津市,戸田,口南,沼津市戸田口南,22203.0,177006.0,177006.0,4.0,61,5.09296,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,11.0,10.0,8.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0368,0.02459,0.0,0.0,0.06402,0.06706,0.03501,0.15648,0.0879,0.11502,0.1896,0.89111,0.9395,0.89576,0.6005,0.68898,0.20042,0.10021,0.0,2124.0,総数,,,,-,1,17,43,22,9,27,4094,67.61475,0.0,0.0,0.0,0.0,138.7780996090763,34.96963378543609,0.4411015996626817,0.0,沼津市戸田口南,沼津市戸田口南,code_in_car30
22203177007,沼津市,戸田奥南,沼津市,戸田奥南,沼津市戸田奥南,静岡県,沼津市,戸田,奥南,沼津市戸田奥南,22203.0,177007.0,177007.0,4.0,81,6.01892,1.0,1.0,6.0,3.0,0.0,2.0,0.0,3.0,3.0,7.0,4.0,5.0,2.0,6.0,15.0,12.0,4.0,6.0,1.0,0.0,0.0,0.0379,0.05196,0.2208,0.07377,0.0,0.05674,0.0,0.1005899999999999,0.10503,0.27384,0.1758,0.28755,0.1264,0.48606,1.40925,1.34364,0.4804,0.68898,0.10021,0.0,0.0,2125.0,総数,,,,-,8,29,44,23,7,32,4706,58.59877,0.0,0.0,0.0,0.0,138.7773559441116,34.96895534853344,0.5188421144366641,0.0,沼津市戸田奥南,沼津市戸田奥南,code_in_car30
22203177001,沼津市,戸田鬼川,沼津市,戸田鬼川,沼津市戸田鬼川,静岡県,沼津市,戸田,鬼川,沼津市戸田鬼川,22203.0,177001.0,177001.0,4.0,175,13.792389999999996,3.0,0.0,2.0,4.0,4.0,5.0,3.0,1.0,9.0,8.0,6.0,7.0,16.0,27.0,24.0,16.0,21.0,12.0,5.0,2.0,0.0,0.1137,0.0,0.0736,0.09836,0.09468,0.14185,0.0960299999999999,0.03353,0.31509,0.31296,0.2637,0.40257,1.0112,2.18727,2.2548000000000004,1.79152,2.5221,1.37796,0.50105,0.20042,0.0,2119.0,総数,,,,-,5,63,107,56,19,86,11085,63.84286,0.0,0.0,76.0,125.0,138.77574533314728,34.97951325692228,0.6870451763172171,201.0,沼津市戸田鬼川,沼津市戸田鬼川,code_in_car30
22203177008,沼津市,戸田大浦,沼津市,戸田大浦,沼津市戸田大浦,静岡県,沼津市,戸田,大浦,沼津市戸田大浦,22203.0,177008.0,177008.0,4.0,128,10.44204,1.0,2.0,1.0,2.0,2.0,1.0,4.0,5.0,4.0,8.0,5.0,5.0,8.0,14.0,15.0,17.0,16.0,14.0,4.0,0.0,0.0,0.0379,0.10392,0.0368,0.04918,0.04734,0.02837,0.12804,0.16765,0.14004,0.31296,0.21975,0.28755,0.5056,1.13414,1.40925,1.90349,1.9216,1.60762,0.40084,0.0,0.0,2126.0,総数,,,,-,4,44,80,51,18,56,8257,65.00781,0.0,0.0,246.0,0.0,138.77471745889108,34.96572992235016,0.9224091921821708,246.0,沼津市戸田大浦,沼津市戸田大浦,code_in_car30
22203177010,沼津市,戸田小山田,沼津市,戸田小山田,沼津市戸田小山田,静岡県,沼津市,戸田,小山田,沼津市戸田小山田,22203.0,177010.0,177010.0,4.0,134,9.75168,1.0,1.0,5.0,2.0,0.0,4.0,8.0,1.0,12.0,7.0,8.0,8.0,6.0,17.0,17.0,10.0,12.0,7.0,5.0,3.0,0.0,0.0379,0.05196,0.184,0.04918,0.0,0.11348,0.25608,0.03353,0.42012,0.27384,0.3516,0.46008,0.3792,1.37717,1.59715,1.1197,1.4412,0.80381,0.50105,0.3006299999999999,0.0,2128.0,総数,,,,-,7,56,71,37,15,71,8042,60.51493,0.0,0.0,175.0,0.0,138.78176022479838,34.963351540252795,1.1917760322262458,175.0,沼津市戸田小山田,沼津市戸田小山田,code_in_car30
22203177009,沼津市,戸田御浜,沼津市,戸田御浜,沼津市戸田御浜,静岡県,沼津市,戸田,御浜,沼津市戸田御浜,22203.0,177009.0,177009.0,4.0,60,4.38591,0.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,2.0,3.0,6.0,3.0,5.0,7.0,6.0,9.0,4.0,3.0,1.0,0.0,0.0,0.0,0.10392,0.0368,0.0,0.02367,0.05674,0.12804,0.03353,0.07002,0.11736,0.2637,0.17253,0.316,0.56707,0.5637000000000001,1.00773,0.4804,0.34449,0.10021,0.0,0.0,2127.0,総数,,,,-,3,27,30,17,4,34,3568,59.96667,0.0,0.0,105.0,0.0,138.76802525928946,34.964810019172745,1.3298522514523472,105.0,沼津市戸田御浜,沼津市戸田御浜,code_in_car30
