town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,下田メディカルセンター,公益社団法人地域医療振興協会 伊豆今井浜病院,河井医院,ひがしなかクリニック,医療法人社団健育会西伊豆健育会病院,上の山鎮目クリニック,公益社団法人地域医療振興協会 上河津診療所,菊池医院,佐倉医院,臼井医院,医療法人社団康心会 康心会伊豆東部病院,飯島医院,かわづクリニック,白津医院,公益社団法人地域医療振興協会 いなずさ診療所,佐藤医院,医療法人社団桑寿会 下田温泉病院,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,医療法人慈愛会 石田医院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,はらクリニック,中江医院,かとうクリニック,のぞみ記念 下田循環器・腎臓クリニック,小川クリニック,下田メディカルセンター附属みなとクリニック
下田市荒増,下田市,荒増,22219047002,0.8568936243283058,138.9376431678621,34.71778135262826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市椎原,下田市,椎原,22219043000,0.9674875477557535,138.92020791504152,34.72450333314504,0.0,76.0,76.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市箕作,下田市,箕作,22219048000,1.0065989926254721,138.93798158856356,34.729598062318836,891.0,549.0,288.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市宇土金,下田市,宇土金,22219042000,1.2246286924237155,138.92359070503846,34.732257329813315,1255.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市相玉,下田市,相玉,22219047001,1.471099396555353,138.918253867565,34.7143927778382,0.0,0.0,205.0,300.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市蓮台寺,下田市,蓮台寺,22219032000,2.2854001563030493,138.92733370256897,34.70249799786451,384.0,65.0,154.0,136.0,65.0,0.0,237.0,274.0,234.0,85.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,606.0,168.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0
下田市河内,下田市,河内,22219031000,2.3454247804810686,138.9447027596351,34.705248862120285,712.0,792.0,1059.0,1098.0,52.0,388.0,54.0,127.0,125.0,523.0,63.0,104.0,0.0,0.0,187.0,83.0,0.0,417.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市落合,下田市,落合,22219049000,2.401501992309576,138.9566891295311,34.725498505950185,212.0,0.0,104.0,47.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0
下田市大沢,下田市,大沢,22219034000,2.6385694472541137,138.91487648429867,34.702977590512816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原一区,下田市,須原一区,22219040001,2.934468738987052,138.93969631057493,34.74818527548922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市北湯ケ野,下田市,北湯ケ野,22219044000,3.2284920603324103,138.899585902723,34.73676788160652,383.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市立野,下田市,立野,22219035000,3.4727040235079123,138.93466669473153,34.69182231240192,732.0,396.0,54.0,600.0,87.0,36.0,0.0,0.0,233.0,83.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,43.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市横川,下田市,横川,22219045000,3.5916769145051695,138.89313503798377,34.71314462920315,63.0,101.0,212.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市高馬,下田市,高馬,22219027000,3.7306271426646602,138.938562373166,34.68996753241746,139.0,43.0,122.0,105.0,0.0,95.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,156.0,34.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
下田市大沢,下田市,大沢,22219033000,3.7551889169257944,138.9094416722458,34.693929999460856,1304.0,935.0,1496.0,761.0,680.0,353.0,157.0,158.0,742.0,680.0,215.0,87.0,620.0,267.0,281.0,115.0,428.0,0.0,204.0,261.0,337.0,90.0,70.0,0.0,0.0,139.0,0.0
