facility,total_patients,top3_frequency
下田メディカルセンター,24198.0,31
公益社団法人地域医療振興協会 伊豆今井浜病院,16373.0,23
河井医院,15020.0,21
ひがしなかクリニック,11862.0,14
上の山鎮目クリニック,7824.0,6
菊池医院,7342.0,7
臼井医院,6306.0,4
公益社団法人地域医療振興協会 上河津診療所,6045.0,7
佐倉医院,5519.0,4
佐藤医院,4524.0,4
公益社団法人地域医療振興協会 いなずさ診療所,4143.0,4
かわづクリニック,3870.0,6
鈴木クリニック,3299.0,3
公益社団法人地域医療振興協会 伊豆下田診療所,2819.0,4
医療法人社団健育会西伊豆健育会病院,2238.0,1
医療法人社団康心会 康心会伊豆東部病院,1607.0,4
医療法人社団桑寿会 下田温泉病院,1519.0,0
かとうクリニック,1477.0,2
飯島医院,1224.0,1
医療法人社団辰五会 ふれあい南伊豆ホスピタル,1042.0,2
はらクリニック,531.0,0
白津医院,420.0,1
のぞみ記念 下田循環器・腎臓クリニック,394.0,1
医療法人慈愛会 石田医院,340.0,0
小川クリニック,258.0,0
中江医院,101.0,0
下田メディカルセンター附属みなとクリニック,0.0,0
