rank,施設名,利用者数合計,対象施設フラグ
1,下田メディカルセンター,38660.0,0
2,公益社団法人地域医療振興協会 伊豆今井浜病院,27692.0,0
3,河井医院,20879.0,0
4,ひがしなかクリニック,15136.0,0
5,医療法人社団健育会西伊豆健育会病院,13556.0,0
6,上の山鎮目クリニック,12769.0,0
7,公益社団法人地域医療振興協会 上河津診療所,10633.0,0
8,菊池医院,10222.0,0
9,佐倉医院,9948.0,0
10,臼井医院,9377.0,0
11,医療法人社団康心会 康心会伊豆東部病院,7154.0,0
12,飯島医院,6735.0,0
13,かわづクリニック,6653.0,0
14,白津医院,5771.0,0
15,公益社団法人地域医療振興協会 いなずさ診療所,5735.0,1
16,佐藤医院,5704.0,0
17,医療法人社団桑寿会 下田温泉病院,4169.0,0
18,公益社団法人地域医療振興協会 伊豆下田診療所,4119.0,0
19,鈴木クリニック,3519.0,0
20,医療法人慈愛会 石田医院,2820.0,0
21,医療法人社団辰五会 ふれあい南伊豆ホスピタル,2514.0,0
22,はらクリニック,2052.0,0
23,中江医院,1853.0,0
24,かとうクリニック,1771.0,0
25,のぞみ記念 下田循環器・腎臓クリニック,547.0,0
26,小川クリニック,258.0,0
27,下田メディカルセンター附属みなとクリニック,95.0,0
