town_name_show,dist_km,下田メディカルセンター,公益社団法人地域医療振興協会 伊豆今井浜病院,河井医院,ひがしなかクリニック,上の山鎮目クリニック,菊池医院,臼井医院,公益社団法人地域医療振興協会 上河津診療所,佐倉医院,佐藤医院
下田市荒増,0.8568936243283058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市椎原,0.9674875477557535,0.0,76.0,76.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市箕作,1.0065989926254721,891.0,549.0,288.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市宇土金,1.2246286924237155,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,141.0,0.0
下田市相玉,1.471099396555353,0.0,0.0,205.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市蓮台寺,2.2854001563030493,384.0,65.0,154.0,136.0,0.0,274.0,85.0,237.0,234.0,0.0
下田市河内,2.3454247804810686,712.0,792.0,1059.0,1098.0,388.0,127.0,523.0,54.0,125.0,83.0
下田市落合,2.401501992309576,212.0,0.0,104.0,47.0,0.0,0.0,0.0,0.0,19.0,0.0
下田市大沢,2.6385694472541137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原一区,2.934468738987052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市北湯ケ野,3.2284920603324103,383.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市立野,3.4727040235079123,732.0,396.0,54.0,600.0,36.0,0.0,83.0,0.0,233.0,0.0
下田市横川,3.5916769145051695,63.0,101.0,212.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市高馬,3.7306271426646602,139.0,43.0,122.0,105.0,95.0,312.0,0.0,0.0,0.0,0.0
下田市大沢,3.7551889169257944,1304.0,935.0,1496.0,761.0,353.0,158.0,680.0,157.0,742.0,115.0
下田市白浜,3.7687922291457947,254.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
下田市西中,3.850928481074818,368.0,485.0,259.0,798.0,125.0,258.0,83.0,97.0,72.0,0.0
下田市中（中）,3.8795029653080984,0.0,0.0,209.0,121.0,0.0,62.0,0.0,0.0,0.0,0.0
下田市東中,4.1131457034353005,356.0,572.0,0.0,1030.0,0.0,193.0,0.0,0.0,0.0,0.0
河津町縄地,4.216027084385343,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原二区,4.237093799476738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市白浜,4.239591287002171,480.0,0.0,482.0,0.0,0.0,836.0,0.0,0.0,0.0,0.0
河津町逆川,4.271543447340888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷三丁目,4.301683195878201,129.0,0.0,205.0,246.0,0.0,0.0,1314.0,0.0,0.0,0.0
下田市西本郷二丁目,4.3370625061837975,465.0,112.0,205.0,306.0,0.0,174.0,179.0,0.0,0.0,0.0
河津町笹原,4.407658684446837,0.0,627.0,0.0,0.0,0.0,0.0,68.0,129.0,0.0,1081.0
下田市東本郷二丁目,4.492000596655666,209.0,40.0,253.0,516.0,122.0,88.0,60.0,0.0,0.0,0.0
下田市敷根,4.597825595491554,267.0,0.0,452.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,4.615066374159362,891.0,832.0,516.0,169.0,0.0,178.0,123.0,88.0,1143.0,0.0
下田市西本郷一丁目,4.733406046229575,667.0,105.0,0.0,0.0,205.0,125.0,102.0,0.0,0.0,0.0
下田市中,4.80676514742373,539.0,594.0,189.0,271.0,216.0,49.0,31.0,0.0,220.0,51.0
下田市白浜,4.9164637184244,629.0,195.0,874.0,505.0,574.0,485.0,883.0,0.0,270.0,0.0
下田市東本郷一丁目,4.94774604775538,396.0,29.0,0.0,28.0,92.0,68.0,110.0,0.0,0.0,0.0
河津町谷津,5.056995809853912,146.0,450.0,393.0,63.0,0.0,0.0,65.0,879.0,0.0,154.0
下田市六丁目（旧岡方村）,5.133828669069447,295.0,0.0,57.0,0.0,452.0,127.0,59.0,0.0,168.0,0.0
下田市一丁目,5.263994481359585,378.0,312.0,780.0,403.0,1804.0,1244.0,417.0,0.0,166.0,0.0
下田市大賀茂,5.280568659096435,1640.0,647.0,633.0,597.0,377.0,231.0,77.0,74.0,895.0,0.0
下田市六丁目,5.375020915474067,3810.0,972.0,1814.0,1264.0,985.0,90.0,98.0,0.0,427.0,0.0
河津町峰,5.4254364546503435,0.0,670.0,0.0,263.0,225.0,0.0,0.0,66.0,0.0,168.0
下田市四丁目,5.437516032301342,826.0,197.0,508.0,0.0,0.0,335.0,78.0,0.0,203.0,0.0
河津町小鍋,5.48849480529613,45.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0
下田市二丁目,5.568698849754709,689.0,210.0,643.0,335.0,453.0,979.0,509.0,50.0,210.0,0.0
下田市武ガ浜,5.660463841581531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0
河津町川津筏場,5.665973891014982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市加増野,5.684623077380793,0.0,374.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,5.870725540556493,0.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市柿崎,5.921953572321738,986.0,369.0,643.0,518.0,924.0,208.0,68.0,0.0,0.0,0.0
下田市五丁目,6.061925378711036,234.0,144.0,391.0,60.0,0.0,0.0,0.0,0.0,137.0,0.0
下田市三丁目,6.172077499279336,1189.0,248.0,970.0,352.0,70.0,266.0,188.0,0.0,62.0,208.0
河津町川津筏場,6.2923290065503945,0.0,185.0,0.0,75.0,0.0,75.0,0.0,75.0,0.0,416.0
南伊豆町一條,6.389987902546633,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0
下田市柿崎,6.405484518089349,208.0,255.0,43.0,218.0,258.0,44.0,63.0,0.0,0.0,0.0
河津町川津筏場,6.488350684104089,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0
河津町大鍋,6.57481462042568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0
河津町湯ケ野,6.6011732414745445,0.0,312.0,56.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0
河津町下佐ケ野,6.686923386990935,614.0,440.0,0.0,0.0,0.0,0.0,0.0,2733.0,0.0,0.0
河津町浜,6.692483013075746,390.0,1767.0,143.0,181.0,0.0,131.0,163.0,315.0,52.0,1470.0
河津町梨本,7.015873255196307,72.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町田中,7.049681652330381,951.0,1034.0,147.0,86.0,70.0,0.0,0.0,52.0,0.0,588.0
松崎町池代,7.269168561669685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
