town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,医療法人社団健育会西伊豆健育会病院,下田メディカルセンター,河井医院,ひがしなかクリニック,公益社団法人地域医療振興協会 伊豆今井浜病院,佐倉医院,医療法人慈愛会 石田医院,上の山鎮目クリニック,臼井医院,中江医院,菊池医院,公益社団法人地域医療振興協会 いなずさ診療所,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,はらクリニック,医療法人社団辰五会 ふれあい南伊豆ホスピタル,公益社団法人地域医療振興協会 上河津診療所,のぞみ記念 下田循環器・腎臓クリニック,医療法人社団康心会 康心会伊豆東部病院,かわづクリニック,佐藤医院,白津医院,飯島医院,小川クリニック,医療法人社団桑寿会 下田温泉病院,下田メディカルセンター附属みなとクリニック,かとうクリニック
下田市荒増,下田市,荒増,22219047002,0.8568936243283058,138.9376431678621,34.71778135262826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市椎原,下田市,椎原,00222190430,0.9674875477557535,138.92020791504152,34.72450333314504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市箕作,下田市,箕作,00222190480,1.0065989926254721,138.93798158856356,34.729598062318836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市宇土金,下田市,宇土金,00222190420,1.2246286924237155,138.92359070503846,34.732257329813315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市相玉,下田市,相玉,22219047001,1.471099396555353,138.918253867565,34.7143927778382,299.0,0.0,205.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市蓮台寺,下田市,蓮台寺,00222190320,2.2854001563030493,138.92733370256897,34.70249799786451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市河内,下田市,河内,00222190310,2.3454247804810686,138.9447027596351,34.705248862120285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市落合,下田市,落合,00222190490,2.401501992309576,138.9566891295311,34.725498505950185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市大沢,下田市,大沢,00222190340,2.6385694472541137,138.91487648429867,34.702977590512816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原一区,下田市,須原一区,22219040001,2.934468738987052,138.93969631057493,34.74818527548922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
