town_name_show,dist_km,下田メディカルセンター,公益社団法人地域医療振興協会 伊豆今井浜病院,河井医院,ひがしなかクリニック,医療法人社団健育会西伊豆健育会病院,上の山鎮目クリニック,公益社団法人地域医療振興協会 上河津診療所,菊池医院,佐倉医院,臼井医院,医療法人社団康心会 康心会伊豆東部病院,飯島医院,かわづクリニック,白津医院,公益社団法人地域医療振興協会 いなずさ診療所,佐藤医院,医療法人社団桑寿会 下田温泉病院,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,医療法人慈愛会 石田医院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,はらクリニック,中江医院,かとうクリニック,のぞみ記念 下田循環器・腎臓クリニック,小川クリニック,下田メディカルセンター附属みなとクリニック
下田市荒増,0.8568936243283058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市椎原,0.9674875477557535,0.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市箕作,1.0065989926254721,891.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市宇土金,1.2246286924237155,1255.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市相玉,1.471099396555353,0.0,0.0,205.0,300.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市蓮台寺,2.2854001563030493,384.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市河内,2.3454247804810686,0.0,0.0,1059.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市落合,2.401501992309576,212.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0
下田市大沢,2.6385694472541137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原一区,2.934468738987052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
