facility,total_patients,top3_frequency
下田メディカルセンター,34926.0,39
河井医院,18779.0,25
公益社団法人地域医療振興協会 伊豆今井浜病院,14293.0,18
ひがしなかクリニック,14121.0,15
上の山鎮目クリニック,11829.0,10
菊池医院,9337.0,7
臼井医院,7697.0,5
佐倉医院,7481.0,4
白津医院,5211.0,5
飯島医院,5157.0,5
公益社団法人地域医療振興協会 いなずさ診療所,4153.0,3
公益社団法人地域医療振興協会 伊豆下田診療所,3801.0,4
鈴木クリニック,3472.0,4
市之瀬診療所,2516.0,3
公益社団法人地域医療振興協会 上河津診療所,2266.0,3
医療法人社団桑寿会 下田温泉病院,2022.0,1
佐藤医院,1946.0,1
はらクリニック,1809.0,0
かわづクリニック,1739.0,3
医療法人社団辰五会 ふれあい南伊豆ホスピタル,1459.0,1
かとうクリニック,834.0,1
のぞみ記念 下田循環器・腎臓クリニック,511.0,1
小川クリニック,258.0,0
下田メディカルセンター附属みなとクリニック,95.0,0
