rank,施設名,利用者数合計,対象施設フラグ
1,下田メディカルセンター,40864.0,0
2,公益社団法人地域医療振興協会 伊豆今井浜病院,28480.0,0
3,河井医院,21781.0,0
4,ひがしなかクリニック,14907.0,0
5,上の山鎮目クリニック,13341.0,0
6,公益社団法人地域医療振興協会 上河津診療所,10577.0,0
7,菊池医院,10208.0,0
8,飯島医院,9825.0,0
9,佐倉医院,9703.0,0
10,臼井医院,9679.0,0
11,かわづクリニック,6753.0,0
12,白津医院,6528.0,0
13,佐藤医院,5704.0,0
14,市之瀬診療所,5504.0,0
15,公益社団法人地域医療振興協会 いなずさ診療所,5447.0,0
16,医療法人社団桑寿会 下田温泉病院,4169.0,0
17,公益社団法人地域医療振興協会 伊豆下田診療所,4128.0,1
18,鈴木クリニック,3790.0,0
19,医療法人社団辰五会 ふれあい南伊豆ホスピタル,2601.0,0
20,はらクリニック,2429.0,0
21,かとうクリニック,1771.0,0
22,のぞみ記念 下田循環器・腎臓クリニック,597.0,0
23,小川クリニック,258.0,0
24,下田メディカルセンター附属みなとクリニック,95.0,0
