town_name_show,dist_km,下田メディカルセンター,河井医院,公益社団法人地域医療振興協会 伊豆今井浜病院,ひがしなかクリニック,上の山鎮目クリニック,菊池医院,臼井医院,佐倉医院,白津医院,飯島医院
下田市西本郷一丁目,0.2107694514477783,667.0,0.0,105.0,0.0,205.0,125.0,102.0,0.0,0.0,0.0
下田市西本郷三丁目,0.452654901362252,129.0,205.0,0.0,246.0,0.0,0.0,1314.0,0.0,0.0,0.0
下田市敷根,0.46016108196724337,267.0,452.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0
下田市東本郷一丁目,0.4693875925677424,396.0,0.0,29.0,28.0,92.0,68.0,110.0,0.0,0.0,35.0
下田市西本郷二丁目,0.5325827622075208,465.0,205.0,112.0,306.0,0.0,174.0,179.0,0.0,35.0,0.0
下田市一丁目,0.5470127474496882,378.0,780.0,312.0,403.0,1804.0,1244.0,417.0,166.0,0.0,0.0
下田市東本郷二丁目,0.5961540270145963,209.0,253.0,40.0,516.0,122.0,88.0,60.0,0.0,0.0,0.0
下田市四丁目,0.6928622679103447,826.0,508.0,197.0,0.0,0.0,335.0,78.0,203.0,0.0,0.0
下田市二丁目,0.8254163415866236,689.0,643.0,210.0,335.0,453.0,979.0,509.0,210.0,0.0,0.0
下田市東中,0.9149147304018269,356.0,0.0,572.0,1030.0,0.0,193.0,0.0,0.0,0.0,198.0
下田市西中,0.9445767480365087,368.0,259.0,485.0,798.0,125.0,258.0,83.0,72.0,0.0,0.0
下田市中,0.9660401033440851,539.0,189.0,594.0,271.0,216.0,49.0,31.0,220.0,0.0,0.0
下田市六丁目,0.9755384706104562,3810.0,1814.0,972.0,1264.0,985.0,90.0,98.0,427.0,0.0,0.0
下田市武ガ浜,1.02019671014175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市高馬,1.0224572289007874,139.0,122.0,43.0,105.0,95.0,312.0,0.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,1.1498819458024816,891.0,516.0,832.0,169.0,0.0,178.0,123.0,1143.0,0.0,0.0
下田市六丁目（旧岡方村）,1.2547787646617237,295.0,57.0,0.0,0.0,452.0,127.0,59.0,168.0,0.0,0.0
下田市中（中）,1.3279039427794554,0.0,209.0,0.0,121.0,0.0,62.0,0.0,0.0,0.0,0.0
下田市立野,1.329521017909741,732.0,54.0,396.0,600.0,36.0,0.0,83.0,233.0,0.0,0.0
