town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,公益社団法人地域医療振興協会 伊豆今井浜病院,下田メディカルセンター,医療法人社団健育会 熱川温泉病院,河井医院,ひがしなかクリニック,公益社団法人地域医療振興協会 上河津診療所,医療法人社団康心会 康心会伊豆東部病院,上の山鎮目クリニック,菊池医院,臼井医院,かわづクリニック,熱川クリニック,佐藤医院,公益社団法人地域医療振興協会 いなずさ診療所,太田整形外科,医療法人社団桑寿会 下田温泉病院,鈴木クリニック,公益社団法人地域医療振興協会 伊豆下田診療所,豊寿園温泉医院,かとうクリニック,のぞみ記念 下田循環器・腎臓クリニック,小川クリニック
河津町湯ケ野,河津町,湯ケ野,22302018000,0.6522497021732733,138.95555686207206,34.778588089334235,312.0,0.0,0.0,56.0,0.0,390.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町下佐ケ野,河津町,下佐ケ野,22302019000,0.6725923471488986,138.96164357089077,34.77733638416524,440.0,614.0,0.0,0.0,0.0,2733.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,22302021000,0.7300099501778724,138.9610509486252,34.76726616236452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,22302022000,1.0110858177545652,138.9675168235809,34.77064892710479,185.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町梨本,河津町,梨本,22302015000,1.4953721624353906,138.9482323658616,34.784285041683624,168.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町小鍋,河津町,小鍋,22302017000,1.7220031555881108,138.93794537448784,34.771863648152596,0.0,45.0,0.0,0.0,0.0,328.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,22302023000,1.7790110474704475,138.97539833095075,34.76815390048334,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町逆川,河津町,逆川,22302005000,1.923600918186722,138.95517393492557,34.755556614840756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,河津町,峰,22302006000,1.9651971249788887,138.97377061199163,34.76198248701687,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町沢田,河津町,沢田,22302004000,2.7924863211297524,138.98733408023978,34.772491051193455,298.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,河津町,峰,22302007000,2.832074851298465,138.97689190958886,34.7534350833644,670.0,0.0,0.0,0.0,263.0,66.0,380.0,225.0,0.0,0.0,64.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0
下田市須原一区,下田市,須原一区,22219040001,3.1505857377250375,138.93969631057493,34.74818527548922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,22302020000,3.1774557131038033,138.97966980086449,34.79431516682445,138.0,382.0,0.0,135.0,156.0,2024.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,2147.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町大鍋,河津町,大鍋,22302016000,3.236487905487998,138.92301123709606,34.78167258900191,0.0,0.0,66.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町田中,河津町,田中,22302003000,3.5326518483378586,138.99252083969478,34.76070328408381,1034.0,951.0,0.0,147.0,86.0,52.0,113.0,70.0,0.0,0.0,1197.0,0.0,588.0,0.0,261.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0
河津町谷津,河津町,谷津,22302008000,3.99413038802486,138.9804581933101,34.74261907229504,450.0,146.0,324.0,393.0,63.0,879.0,345.0,0.0,0.0,65.0,421.0,0.0,154.0,0.0,69.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0
河津町梨本,河津町,梨本,22302014000,4.111039401342466,138.96246962541994,34.80947982376665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町笹原,河津町,笹原,22302002000,4.2165112452686815,138.9751722506162,34.73803349001124,627.0,0.0,204.0,0.0,0.0,129.0,0.0,0.0,0.0,68.0,206.0,60.0,1081.0,0.0,0.0,124.0,0.0,0.0,0.0,84.0,0.0,0.0
下田市須原二区,下田市,須原二区,22219040002,4.260316999051288,138.91358652072233,34.758319642537245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町見高,河津町,見高,22302012000,4.409284726142151,139.00431432365144,34.77965546918765,229.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町浜,河津町,浜,22302001000,4.715597340449635,138.99771152411986,34.746984938544394,1767.0,390.0,0.0,143.0,181.0,315.0,49.0,0.0,131.0,163.0,375.0,0.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,0.0,0.0
河津町見高,河津町,見高,22302010000,4.808984466904636,139.00567287057802,34.75680522975028,943.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市箕作,下田市,箕作,22219048000,5.1018042223867575,138.93798158856356,34.729598062318836,549.0,891.0,93.0,288.0,265.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市落合,下田市,落合,22219049000,5.2604316901120995,138.9566891295311,34.725498505950185,0.0,212.0,0.0,104.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,122.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0
河津町梨本,河津町,梨本,22302013000,5.3588070212659655,138.91702862267184,34.80827077416133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町縄地,河津町,縄地,22302009000,5.418296580318159,138.97648406469798,34.72685172171289,126.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市宇土金,下田市,宇土金,22219042000,5.432765032536353,138.92359070503846,34.732257329813315,0.0,1255.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
