facility,total_patients,top3_frequency
公益社団法人地域医療振興協会 伊豆今井浜病院,24397.0,28
医療法人社団健育会 熱川温泉病院,17335.0,8
下田メディカルセンター,15208.0,23
河井医院,11201.0,17
公益社団法人地域医療振興協会 上河津診療所,10689.0,9
医療法人社団康心会 康心会伊豆東部病院,9300.0,8
ひがしなかクリニック,8674.0,13
かわづクリニック,6822.0,8
熱川クリニック,5620.0,1
臼井医院,5440.0,3
菊池医院,5440.0,5
佐藤医院,5410.0,5
上の山鎮目クリニック,5111.0,3
公益社団法人地域医療振興協会 いなずさ診療所,4564.0,4
太田整形外科,4501.0,3
医療法人社団桑寿会 下田温泉病院,3075.0,1
鈴木クリニック,2393.0,2
公益社団法人地域医療振興協会 伊豆下田診療所,2358.0,4
豊寿園温泉医院,1700.0,0
かとうクリニック,1640.0,2
のぞみ記念 下田循環器・腎臓クリニック,201.0,0
小川クリニック,139.0,0
