rank,施設名,利用者数合計,対象施設フラグ
1,公益社団法人地域医療振興協会 伊豆今井浜病院,28479.0,0
2,下田メディカルセンター,25054.0,0
3,医療法人社団健育会 熱川温泉病院,18797.0,0
4,河井医院,16844.0,0
5,ひがしなかクリニック,12097.0,0
6,公益社団法人地域医療振興協会 上河津診療所,10844.0,1
7,医療法人社団康心会 康心会伊豆東部病院,9778.0,0
8,上の山鎮目クリニック,9523.0,0
9,菊池医院,7793.0,0
10,臼井医院,7182.0,0
11,かわづクリニック,6822.0,0
12,熱川クリニック,5722.0,0
13,佐藤医院,5618.0,0
14,公益社団法人地域医療振興協会 いなずさ診療所,5135.0,0
15,太田整形外科,4808.0,0
16,医療法人社団桑寿会 下田温泉病院,3566.0,0
17,鈴木クリニック,3393.0,0
18,公益社団法人地域医療振興協会 伊豆下田診療所,3191.0,0
19,豊寿園温泉医院,1770.0,0
20,かとうクリニック,1701.0,0
21,のぞみ記念 下田循環器・腎臓クリニック,444.0,0
22,小川クリニック,258.0,0
