town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,下田メディカルセンター,河井医院,ひがしなかクリニック,公益社団法人地域医療振興協会 伊豆今井浜病院,臼井医院,上の山鎮目クリニック,菊池医院,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,公益社団法人地域医療振興協会 いなずさ診療所,医療法人社団健育会 熱川温泉病院,のぞみ記念 下田循環器・腎臓クリニック,太田整形外科,医療法人社団康心会 康心会伊豆東部病院,公益社団法人地域医療振興協会 上河津診療所,かわづクリニック,佐藤医院,医療法人社団桑寿会 下田温泉病院,小川クリニック,熱川クリニック,豊寿園温泉医院,かとうクリニック
河津町湯ケ野,河津町,湯ケ野,00223020180,0.6522497021732733,138.95555686207206,34.778588089334235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町下佐ケ野,河津町,下佐ケ野,00223020190,0.6725923471488986,138.96164357089077,34.77733638416524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,00223020210,0.7300099501778724,138.9610509486252,34.76726616236452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,00223020220,1.0110858177545652,138.9675168235809,34.77064892710479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町梨本,河津町,梨本,00223020150,1.4953721624353906,138.9482323658616,34.784285041683624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町小鍋,河津町,小鍋,00223020170,1.7220031555881108,138.93794537448784,34.771863648152596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,00223020230,1.7790110474704475,138.97539833095075,34.76815390048334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町逆川,河津町,逆川,00223020050,1.923600918186722,138.95517393492557,34.755556614840756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,河津町,峰,00223020060,1.9651971249788887,138.97377061199163,34.76198248701687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町沢田,河津町,沢田,00223020040,2.7924863211297524,138.98733408023978,34.772491051193455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,河津町,峰,00223020070,2.832074851298465,138.97689190958886,34.7534350833644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原一区,下田市,須原一区,22219040001,3.1505857377250375,138.93969631057493,34.74818527548922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,00223020200,3.1774557131038033,138.97966980086449,34.79431516682445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町大鍋,河津町,大鍋,00223020160,3.236487905487998,138.92301123709606,34.78167258900191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町田中,河津町,田中,00223020030,3.5326518483378586,138.99252083969478,34.76070328408381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町谷津,河津町,谷津,00223020080,3.99413038802486,138.9804581933101,34.74261907229504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町梨本,河津町,梨本,00223020140,4.111039401342466,138.96246962541994,34.80947982376665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町笹原,河津町,笹原,00223020020,4.2165112452686815,138.9751722506162,34.73803349001124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原二区,下田市,須原二区,22219040002,4.260316999051288,138.91358652072233,34.758319642537245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町見高,河津町,見高,00223020120,4.409284726142151,139.00431432365144,34.77965546918765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町浜,河津町,浜,00223020010,4.715597340449635,138.99771152411986,34.746984938544394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町見高,河津町,見高,00223020100,4.808984466904636,139.00567287057802,34.75680522975028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市箕作,下田市,箕作,00222190480,5.1018042223867575,138.93798158856356,34.729598062318836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市落合,下田市,落合,00222190490,5.2604316901120995,138.9566891295311,34.725498505950185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町梨本,河津町,梨本,00223020130,5.3588070212659655,138.91702862267184,34.80827077416133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町縄地,河津町,縄地,00223020090,5.418296580318159,138.97648406469798,34.72685172171289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市宇土金,下田市,宇土金,00222190420,5.432765032536353,138.92359070503846,34.732257329813315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町見高,河津町,見高,00223020110,5.8293092544250875,139.01903455433103,34.76133802324197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市椎原,下田市,椎原,00222190430,6.324819018104706,138.92020791504152,34.72450333314504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市荒増,下田市,荒増,22219047002,6.363052891469701,138.9376431678621,34.71778135262826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東伊豆町稲取,東伊豆町,稲取,00223010010,6.485154726561317,139.02341413298493,34.792927571865334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市北湯ケ野,下田市,北湯ケ野,00222190440,6.583675428897085,138.899585902723,34.73676788160652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,00222190730,6.908753413049901,138.97526407569057,34.71256332776926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市相玉,下田市,相玉,22219047001,7.387151729161918,138.918253867565,34.7143927778382,0.0,205.0,300.0,0.0,0.0,0.0,0.0,0.0,201.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市河内,下田市,河内,00222190310,7.5924941637553145,138.9447027596351,34.705248862120285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,00222190720,7.713754209248434,138.96463841547487,34.70373774374639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東伊豆町白田,東伊豆町,白田,00223010020,8.107246339207235,139.03003405615615,34.813981119192306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市蓮台寺,下田市,蓮台寺,00222190320,8.267551450024492,138.92733370256897,34.70249799786451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
