town_name_show,dist_km,公益社団法人地域医療振興協会 伊豆今井浜病院,下田メディカルセンター,医療法人社団健育会 熱川温泉病院,河井医院,ひがしなかクリニック,公益社団法人地域医療振興協会 上河津診療所,医療法人社団康心会 康心会伊豆東部病院,上の山鎮目クリニック,菊池医院,臼井医院,かわづクリニック,熱川クリニック,佐藤医院,公益社団法人地域医療振興協会 いなずさ診療所,太田整形外科,医療法人社団桑寿会 下田温泉病院,鈴木クリニック,公益社団法人地域医療振興協会 伊豆下田診療所,豊寿園温泉医院,かとうクリニック,のぞみ記念 下田循環器・腎臓クリニック,小川クリニック
河津町湯ケ野,0.6522497021732733,312.0,0.0,0.0,56.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町下佐ケ野,0.6725923471488986,0.0,614.0,0.0,0.0,0.0,2733.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,0.7300099501778724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,1.0110858177545652,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町梨本,1.4953721624353906,168.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町小鍋,1.7220031555881108,0.0,0.0,0.0,0.0,0.0,328.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,1.7790110474704475,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町逆川,1.923600918186722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,1.9651971249788887,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町沢田,2.7924863211297524,298.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,2.832074851298465,670.0,0.0,0.0,0.0,263.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原一区,3.1505857377250375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,3.1774557131038033,0.0,382.0,0.0,0.0,0.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町大鍋,3.236487905487998,0.0,0.0,66.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
