town_name_show,dist_km,医療法人社団健育会西伊豆健育会病院,医療法人社団健育会 西伊豆健育会病院附属土肥クリニック,西伊豆町安良里診療所,池田医院,西伊豆町田子診療所,医療法人慈愛会 石田医院,医療法人社団正仁会 加藤内科,中江医院,佐藤医院
西伊豆町安良里中島,0.1381886729283752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町安良里天坂,0.2652479628454754,0.0,235.0,637.0,218.0,0.0,0.0,0.0,0.0,0.0
西伊豆町安良里浜川東,0.6450506004723672,212.0,337.0,1815.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町安良里浦上,0.7634905732603555,0.0,162.0,0.0,355.0,605.0,0.0,0.0,0.0,0.0
西伊豆町安良里浜川西,1.040175885222752,215.0,0.0,1098.0,487.0,0.0,0.0,0.0,0.0,0.0
西伊豆町宇久須芝,1.532683739683619,99.0,76.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0
西伊豆町田子大田子,2.1759223888763866,1145.0,982.0,0.0,0.0,789.0,0.0,0.0,0.0,0.0
西伊豆町宇久須浜,2.1763943450672727,0.0,202.0,272.0,351.0,0.0,0.0,0.0,0.0,0.0
西伊豆町田子道西,2.3785029741733665,0.0,266.0,722.0,0.0,346.0,0.0,0.0,0.0,0.0
西伊豆町宇久須下月原,2.5124469091176196,250.0,0.0,255.0,1135.0,0.0,0.0,0.0,0.0,0.0
西伊豆町田子月西,2.7227850525011394,0.0,800.0,743.0,639.0,0.0,0.0,0.0,0.0,0.0
西伊豆町田子道東,2.9831257451232354,666.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0
西伊豆町田子月東,3.129261503657069,369.0,253.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0
西伊豆町田子川向,3.1912445459500165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科浮島,3.636343810636767,0.0,0.0,0.0,98.0,140.0,0.0,0.0,0.0,0.0
西伊豆町宇九須月原,3.68652105602319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町宇久須大久須,3.9317156795345323,0.0,571.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科野畑,4.660581339493525,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,4.722631804165159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,4.77762047978007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町一色,4.79864317613754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科沢田,4.997433278515778,473.0,0.0,367.0,307.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,5.040899997084728,0.0,606.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,5.7052315020717925,176.0,576.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0
西伊豆町中,5.913635893256218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科浜,5.999056662867701,2364.0,576.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町宇久須神田,6.153795856337705,269.0,402.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,6.379932650452817,463.0,1303.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0
西伊豆町仁科大浜,6.439146517343868,1204.0,262.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,6.549391174913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科築地,6.631509684665686,2169.0,0.0,592.0,191.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,6.802552190633981,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,7.0064084156321105,55.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,7.3397141513031885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,7.381682511810175,0.0,152.0,70.0,43.0,0.0,0.0,0.0,0.0,0.0
松崎町門野,7.434157001917665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,7.493063843747258,0.0,0.0,0.0,545.0,0.0,325.0,0.0,203.0,0.0
松崎町櫻田,7.578901120962082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,7.69817227022829,1759.0,0.0,0.0,0.0,263.0,0.0,0.0,366.0,0.0
松崎町吉田,7.721908410860141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,7.730175217337664,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町船田,7.772205264148537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町大沢里,7.799600801052661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,7.877758769845042,0.0,0.0,198.0,0.0,0.0,287.0,0.0,224.0,0.0
松崎町松崎,8.033728553887778,0.0,84.0,0.0,84.0,0.0,0.0,0.0,784.0,0.0
松崎町建久寺,8.049813538150984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,8.184626543569768,29.0,102.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0
松崎町松崎,8.197797019138866,88.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町松崎,8.199100506229529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町那賀,8.2533165050953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
