town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,医療法人社団健育会西伊豆健育会病院,医療法人社団健育会 西伊豆健育会病院附属土肥クリニック,西伊豆町安良里診療所,池田医院,西伊豆町田子診療所,医療法人慈愛会 石田医院,医療法人社団正仁会 加藤内科,中江医院,佐藤医院
西伊豆町田子道西,西伊豆町,田子道西,22306001002,0.5366429796632927,138.76513911523512,34.80572952842054,239.0,266.0,722.0,191.0,346.0,0.0,0.0,0.0,0.0
西伊豆町田子大田子,西伊豆町,田子大田子,22306001001,1.1300920976278657,138.75518167134467,34.811161710586816,1145.0,982.0,603.0,237.0,789.0,0.0,0.0,0.0,0.0
西伊豆町安良里浦上,西伊豆町,安良里浦上,22306007011,1.2196552708615118,138.77234346063452,34.820371750755804,35.0,162.0,70.0,355.0,605.0,0.0,0.0,0.0,0.0
西伊豆町田子道東,西伊豆町,田子道東,22306001003,1.2241526093705513,138.77314101933203,34.80016310813938,666.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0
西伊豆町田子月西,西伊豆町,田子月西,22306001006,1.2525102459236108,138.75507031463573,34.805380205215585,0.0,800.0,743.0,639.0,228.0,0.0,0.0,0.0,0.0
西伊豆町田子月東,西伊豆町,田子月東,22306001005,1.2666888479034129,138.7662262368132,34.79880621048934,369.0,253.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0
西伊豆町田子川向,西伊豆町,田子川向,22306001004,1.3568096034446173,138.77002702805405,34.7981256656112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町安良里天坂,西伊豆町,安良里天坂,22306007010,1.654911321614769,138.770941025094,34.82476194461402,74.0,235.0,637.0,218.0,76.0,0.0,0.0,0.0,0.0
西伊豆町安良里中島,西伊豆町,安良里中島,22306007009,1.7704031762157295,138.76828023548285,34.82605845632471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科浮島,西伊豆町,仁科浮島,22306002007,1.7966308121998609,138.7612947804627,34.79481635185624,0.0,0.0,0.0,98.0,140.0,0.0,0.0,0.0,0.0
西伊豆町安良里浜川東,西伊豆町,安良里浜川東,22306007007,2.03994548299775,138.7765408270191,34.82692643225366,212.0,337.0,1815.0,158.0,0.0,0.0,0.0,0.0,0.0
西伊豆町安良里浜川西,西伊豆町,安良里浜川西,22306007008,2.430405077657574,138.78048693946803,34.82922954388789,215.0,66.0,1098.0,487.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科野畑,西伊豆町,仁科野畑,22306002014,2.946070809102421,138.78047630782638,34.78589297513565,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科沢田,西伊豆町,仁科沢田,22306002011,3.153214559988453,138.75814966577911,34.78285126943021,473.0,0.0,367.0,307.0,0.0,0.0,0.0,0.0,0.0
西伊豆町宇久須芝,西伊豆町,宇久須芝,22306006006,3.390300986668809,138.77290585553607,34.84031461549549,99.0,76.0,73.0,211.0,0.0,0.0,0.0,0.0,0.0
西伊豆町一色,西伊豆町,一色,00223060040,3.8067915795124767,138.80481093592797,34.79487378457497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町宇久須浜,西伊豆町,宇久須浜,22306006005,4.02854337371486,138.7751733219106,34.845827342548034,96.0,202.0,272.0,351.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科浜,西伊豆町,仁科浜,22306002012,4.16452068781298,138.7725894645908,34.772931507645914,2364.0,576.0,628.0,502.0,538.0,0.0,0.0,0.0,0.0
西伊豆町中,西伊豆町,中,00223060030,4.248685112232685,138.78807023569794,34.7758781473305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町宇久須下月原,西伊豆町,宇久須下月原,22306006004,4.348501007264442,138.77813270779882,34.848270075794396,250.0,128.0,255.0,1135.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科大浜,西伊豆町,仁科大浜,22306002013,4.617520944469512,138.77513598498433,34.76909992411678,1204.0,262.0,587.0,161.0,37.0,102.0,0.0,0.0,0.0
西伊豆町仁科築地,西伊豆町,仁科築地,22306002015,4.869312457325712,138.7827413737224,34.768186497503514,2169.0,97.0,592.0,191.0,187.0,51.0,0.0,0.0,0.0
西伊豆町宇久須大久須,西伊豆町,宇久須大久須,22306006001,4.890193504777545,138.81121066580405,34.835574776801614,0.0,571.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0
西伊豆町宇九須月原,西伊豆町,宇九須月原,22306006003,5.4213949478739805,138.79068464324715,34.85503756649818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,松崎町,江奈,22305001007,5.693191658079592,138.78002777890566,34.759994504901286,60.0,66.0,72.0,545.0,0.0,325.0,0.0,203.0,0.0
松崎町櫻田,松崎町,櫻田,00223050070,5.899749253338399,138.79351391054252,34.76158438425429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,松崎町,江奈,22305002009,5.909137105616969,138.77687502318796,34.75756868100158,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,松崎町,江奈,22305001006,5.937186506168662,138.78562125430355,34.75887200358165,1759.0,165.0,105.0,0.0,263.0,111.0,0.0,366.0,0.0
松崎町江奈,松崎町,江奈,22305002008,6.06666679081487,138.77887591833914,34.75639721330458,197.0,181.0,198.0,0.0,0.0,287.0,0.0,224.0,0.0
松崎町吉田,松崎町,吉田,00223050100,6.2083735420944315,138.80631772087233,34.764313952784725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町松崎,松崎町,松崎,22305003004,6.212414280233207,138.77720641562735,34.75485217205554,0.0,84.0,0.0,84.0,0.0,0.0,0.0,784.0,0.0
松崎町松崎,松崎町,松崎,22305003002,6.366784483535712,138.77532122521689,34.75325363858781,88.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町松崎,松崎町,松崎,22305003005,6.376165210074212,138.7770839422377,34.753350670377124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町建久寺,松崎町,建久寺,00223050090,6.468367375700338,138.80338771534662,34.759999161480685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,伊豆市,小下田,22222056027,6.57894639891523,138.76948263842513,34.86929318906801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町船田,松崎町,船田,00223050110,6.590485187684074,138.82363101772884,34.772895735492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町那賀,松崎町,那賀,00223050080,6.611817610435941,138.79950441925857,34.75681444835915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,伊豆市,小下田,22222056031,6.621199158477176,138.76573652261627,34.869678029025685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町門野,松崎町,門野,00223050060,6.672874521977905,138.83497438999896,34.78710334739186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町松崎,松崎町,松崎,22305003003,6.801073193148775,138.77657064082504,34.74944195472452,743.0,129.0,147.0,130.0,149.0,637.0,0.0,0.0,0.0
