都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
栃木県,宇都宮市,旭,一丁目,宇都宮市旭一丁目,09201,002001,4,415.0,宇都宮市,旭一丁目,宇都宮市旭一丁目,09201002001,10.0,16.0,23.0,15.0,8.0,14.0,7.0,22.0,32.0,59.0,51.0,31.0,23.0,29.0,29.0,14.0,10.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,20.0
栃木県,宇都宮市,旭,二丁目,宇都宮市旭二丁目,09201,002002,4,392.0,宇都宮市,旭二丁目,宇都宮市旭二丁目,09201002002,10.0,11.0,12.0,13.0,7.0,12.0,21.0,18.0,17.0,22.0,28.0,34.0,29.0,38.0,28.0,26.0,18.0,12.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,23.0
栃木県,宇都宮市,泉が丘,一丁目,宇都宮市泉が丘一丁目,09201,004001,4,801.0,宇都宮市,泉が丘一丁目,宇都宮市泉が丘一丁目,09201004001,32.0,29.0,19.0,24.0,47.0,56.0,64.0,53.0,43.0,55.0,55.0,67.0,60.0,53.0,58.0,28.0,17.0,14.0,6.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,43.0
栃木県,宇都宮市,泉が丘,二丁目,宇都宮市泉が丘二丁目,09201,004002,4,1704.0,宇都宮市,泉が丘二丁目,宇都宮市泉が丘二丁目,09201004002,73.0,86.0,82.0,78.0,69.0,78.0,88.0,112.0,134.0,130.0,163.0,118.0,85.0,93.0,95.0,53.0,43.0,24.0,10.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,7.0,7.0,5.0,8.0,9.0,6.0,5.0,3.0,1.0,0.0,0.0,84.0
栃木県,宇都宮市,泉が丘,三丁目,宇都宮市泉が丘三丁目,09201,004003,4,499.0,宇都宮市,泉が丘三丁目,宇都宮市泉が丘三丁目,09201004003,19.0,20.0,15.0,20.0,14.0,14.0,14.0,30.0,30.0,29.0,29.0,35.0,41.0,38.0,50.0,21.0,19.0,12.0,11.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,26.0
栃木県,宇都宮市,泉が丘,四丁目,宇都宮市泉が丘四丁目,09201,004004,4,690.0,宇都宮市,泉が丘四丁目,宇都宮市泉が丘四丁目,09201004004,17.0,20.0,39.0,37.0,52.0,36.0,18.0,27.0,35.0,58.0,65.0,38.0,39.0,49.0,46.0,50.0,29.0,24.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,0.0,39.0
栃木県,宇都宮市,泉が丘,五丁目,宇都宮市泉が丘五丁目,09201,004005,4,286.0,宇都宮市,泉が丘五丁目,宇都宮市泉が丘五丁目,09201004005,18.0,12.0,20.0,13.0,7.0,7.0,15.0,18.0,21.0,33.0,13.0,18.0,21.0,10.0,20.0,12.0,9.0,11.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0
栃木県,宇都宮市,泉が丘,六丁目,宇都宮市泉が丘六丁目,09201,004006,4,667.0,宇都宮市,泉が丘六丁目,宇都宮市泉が丘六丁目,09201004006,25.0,33.0,39.0,47.0,31.0,32.0,25.0,32.0,42.0,58.0,54.0,59.0,35.0,26.0,30.0,31.0,20.0,17.0,7.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,32.0
栃木県,宇都宮市,泉が丘,七丁目,宇都宮市泉が丘七丁目,09201,004007,4,581.0,宇都宮市,泉が丘七丁目,宇都宮市泉が丘七丁目,09201004007,20.0,34.0,30.0,22.0,30.0,37.0,27.0,23.0,39.0,43.0,48.0,44.0,29.0,37.0,27.0,38.0,28.0,16.0,5.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,35.0
栃木県,宇都宮市,一条,一丁目,宇都宮市一条一丁目,09201,006001,4,257.0,宇都宮市,一条一丁目,宇都宮市一条一丁目,09201006001,12.0,10.0,9.0,4.0,5.0,8.0,12.0,17.0,24.0,22.0,18.0,17.0,9.0,17.0,13.0,12.0,8.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,12.0
