town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,学校法人獨協学園 獨協医科大学日光医療センター,今市病院,日光市民病院,岡村整形外科,阿久津医院,ぶんかばしファミリークリニック,石塚クリニック,藤原医院,吉原医院,見龍堂医療福祉総合クリニック,おおはしアイクリニック,山﨑内科医院,熊谷医院,いちいクリニック内科・皮膚科,日光野口病院,見龍堂クリニックかわせみ,新沢外科,医療法人 博友会 日光腎クリニック,木村内科医院,森病院,岡医院,川上病院,沼尾医院,小泉内科クリニック,栃木県県西保健所今市支所,森島こどもクリニック,小沢医院,本町内科クリニック,小西医院,いとうクリニック,荒井腎クリニック,日光市立小来川診療所
日光市中小来川,日光市,中小来川,09206068000,0.6566349231299219,139.61673062047677,36.66676044621854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市宮小来川,日光市,宮小来川,09206066000,0.9577518757308962,139.6335188178058,36.66714242230121,278.0,363.0,0.0,0.0,201.0,45.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
日光市南小来川,日光市,南小来川,09206065000,1.9184616808088546,139.6373285765503,36.65111398850797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市西小来川,日光市,西小来川,09206069000,2.214256150794692,139.606937117426,36.679165762788784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市東小来川,日光市,東小来川,09206067000,2.764267534008777,139.63081185121112,36.68839843431838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市滝ケ原,日光市,滝ケ原,09206070000,3.814767073507184,139.59715515548717,36.69135109070567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鹿沼市上大久保,鹿沼市,上大久保,09205066000,3.8352819293497995,139.62783261303989,36.62995236845351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市長畑,日光市,長畑,09206083001,4.534671534152393,139.67363812187827,36.6705271898576,209.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鹿沼市下大久保,鹿沼市,下大久保,09205065000,4.742329807522508,139.6423714062425,36.62442018202255,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市長畑,日光市,長畑,09206083002,5.2004734314532675,139.67320323138185,36.68858832736107,619.0,417.0,489.0,381.0,667.0,0.0,362.0,32.0,64.0,653.0,0.0,0.0,169.0,101.0,489.0,132.0,285.0,31.0,109.0,0.0,47.0,27.0,382.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,59.0,0.0
