facility,total_patients,top3_frequency
学校法人獨協学園 獨協医科大学日光医療センター,12524.0,22
今市病院,11514.0,20
阿久津医院,6392.0,14
岡村整形外科,5939.0,10
日光市民病院,4870.0,6
吉原医院,2831.0,7
おおはしアイクリニック,2557.0,6
見龍堂クリニックかわせみ,2267.0,5
日光野口病院,2254.0,3
藤原医院,2162.0,1
ぶんかばしファミリークリニック,1608.0,2
いちいクリニック内科・皮膚科,1426.0,2
森病院,1268.0,3
新沢外科,1188.0,1
見龍堂医療福祉総合クリニック,1120.0,2
医療法人 博友会 日光腎クリニック,1035.0,3
熊谷医院,1014.0,2
川上病院,886.0,0
沼尾医院,740.0,1
石塚クリニック,656.0,0
小沢医院,518.0,1
岡医院,489.0,0
山﨑内科医院,391.0,1
栃木県県西保健所今市支所,329.0,0
木村内科医院,317.0,0
小西医院,307.0,0
小泉内科クリニック,255.0,0
荒井腎クリニック,105.0,0
森島こどもクリニック,72.0,1
日光市立小来川診療所,68.0,0
本町内科クリニック,40.0,0
いとうクリニック,0.0,0
