rank,施設名,利用者数合計,対象施設フラグ
1,学校法人獨協学園 獨協医科大学日光医療センター,60672.0,0
2,今市病院,35703.0,0
3,日光市民病院,30975.0,0
4,岡村整形外科,26709.0,0
5,阿久津医院,19382.0,0
6,ぶんかばしファミリークリニック,18033.0,0
7,石塚クリニック,12324.0,0
8,藤原医院,9854.0,0
9,吉原医院,8313.0,0
10,見龍堂医療福祉総合クリニック,8299.0,0
11,おおはしアイクリニック,6772.0,0
12,山﨑内科医院,6712.0,0
13,熊谷医院,6379.0,0
14,いちいクリニック内科・皮膚科,6238.0,0
15,日光野口病院,6042.0,0
16,見龍堂クリニックかわせみ,5998.0,0
17,新沢外科,5733.0,0
18,医療法人 博友会 日光腎クリニック,5697.0,0
19,木村内科医院,5522.0,0
20,森病院,3396.0,0
21,岡医院,2943.0,0
22,川上病院,2528.0,0
23,沼尾医院,2064.0,0
24,小泉内科クリニック,2012.0,0
25,栃木県県西保健所今市支所,1605.0,0
26,森島こどもクリニック,1170.0,0
27,小沢医院,1161.0,0
28,本町内科クリニック,1147.0,0
29,小西医院,779.0,0
30,いとうクリニック,403.0,0
31,荒井腎クリニック,250.0,0
32,日光市立小来川診療所,68.0,1
