TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,いちいクリニック内科・皮膚科,いとうクリニック,おおはしアイクリニック,ぶんかばしファミリークリニック,今市病院,医療法人 博友会 日光腎クリニック,吉原医院,学校法人獨協学園 獨協医科大学日光医療センター,小沢医院,小泉内科クリニック,小西医院,山﨑内科医院,岡医院,岡村整形外科,川上病院,新沢外科,日光市民病院,日光市立小来川診療所,日光野口病院,木村内科医院,本町内科クリニック,栃木県県西保健所今市支所,森島こどもクリニック,森病院,沼尾医院,熊谷医院,石塚クリニック,荒井腎クリニック,藤原医院,見龍堂クリニックかわせみ,見龍堂医療福祉総合クリニック,阿久津医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
09206068000,日光市,中小来川,日光市,中小来川,日光市中小来川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,139.61673062047677,36.66676044621854,0.6566349231299219,365.0,日光市中小来川,日光市中小来川,code_in_car30
09206066000,日光市,宮小来川,日光市,宮小来川,日光市宮小来川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,45.0,363.0,0.0,47.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,201.0,139.6335188178058,36.66714242230121,0.9577518757308962,1097.0,日光市宮小来川,日光市宮小来川,code_in_car30
09206065000,日光市,南小来川,日光市,南小来川,日光市南小来川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.6373285765503,36.65111398850797,1.9184616808088546,0.0,日光市南小来川,日光市南小来川,code_in_car30
09206069000,日光市,西小来川,日光市,西小来川,日光市西小来川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.606937117426,36.679165762788784,2.214256150794692,119.0,日光市西小来川,日光市西小来川,code_in_car30
09206067000,日光市,東小来川,日光市,東小来川,日光市東小来川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.63081185121112,36.68839843431838,2.764267534008777,0.0,日光市東小来川,日光市東小来川,code_in_car30
09206070000,日光市,滝ケ原,日光市,滝ケ原,日光市滝ケ原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.59715515548717,36.69135109070567,3.814767073507184,0.0,日光市滝ケ原,日光市滝ケ原,code_in_car30
09205066000,鹿沼市,上大久保,鹿沼市,上大久保,鹿沼市上大久保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.62783261303989,36.62995236845351,3.8352819293497995,0.0,鹿沼市上大久保,鹿沼市上大久保,code_in_car30
09206083001,日光市,長畑,日光市,長畑,日光市長畑,栃木県,日光市,長畑,,日光市長畑,9206.0,83001.0,4.0,360.0,10.0,13.0,17.0,20.0,2.0,12.0,18.0,10.0,22.0,21.0,27.0,26.0,36.0,39.0,29.0,19.0,14.0,14.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,73.0,0.0,80.0,197.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.67363812187827,36.6705271898576,4.534671534152393,559.0,日光市長畑,日光市長畑,code_in_car30
09205065000,鹿沼市,下大久保,鹿沼市,下大久保,鹿沼市下大久保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.6423714062425,36.62442018202255,4.742329807522508,104.0,鹿沼市下大久保,鹿沼市下大久保,code_in_car30
09206083002,日光市,長畑,日光市,長畑,日光市長畑,栃木県,日光市,長畑,,日光市長畑,9206.0,83002.0,4.0,247.0,10.0,7.0,3.0,7.0,7.0,8.0,8.0,12.0,9.0,17.0,10.0,13.0,22.0,28.0,41.0,14.0,17.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,14.0,101.0,0.0,0.0,0.0,417.0,31.0,64.0,619.0,332.0,0.0,0.0,0.0,47.0,381.0,27.0,285.0,489.0,0.0,489.0,109.0,0.0,0.0,0.0,0.0,382.0,169.0,362.0,59.0,32.0,132.0,653.0,667.0,139.67320323138185,36.68858832736107,5.2004734314532675,5847.0,日光市長畑,日光市長畑,code_in_car30
