town_name_show,dist_km,学校法人獨協学園 獨協医科大学日光医療センター,今市病院,阿久津医院,岡村整形外科,日光市民病院,吉原医院,おおはしアイクリニック,見龍堂クリニックかわせみ,日光野口病院,藤原医院
日光市中小来川,0.6566349231299219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0
日光市宮小来川,0.9577518757308962,278.0,363.0,201.0,0.0,0.0,47.0,0.0,57.0,0.0,0.0
日光市南小来川,1.9184616808088546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市西小来川,2.214256150794692,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0
日光市東小来川,2.764267534008777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市滝ケ原,3.814767073507184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鹿沼市上大久保,3.8352819293497995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市長畑,4.534671534152393,209.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0
鹿沼市下大久保,4.742329807522508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市長畑,5.2004734314532675,619.0,417.0,667.0,381.0,489.0,64.0,0.0,132.0,489.0,32.0
日光市山久保,5.458290664479453,0.0,435.0,192.0,104.0,38.0,41.0,38.0,187.0,0.0,0.0
鹿沼市草久,6.058594995677785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鹿沼市板荷,6.180953643867898,1287.0,0.0,346.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0
日光市千本木,7.096415294518312,233.0,281.0,267.0,540.0,48.0,289.0,0.0,267.0,118.0,0.0
鹿沼市引田,7.138012417193135,80.0,0.0,0.0,0.0,80.0,0.0,0.0,162.0,322.0,0.0
鹿沼市上久我,7.1586652715978625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市平ケ崎,7.446868679332866,729.0,533.0,212.0,781.0,50.0,445.0,145.0,450.0,99.0,0.0
日光市和泉,7.451986616681721,597.0,299.0,128.0,38.0,172.0,36.0,187.0,264.0,0.0,172.0
日光市明神,7.73909022214339,577.0,262.0,372.0,190.0,145.0,395.0,118.0,101.0,154.0,0.0
日光市野口,7.970549795210834,404.0,817.0,399.0,1092.0,1233.0,0.0,0.0,0.0,253.0,675.0
日光市室瀬,8.025963790702082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市千本木,8.084563196500506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市下の内,8.095612267804327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市七里,8.15654797547742,1278.0,389.0,65.0,240.0,602.0,31.0,33.0,77.0,183.0,823.0
日光市千本木,8.20617959385278,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0
日光市千本木,8.216661080849061,135.0,59.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0
日光市小代,8.22077431402585,858.0,156.0,1236.0,212.0,0.0,0.0,139.0,0.0,0.0,43.0
日光市平ケ崎,8.272890800717938,40.0,722.0,119.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市平ケ崎,8.388708477390848,283.0,351.0,0.0,140.0,173.0,0.0,0.0,0.0,0.0,0.0
日光市平ケ崎,8.436539445735898,34.0,758.0,82.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.444569066783794,418.0,65.0,64.0,0.0,65.0,248.0,0.0,0.0,341.0,0.0
日光市平ケ崎,8.524587086742892,334.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.599649876504339,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.605034622666711,189.0,295.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0
日光市明神,8.610495543316262,0.0,144.0,29.0,0.0,0.0,0.0,20.0,0.0,245.0,0.0
日光市中央町,8.623136936669793,532.0,1366.0,120.0,152.0,282.0,0.0,248.0,0.0,0.0,60.0
日光市瀬川,8.627968327018886,547.0,637.0,205.0,417.0,226.0,0.0,111.0,64.0,0.0,33.0
日光市平ケ崎,8.634089700282335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.637201159816547,474.0,71.0,265.0,200.0,811.0,104.0,502.0,0.0,0.0,0.0
日光市平ケ崎,8.654617487781364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.656572244367036,0.0,883.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市吉沢,8.69172333722119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.710590342099044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.754249302568942,332.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.792458235935166,38.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市若杉町,8.794264812199623,216.0,323.0,30.0,504.0,208.0,0.0,30.0,29.0,50.0,241.0
日光市並木町,8.810825206203475,451.0,1251.0,468.0,209.0,60.0,121.0,0.0,0.0,0.0,0.0
日光市小代,8.814046347909565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.828674781017934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市瀬川,8.831456262935662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,8.839888710259746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
