town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,青梅市立総合病院,医療法人社団 上長渕医会 井上医院,青梅整形外科内科,大河原森本医院,やすらぎ在宅診療所,医療法人社団 亀生会 丹生クリニック,明星会医院,医療法人社団 睦和会 下奥多摩医院,医療法人社団 東仁会 青梅腎クリニック,医療法人社団 救人会 東青梅診療所,医療法人社団 沢医会 沢井診療所,医療法人社団 瀧川メンタルクリニック,医療法人社団 厚心会 笹本医院,医療法人社団 三清会 青梅かすみ台クリニック,古里診療所,河辺駅前クリニック,医療法人社団 三秀会 青梅三慶病院,こみ内科クリニック,梅郷診療所,二俣尾診療所,荒巻医院,中島内科・循環器科クリニック,医療法人社団 平岡会 青梅医院,医療法人社団 不二会 野村医院,医療法人社団 久遠会 友田クリニック,青梅市休日夜間診療所,医療法人社団 東仁会 ひがし青梅腎クリニック,小林医院,医療法人社団 長生会 小曾木診療所,医療法人社団 真胤会 馬場内科クリニック,川辺医院,河辺皮膚科メンタルクリニック,田中医院,林レディースクリニック,医療法人財団 利定会 大久野病院,土田医院,医療法人社団 向日葵清心会 ひまわり在宅診療所,医療法人社団 長生会 成木長生病院,医療法人社団 幸悠会 鈴木慈光病院,医療法人財団 利定会 進藤医院,馬場医院,奥多摩町国民健康保険 奥多摩病院,社会福祉法人 双葉会診療所,奥多摩町 国民健康保険奥多摩病院日原診療所
奥多摩町小丹波,奥多摩町,小丹波,13308001005,0.0,139.14030023168286,35.82025415160783,43.0,350.0,0.0,0.0,88.0,0.0,248.0,41.0,0.0,0.0,866.0,0.0,46.0,0.0,2749.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
奥多摩町丹三郎,奥多摩町,丹三郎,13308001004,1.8482808333052039,139.15353146671063,35.80755896972202,716.0,97.0,0.0,0.0,358.0,0.0,357.0,0.0,0.0,0.0,1382.0,0.0,0.0,0.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町棚沢,奥多摩町,棚沢,13308001006,1.8642321385018448,139.12117624766145,35.82662888697624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,413.0,122.0,0.0,0.0,2180.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0
奥多摩町川井,奥多摩町,川井,13308001001,2.1899887930831743,139.1642326408902,35.81689347963469,374.0,0.0,0.0,0.0,248.0,0.0,110.0,0.0,84.0,0.0,529.0,0.0,0.0,0.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,185.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町白丸,奥多摩町,白丸,13308001007,2.498247046268212,139.1141604537836,35.812805624684565,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町梅沢,奥多摩町,梅沢,13308001003,2.6572354811255456,139.16192695623144,35.80402180849744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,402.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町大丹波,奥多摩町,大丹波,13308001002,2.958654872490016,139.14355568158268,35.846730717640376,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市御岳本町,青梅市,御岳本町,13205036000,3.7748248919339926,139.178727728497,35.806786029280346,47.0,0.0,44.0,0.0,93.0,0.0,0.0,0.0,105.0,0.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町海沢,奥多摩町,海沢,13308002008,3.9172972427919333,139.1233715465947,35.78781057530162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市沢井三丁目,青梅市,沢井三丁目,13205035003,3.919862255778612,139.18321535916317,35.81462182659849,0.0,53.0,82.0,0.0,66.0,0.0,108.0,369.0,0.0,0.0,582.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
