facility,total_patients,top3_frequency
明星会医院,11543.0,14
医療法人社団 沢医会 沢井診療所,11104.0,17
医療法人社団 上長渕医会 井上医院,10316.0,18
青梅整形外科内科,10296.0,14
青梅市立総合病院,9298.0,12
古里診療所,8251.0,11
大河原森本医院,7203.0,8
梅郷診療所,6075.0,5
二俣尾診療所,5596.0,10
医療法人社団 三秀会 青梅三慶病院,5261.0,6
やすらぎ在宅診療所,3219.0,1
医療法人社団 平岡会 青梅医院,2810.0,1
医療法人社団 救人会 東青梅診療所,2761.0,3
川辺医院,2274.0,6
医療法人社団 東仁会 青梅腎クリニック,1949.0,5
医療法人社団 厚心会 笹本医院,1774.0,0
医療法人社団 亀生会 丹生クリニック,1673.0,2
医療法人社団 睦和会 下奥多摩医院,1597.0,2
医療法人社団 長生会 小曾木診療所,1319.0,3
こみ内科クリニック,1181.0,2
医療法人社団 瀧川メンタルクリニック,1165.0,1
医療法人財団 利定会 大久野病院,1022.0,2
医療法人社団 不二会 野村医院,944.0,0
中島内科・循環器科クリニック,893.0,1
青梅市休日夜間診療所,806.0,0
医療法人社団 三清会 青梅かすみ台クリニック,794.0,0
河辺駅前クリニック,758.0,1
医療法人社団 長生会 成木長生病院,690.0,1
田中医院,570.0,1
馬場医院,503.0,0
医療法人社団 久遠会 友田クリニック,454.0,0
奥多摩町国民健康保険 奥多摩病院,337.0,1
林レディースクリニック,277.0,1
医療法人社団 向日葵清心会 ひまわり在宅診療所,274.0,0
医療法人財団 利定会 進藤医院,273.0,0
荒巻医院,263.0,1
土田医院,242.0,0
医療法人社団 真胤会 馬場内科クリニック,233.0,1
医療法人社団 東仁会 ひがし青梅腎クリニック,214.0,0
河辺皮膚科メンタルクリニック,151.0,0
医療法人社団 幸悠会 鈴木慈光病院,111.0,0
小林医院,105.0,0
社会福祉法人 双葉会診療所,0.0,0
奥多摩町 国民健康保険奥多摩病院日原診療所,0.0,0
