rank,施設名,利用者数合計,対象施設フラグ
1,青梅市立総合病院,39302.0,0
2,医療法人社団 上長渕医会 井上医院,28819.0,0
3,青梅整形外科内科,23280.0,0
4,大河原森本医院,15807.0,0
5,やすらぎ在宅診療所,15100.0,0
6,医療法人社団 亀生会 丹生クリニック,14794.0,0
7,明星会医院,14752.0,0
8,医療法人社団 睦和会 下奥多摩医院,12939.0,0
9,医療法人社団 東仁会 青梅腎クリニック,12685.0,0
10,医療法人社団 救人会 東青梅診療所,12143.0,0
11,医療法人社団 沢医会 沢井診療所,11985.0,0
12,医療法人社団 瀧川メンタルクリニック,10819.0,0
13,医療法人社団 厚心会 笹本医院,10558.0,0
14,医療法人社団 三清会 青梅かすみ台クリニック,10049.0,0
15,古里診療所,9575.0,1
16,河辺駅前クリニック,8798.0,0
17,医療法人社団 三秀会 青梅三慶病院,8003.0,0
18,こみ内科クリニック,7868.0,0
19,梅郷診療所,7093.0,0
20,二俣尾診療所,5788.0,0
21,荒巻医院,5687.0,0
22,中島内科・循環器科クリニック,5365.0,0
23,医療法人社団 平岡会 青梅医院,4624.0,0
24,医療法人社団 不二会 野村医院,4515.0,0
25,医療法人社団 久遠会 友田クリニック,4340.0,0
26,青梅市休日夜間診療所,4237.0,0
27,医療法人社団 東仁会 ひがし青梅腎クリニック,3930.0,0
28,小林医院,3927.0,0
29,医療法人社団 長生会 小曾木診療所,3870.0,0
30,医療法人社団 真胤会 馬場内科クリニック,2525.0,0
31,川辺医院,2512.0,0
32,河辺皮膚科メンタルクリニック,2251.0,0
33,田中医院,1989.0,0
34,林レディースクリニック,1956.0,0
35,医療法人財団 利定会 大久野病院,1905.0,0
36,土田医院,1551.0,0
37,医療法人社団 向日葵清心会 ひまわり在宅診療所,1493.0,0
38,医療法人社団 長生会 成木長生病院,1299.0,0
39,医療法人社団 幸悠会 鈴木慈光病院,1230.0,0
40,医療法人財団 利定会 進藤医院,892.0,0
41,馬場医院,503.0,0
42,奥多摩町国民健康保険 奥多摩病院,337.0,0
43,社会福祉法人 双葉会診療所,0.0,0
44,奥多摩町 国民健康保険奥多摩病院日原診療所,0.0,0
