TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村コード,市区町村名,町丁字コード,大字・町名,字・丁目名,町丁目名,総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,こみ内科クリニック,やすらぎ在宅診療所,中島内科・循環器科クリニック,二俣尾診療所,医療法人社団 三清会 青梅かすみ台クリニック,医療法人社団 三秀会 青梅三慶病院,医療法人社団 上長渕医会 井上医院,医療法人社団 不二会 野村医院,医療法人社団 久遠会 友田クリニック,医療法人社団 亀生会 丹生クリニック,医療法人社団 厚心会 笹本医院,医療法人社団 向日葵清心会 ひまわり在宅診療所,医療法人社団 平岡会 青梅医院,医療法人社団 幸悠会 鈴木慈光病院,医療法人社団 救人会 東青梅診療所,医療法人社団 東仁会 ひがし青梅腎クリニック,医療法人社団 東仁会 青梅腎クリニック,医療法人社団 沢医会 沢井診療所,医療法人社団 瀧川メンタルクリニック,医療法人社団 真胤会 馬場内科クリニック,医療法人社団 睦和会 下奥多摩医院,医療法人社団 長生会 小曾木診療所,医療法人社団 長生会 成木長生病院,医療法人財団 利定会 大久野病院,医療法人財団 利定会 進藤医院,古里診療所,土田医院,大河原森本医院,奥多摩町 国民健康保険奥多摩病院日原診療所,奥多摩町国民健康保険 奥多摩病院,小林医院,川辺医院,明星会医院,林レディースクリニック,梅郷診療所,河辺皮膚科メンタルクリニック,河辺駅前クリニック,田中医院,社会福祉法人 双葉会診療所,荒巻医院,青梅市休日夜間診療所,青梅市立総合病院,青梅整形外科内科,馬場医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
13308001005,奥多摩町,小丹波,奥多摩町,小丹波,奥多摩町小丹波,東京都,13308.0,西多摩郡奥多摩町,1005.0,小丹波,,東京都西多摩郡奥多摩町小丹波,773,16,24,26,27,20,27,36,34,48,32,37,64,92,89,77,46,41,24,10,2,1,0.61,1.25,0.96,0.66,0.47,0.77,1.15,1.14,1.68,1.25,1.63,3.68,5.81,7.21,7.23,5.15,4.92,2.76,1.0,0.2,0.1,49.63,0.0,88.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,90.0,0.0,866.0,0.0,0.0,41.0,0.0,0.0,44.0,0.0,2749.0,0.0,0.0,0.0,45.0,0.0,93.0,248.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,139.14030023168286,35.82025415160783,0.0,4742.0,奥多摩町小丹波,奥多摩町小丹波,code_in_car30
13308001004,奥多摩町,丹三郎,奥多摩町,丹三郎,奥多摩町丹三郎,東京都,13308.0,西多摩郡奥多摩町,1004.0,丹三郎,,東京都西多摩郡奥多摩町丹三郎,272,1,3,6,6,2,4,1,11,8,12,8,8,18,23,27,48,37,28,13,7,1,0.04,0.16,0.22,0.15,0.05,0.11,0.03,0.37,0.28,0.47,0.35,0.46,1.14,1.86,2.54,5.37,4.44,3.22,1.3,0.7,0.1,23.36,0.0,358.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,139.15353146671063,35.80755896972202,1.8482808333052039,3712.0,奥多摩町丹三郎,奥多摩町丹三郎,code_in_car30
13308001006,奥多摩町,棚沢,奥多摩町,棚沢,奥多摩町棚沢,東京都,13308.0,西多摩郡奥多摩町,1006.0,棚沢,,東京都西多摩郡奥多摩町棚沢,467,4,6,13,20,16,14,10,14,19,29,30,35,45,61,54,40,30,19,7,1,-,0.15,0.31,0.48,0.49,0.38,0.4,0.32,0.47,0.67,1.13,1.32,2.01,2.84,4.94,5.07,4.48,3.6,2.18,0.7,0.1,,32.04,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,413.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.0,0.0,0.0,0.0,101.0,0.0,86.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.12117624766145,35.82662888697624,1.8642321385018448,3225.0,奥多摩町棚沢,奥多摩町棚沢,code_in_car30
13308001001,奥多摩町,川井,奥多摩町,川井,奥多摩町川井,東京都,13308.0,西多摩郡奥多摩町,1001.0,川井,,東京都西多摩郡奥多摩町川井,411,17,11,10,12,13,14,13,16,14,18,21,37,42,59,42,30,18,13,8,2,-,0.64,0.57,0.37,0.3,0.31,0.4,0.42,0.54,0.49,0.7,0.92,2.13,2.65,4.78,3.95,3.36,2.16,1.49,0.8,0.2,,27.18,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,84.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,0.0,0.0,0.0,0.0,0.0,185.0,110.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,139.1642326408902,35.81689347963469,2.1899887930831743,2112.0,奥多摩町川井,奥多摩町川井,code_in_car30
13308001007,奥多摩町,白丸,奥多摩町,白丸,奥多摩町白丸,東京都,13308.0,西多摩郡奥多摩町,1007.0,白丸,,東京都西多摩郡奥多摩町白丸,213,-,-,1,2,5,2,9,1,4,6,9,14,20,11,15,21,28,21,29,12,3,,,0.04,0.05,0.12,0.06,0.29,0.03,0.14,0.23,0.4,0.81,1.26,0.89,1.41,2.35,3.36,2.41,2.91,1.2,0.3,18.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,139.1141604537836,35.812805624684565,2.498247046268212,172.0,奥多摩町白丸,奥多摩町白丸,code_in_car30
13308001003,奥多摩町,梅沢,奥多摩町,梅沢,奥多摩町梅沢,東京都,13308.0,西多摩郡奥多摩町,1003.0,梅沢,,東京都西多摩郡奥多摩町梅沢,121,2,2,-,2,8,3,-,3,5,5,10,7,19,17,10,13,9,5,1,-,-,0.08,0.1,,0.05,0.19,0.09,,0.1,0.18,0.2,0.44,0.4,1.2,1.38,0.94,1.46,1.08,0.57,0.1,,,8.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.16192695623144,35.80402180849744,2.6572354811255456,504.0,奥多摩町梅沢,奥多摩町梅沢,code_in_car30
13308001002,奥多摩町,大丹波,奥多摩町,大丹波,奥多摩町大丹波,東京都,13308.0,西多摩郡奥多摩町,1002.0,大丹波,,東京都西多摩郡奥多摩町大丹波,361,5,11,16,19,8,6,4,11,19,22,32,28,30,34,35,30,27,16,8,-,-,0.19,0.57,0.59,0.47,0.19,0.17,0.13,0.37,0.67,0.86,1.41,1.61,1.9,2.75,3.29,3.36,3.24,1.84,0.8,,,24.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,139.14355568158268,35.846730717640376,2.958654872490016,268.0,奥多摩町大丹波,奥多摩町大丹波,code_in_car30
13205036000,青梅市,御岳本町,青梅市,御岳本町,青梅市御岳本町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,402.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,44.0,0.0,139.178727728497,35.806786029280346,3.7748248919339926,1192.0,青梅市御岳本町,青梅市御岳本町,code_in_car30
13308002008,奥多摩町,海沢,奥多摩町,海沢,奥多摩町海沢,東京都,13308.0,西多摩郡奥多摩町,2008.0,海沢,,東京都西多摩郡奥多摩町海沢,635,13,10,10,17,18,20,26,16,29,33,24,43,37,58,51,49,67,49,48,12,5,0.49,0.52,0.37,0.42,0.43,0.57,0.83,0.54,1.02,1.29,1.05,2.47,2.34,4.7,4.79,5.49,8.05,5.63,4.81,1.2,0.5,47.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.1233715465947,35.78781057530162,3.9172972427919333,853.0,奥多摩町海沢,奥多摩町海沢,code_in_car30
13205035003,青梅市,沢井三丁目,青梅市,沢井三丁目,青梅市沢井三丁目,東京都,13205.0,青梅市,35003.0,沢井,３丁目,東京都青梅市沢井３丁目,218,1,5,5,9,6,3,7,6,14,8,12,12,30,31,23,24,13,5,4,-,-,0.04,0.26,0.18,0.22,0.14,0.09,0.22,0.2,0.49,0.31,0.53,0.69,1.9,2.51,2.16,2.69,1.56,0.57,0.4,,,15.16,0.0,66.0,0.0,82.0,56.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,139.18321535916317,35.81462182659849,3.919862255778612,1398.0,青梅市沢井三丁目,青梅市沢井三丁目,code_in_car30
