town_name_show,dist_km,青梅市立総合病院,医療法人社団 上長渕医会 井上医院,青梅整形外科内科,大河原森本医院,やすらぎ在宅診療所,医療法人社団 亀生会 丹生クリニック,明星会医院,医療法人社団 睦和会 下奥多摩医院,医療法人社団 東仁会 青梅腎クリニック,医療法人社団 救人会 東青梅診療所,医療法人社団 沢医会 沢井診療所,医療法人社団 瀧川メンタルクリニック,医療法人社団 厚心会 笹本医院,医療法人社団 三清会 青梅かすみ台クリニック,古里診療所,河辺駅前クリニック,医療法人社団 三秀会 青梅三慶病院,こみ内科クリニック,梅郷診療所,二俣尾診療所,荒巻医院,中島内科・循環器科クリニック,医療法人社団 平岡会 青梅医院,医療法人社団 不二会 野村医院,医療法人社団 久遠会 友田クリニック,青梅市休日夜間診療所,医療法人社団 東仁会 ひがし青梅腎クリニック,小林医院,医療法人社団 長生会 小曾木診療所,医療法人社団 真胤会 馬場内科クリニック,川辺医院,河辺皮膚科メンタルクリニック,田中医院,林レディースクリニック,医療法人財団 利定会 大久野病院,土田医院,医療法人社団 向日葵清心会 ひまわり在宅診療所,医療法人社団 長生会 成木長生病院,医療法人社団 幸悠会 鈴木慈光病院,医療法人財団 利定会 進藤医院,馬場医院,奥多摩町国民健康保険 奥多摩病院,社会福祉法人 双葉会診療所,奥多摩町 国民健康保険奥多摩病院日原診療所
奥多摩町小丹波,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,0.0,0.0,0.0,2749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町丹三郎,1.8482808333052039,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1382.0,0.0,0.0,0.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町棚沢,1.8642321385018448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,122.0,0.0,0.0,2180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町川井,2.1899887930831743,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,0.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町白丸,2.498247046268212,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町梅沢,2.6572354811255456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,402.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町大丹波,2.958654872490016,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市御岳本町,3.7748248919339926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奥多摩町海沢,3.9172972427919333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青梅市沢井三丁目,3.919862255778612,0.0,0.0,0.0,0.0,0.0,0.0,108.0,369.0,0.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
