都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
山形県,山形市,青田,一丁目,山形市青田一丁目,06201,002001,4,414.0,山形市,青田一丁目,山形市青田一丁目,06201002001,15.0,24.0,23.0,19.0,19.0,17.0,20.0,27.0,25.0,42.0,26.0,31.0,21.0,28.0,21.0,18.0,20.0,6.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,22.0
山形県,山形市,青田,二丁目,山形市青田二丁目,06201,002002,4,368.0,山形市,青田二丁目,山形市青田二丁目,06201002002,12.0,9.0,17.0,29.0,24.0,11.0,13.0,21.0,33.0,29.0,32.0,15.0,21.0,21.0,20.0,23.0,10.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,18.0
山形県,山形市,青田,三丁目,山形市青田三丁目,06201,002003,4,311.0,山形市,青田三丁目,山形市青田三丁目,06201002003,10.0,13.0,13.0,21.0,8.0,15.0,14.0,20.0,21.0,25.0,23.0,16.0,28.0,25.0,17.0,18.0,10.0,9.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,17.0
山形県,山形市,青田,四丁目,山形市青田四丁目,06201,002004,4,346.0,山形市,青田四丁目,山形市青田四丁目,06201002004,17.0,17.0,17.0,15.0,12.0,27.0,19.0,30.0,28.0,29.0,17.0,17.0,20.0,14.0,18.0,15.0,12.0,8.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,18.0
山形県,山形市,青田,五丁目,山形市青田五丁目,06201,002005,4,445.0,山形市,青田五丁目,山形市青田五丁目,06201002005,13.0,13.0,13.0,28.0,34.0,21.0,13.0,22.0,29.0,31.0,49.0,18.0,21.0,17.0,36.0,34.0,31.0,15.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,25.0
山形県,山形市,あかねケ丘,一丁目,山形市あかねケ丘一丁目,06201,003001,4,504.0,山形市,あかねケ丘一丁目,山形市あかねケ丘一丁目,06201003001,20.0,21.0,23.0,14.0,23.0,31.0,40.0,31.0,31.0,39.0,34.0,31.0,30.0,28.0,31.0,18.0,20.0,13.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,25.0
山形県,山形市,あかねケ丘,二丁目,山形市あかねケ丘二丁目,06201,003002,4,704.0,山形市,あかねケ丘二丁目,山形市あかねケ丘二丁目,06201003002,26.0,21.0,29.0,37.0,23.0,31.0,37.0,37.0,51.0,44.0,58.0,44.0,24.0,42.0,56.0,46.0,29.0,40.0,22.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,3.0,5.0,2.0,0.0,0.0,43.0
山形県,山形市,あかねケ丘,三丁目,山形市あかねケ丘三丁目,06201,003003,4,727.0,山形市,あかねケ丘三丁目,山形市あかねケ丘三丁目,06201003003,32.0,32.0,31.0,36.0,22.0,30.0,26.0,40.0,53.0,60.0,43.0,45.0,57.0,44.0,54.0,47.0,33.0,25.0,8.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,44.0
山形県,山形市,あこや町,一丁目,山形市あこや町一丁目,06201,004001,4,743.0,山形市,あこや町一丁目,山形市あこや町一丁目,06201004001,17.0,29.0,29.0,50.0,81.0,29.0,37.0,38.0,48.0,49.0,41.0,48.0,42.0,34.0,40.0,41.0,34.0,20.0,9.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,1.0,0.0,0.0,41.0
山形県,山形市,あこや町,二丁目,山形市あこや町二丁目,06201,004002,4,510.0,山形市,あこや町二丁目,山形市あこや町二丁目,06201004002,9.0,11.0,24.0,71.0,59.0,21.0,16.0,15.0,30.0,37.0,31.0,31.0,20.0,14.0,16.0,23.0,20.0,8.0,9.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,24.0
山形県,山形市,あこや町,三丁目,山形市あこや町三丁目,06201,004003,4,843.0,山形市,あこや町三丁目,山形市あこや町三丁目,06201004003,28.0,29.0,38.0,49.0,68.0,65.0,39.0,54.0,57.0,63.0,64.0,53.0,53.0,32.0,28.0,36.0,24.0,10.0,5.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,40.0
山形県,山形市,荒楯町,一丁目,山形市荒楯町一丁目,06201,008001,4,711.0,山形市,荒楯町一丁目,山形市荒楯町一丁目,06201008001,23.0,28.0,32.0,30.0,31.0,41.0,42.0,50.0,56.0,57.0,46.0,43.0,41.0,45.0,54.0,24.0,30.0,17.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,38.0
