town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,三友堂病院,公立置賜総合病院,公立高畠病院,公立置賜長井病院,米沢市平日夜間・休日診療所,米沢こころの病院,いなげ内科呼吸器内科医院,医療法人古川医院,きだ内科クリニック,医療法人社団有朋会池田内科医院,白鷹町立病院,医療法人社団仁陽会仁陽堂外田医院,内科島津医院,笹井内科クリニック,佐藤病院,医療法人 安日クリニック,板垣医院,大塚医院,まつはし内科胃腸科クリニック,公立置賜川西診療所,田中クリニック,中山胃腸科内科医院,トータルヘルスクリニック,しおいクリニック,医療法人社団小林医院,大辻外科胃腸科医院,齋藤内科クリニック,医療法人社団梅津医院,斎藤内科循環器科クリニック,医療法人社団きじまキッズクリニック,医療法人杏山会吉川記念病院,さとうクリニック,多田医院,中條医院,後藤医院,黄木脳神経クリニック,柄沢医院,はぎの内科医院,齋藤医院,医療法人 さの医院,石井ファミリークリニック,医療法人中村循環器科医院,横沢医院,医療法人石橋医院,さとう小児科医院,おきたまフラワークリニック,金子医院,医療法人社団鈴木内科医院,さゆりクリニック,南陽矢吹クリニック,三友堂リハビリテーションセンター,飯豊町国民健康保険診療所,長井西置賜休日診療所,大森医院,いまい医院,いからし内科クリニック,外田医院,三上医院,赤湯駅前クリニック,くぼた診療所
高畠町大字高畠元町二,高畠町,大字高畠元町二,06381001013,0.10263227330842127,140.2015592973935,38.0033137699072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠元町一,高畠町,大字高畠元町一,06381001012,0.11888545622242469,140.20318610737485,38.00290337266249,47.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,36.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠荒町一,高畠町,大字高畠荒町一,06381001010,0.17194480521423403,140.19999983046026,38.00236490720038,0.0,0.0,87.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠荒町二,高畠町,大字高畠荒町二,06381001011,0.2979264550979516,140.1992538543522,38.00406908538496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠元町三,高畠町,大字高畠元町三,06381001033,0.3423573161357706,140.2019722575352,38.00552519264998,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠大町一,高畠町,大字高畠大町一,06381001001,0.3458171472540579,140.20109059823895,37.999412623005355,0.0,154.0,405.0,0.0,0.0,37.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,56.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,109.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字安久津御入水,高畠町,大字安久津御入水,06381002015,0.36938465829332423,140.2060745001834,38.00316832700484,0.0,0.0,209.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠横町,高畠町,大字高畠横町,06381001004,0.41322369016162724,140.1972554722247,38.00218080657781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠幸町一,高畠町,大字高畠幸町一,06381001006,0.44115297735437997,140.19718207466224,38.003698756109294,0.0,69.0,342.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠旭町,高畠町,大字高畠旭町,06381001014,0.48554726319488395,140.20545685455028,38.00583350144613,0.0,0.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
