facility,total_patients,top3_frequency
公立高畠病院,14714.0,37
まつはし内科胃腸科クリニック,5378.0,20
三友堂病院,4149.0,15
金子医院,2386.0,10
石井ファミリークリニック,2373.0,12
公立置賜総合病院,2204.0,7
佐藤病院,1152.0,3
板垣医院,1050.0,2
トータルヘルスクリニック,786.0,1
きだ内科クリニック,736.0,3
医療法人古川医院,702.0,3
大塚医院,448.0,1
いなげ内科呼吸器内科医院,351.0,1
医療法人 さの医院,326.0,1
医療法人 安日クリニック,322.0,0
米沢市平日夜間・休日診療所,311.0,2
大辻外科胃腸科医院,285.0,1
米沢こころの病院,284.0,1
齋藤内科クリニック,254.0,0
医療法人社団鈴木内科医院,237.0,1
内科島津医院,235.0,1
中山胃腸科内科医院,206.0,1
医療法人杏山会吉川記念病院,203.0,2
公立置賜長井病院,184.0,0
田中クリニック,172.0,1
いからし内科クリニック,163.0,1
黄木脳神経クリニック,135.0,1
いまい医院,123.0,0
南陽矢吹クリニック,95.0,1
赤湯駅前クリニック,93.0,0
三友堂リハビリテーションセンター,87.0,0
しおいクリニック,64.0,0
後藤医院,56.0,0
さとうクリニック,46.0,0
笹井内科クリニック,42.0,0
くぼた診療所,33.0,0
医療法人社団きじまキッズクリニック,32.0,0
はぎの内科医院,24.0,0
中條医院,14.0,1
柄沢医院,0.0,0
多田医院,0.0,0
公立置賜川西診療所,0.0,0
三上医院,0.0,0
外田医院,0.0,0
医療法人社団梅津医院,0.0,0
斎藤内科循環器科クリニック,0.0,0
大森医院,0.0,0
長井西置賜休日診療所,0.0,0
飯豊町国民健康保険診療所,0.0,0
さゆりクリニック,0.0,0
医療法人社団有朋会池田内科医院,0.0,0
おきたまフラワークリニック,0.0,0
さとう小児科医院,0.0,0
医療法人石橋医院,0.0,0
横沢医院,0.0,0
医療法人社団小林医院,0.0,0
白鷹町立病院,0.0,0
医療法人社団仁陽会仁陽堂外田医院,0.0,0
齋藤医院,0.0,0
医療法人中村循環器科医院,0.0,0
