rank,施設名,利用者数合計,対象施設フラグ
1,三友堂病院,109258.0,0
2,公立置賜総合病院,47581.0,0
3,公立高畠病院,32257.0,0
4,公立置賜長井病院,23616.0,0
5,米沢市平日夜間・休日診療所,20628.0,0
6,米沢こころの病院,20352.0,0
7,いなげ内科呼吸器内科医院,17722.0,0
8,医療法人古川医院,14613.0,0
9,きだ内科クリニック,14592.0,0
10,医療法人社団有朋会池田内科医院,14044.0,0
11,白鷹町立病院,13973.0,0
12,医療法人社団仁陽会仁陽堂外田医院,13867.0,0
13,内科島津医院,13821.0,0
14,笹井内科クリニック,13538.0,0
15,佐藤病院,12692.0,0
16,医療法人 安日クリニック,12143.0,0
17,板垣医院,11962.0,0
18,大塚医院,11506.0,0
19,まつはし内科胃腸科クリニック,11036.0,0
20,公立置賜川西診療所,10984.0,0
21,田中クリニック,10655.0,0
22,中山胃腸科内科医院,10300.0,0
23,トータルヘルスクリニック,9756.0,0
24,しおいクリニック,9606.0,0
25,医療法人社団小林医院,9091.0,0
26,大辻外科胃腸科医院,8956.0,0
27,齋藤内科クリニック,8750.0,0
28,医療法人社団梅津医院,8286.0,0
29,斎藤内科循環器科クリニック,8118.0,0
30,医療法人社団きじまキッズクリニック,7404.0,0
31,医療法人杏山会吉川記念病院,7261.0,0
32,さとうクリニック,6855.0,0
33,多田医院,6802.0,0
34,中條医院,6740.0,0
35,後藤医院,6656.0,0
36,黄木脳神経クリニック,6472.0,0
37,柄沢医院,6377.0,0
38,はぎの内科医院,5831.0,0
39,齋藤医院,5628.0,0
40,医療法人 さの医院,5210.0,0
41,石井ファミリークリニック,5200.0,0
42,医療法人中村循環器科医院,5182.0,0
43,横沢医院,5049.0,0
44,医療法人石橋医院,4730.0,0
45,さとう小児科医院,4611.0,0
46,おきたまフラワークリニック,4441.0,1
47,金子医院,4418.0,0
48,医療法人社団鈴木内科医院,4298.0,0
49,さゆりクリニック,4206.0,0
50,南陽矢吹クリニック,4065.0,0
51,三友堂リハビリテーションセンター,3992.0,0
52,飯豊町国民健康保険診療所,3821.0,0
53,長井西置賜休日診療所,3772.0,0
54,大森医院,3742.0,0
55,いまい医院,3260.0,0
56,いからし内科クリニック,3255.0,0
57,外田医院,3159.0,0
58,三上医院,2973.0,0
59,赤湯駅前クリニック,2832.0,0
60,くぼた診療所,2692.0,0
