town_name_show,dist_km,公立高畠病院,まつはし内科胃腸科クリニック,三友堂病院,金子医院,石井ファミリークリニック,公立置賜総合病院,佐藤病院,板垣医院,トータルヘルスクリニック,きだ内科クリニック
高畠町大字高畠元町二,0.10263227330842127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠元町一,0.11888545622242469,119.0,284.0,47.0,0.0,110.0,0.0,0.0,0.0,36.0,0.0
高畠町大字高畠荒町一,0.17194480521423403,87.0,0.0,0.0,66.0,46.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠荒町二,0.2979264550979516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠元町三,0.3423573161357706,436.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠大町一,0.3458171472540579,405.0,113.0,0.0,109.0,152.0,154.0,0.0,0.0,56.0,124.0
高畠町大字安久津御入水,0.36938465829332423,209.0,31.0,0.0,126.0,87.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠横町,0.41322369016162724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠幸町一,0.44115297735437997,342.0,38.0,0.0,85.0,0.0,69.0,0.0,0.0,0.0,88.0
高畠町大字高畠旭町,0.48554726319488395,708.0,260.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠幸町二,0.5566604098203105,234.0,19.0,40.0,21.0,29.0,19.0,50.0,0.0,0.0,0.0
高畠町大字高畠大町二,0.670536593634268,977.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
高畠町大字高畠桜木町,0.6853173431987511,0.0,0.0,71.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字安久津青葉町,0.707966775104799,131.0,95.0,48.0,48.0,0.0,136.0,0.0,0.0,0.0,0.0
高畠町大字安久津旭町,0.8434932621553873,678.0,76.0,200.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
高畠町大字安久津安久津一,0.8568534251784554,188.0,61.0,197.0,61.0,69.0,0.0,0.0,0.0,0.0,0.0
高畠町大字小郡山,0.894103541670379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高安,1.1033526322530123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠大町三,1.1115306350719993,1897.0,136.0,317.0,98.0,0.0,69.0,0.0,0.0,0.0,0.0
高畠町大字高畠弥生町,1.1217059356568697,383.0,480.0,275.0,174.0,181.0,239.0,163.0,0.0,0.0,0.0
高畠町大字高畠幸町三,1.1852612366602002,389.0,94.0,311.0,59.0,116.0,117.0,0.0,0.0,0.0,0.0
高畠町大字安久津安久津二,1.1935493298287596,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字安久津緑町,1.2325945281724486,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
高畠町大字泉岡,1.4636815665106238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字根岸根岸,1.5334520062568007,97.0,237.0,42.0,113.0,119.0,56.0,23.0,21.0,0.0,0.0
高畠町大字安久津鳥居町,1.599980990637572,447.0,521.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字相森弥生町,1.6186812209732397,39.0,0.0,92.0,0.0,41.0,0.0,0.0,0.0,0.0,41.0
高畠町大字塩森塩森,1.6377003124096825,303.0,0.0,66.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
高畠町大字根岸山越,1.8341653072541553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字竹森竹上,1.9666016752629374,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字相森相森,1.987573487753969,396.0,211.0,132.0,95.0,415.0,167.0,143.0,0.0,0.0,61.0
高畠町大字三条目,2.0259519589442827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字竹森細越,2.173724853996519,193.0,293.0,0.0,70.0,115.0,0.0,0.0,0.0,0.0,0.0
高畠町大字竹森竹中,2.209749085616659,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字一本柳三条目,2.212934473666949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字竹森竹向,2.2757461278122886,95.0,0.0,0.0,49.0,0.0,19.0,0.0,0.0,0.0,0.0
高畠町大字亀岡文殊ヶ丘,2.3080814112783443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字竹森山越,2.3126245054653505,58.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
高畠町大字安久津駄子町,2.318654244351171,753.0,98.0,0.0,60.0,326.0,201.0,613.0,48.0,613.0,0.0
高畠町大字竹森大笹生,2.453564232049078,122.0,23.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,107.0
高畠町大字一本柳粡町,2.583427637111966,465.0,94.0,53.0,0.0,140.0,0.0,35.0,0.0,0.0,0.0
高畠町大字亀岡亀岡三,2.626658403460396,145.0,127.0,204.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字竹森竹下,2.6422359577074586,23.0,0.0,0.0,149.0,38.0,32.0,0.0,0.0,0.0,0.0
高畠町大字一本柳東本町,2.656591702379445,852.0,269.0,163.0,62.0,247.0,117.0,0.0,0.0,0.0,56.0
高畠町大字深沼西館,2.76309951021198,837.0,0.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字柏木目,2.7872907728024034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字金原湯在家,2.7885412526492988,0.0,0.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字深沼深上,3.002414506875842,211.0,111.0,0.0,0.0,0.0,23.0,74.0,0.0,55.0,0.0
高畠町大字亀岡亀岡二,3.022779428114886,0.0,355.0,0.0,0.0,0.0,0.0,0.0,904.0,0.0,176.0
高畠町大字塩森飯森,3.0496879819528515,23.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字竹森中才,3.0631052812217665,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字船橋,3.205758842004284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字深沼中組,3.2786686203153734,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字金原熊の前,3.2909570193759468,0.0,134.0,47.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0
