都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
山口県,下関市,本町,一丁目,下関市本町一丁目,35201,003001,4,246.0,下関市,本町一丁目,下関市本町一丁目,35201003001,2.0,2.0,6.0,5.0,10.0,10.0,15.0,11.0,14.0,15.0,15.0,15.0,25.0,13.0,29.0,15.0,21.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,15.0
山口県,下関市,本町,二丁目,下関市本町二丁目,35201,003002,4,284.0,下関市,本町二丁目,下関市本町二丁目,35201003002,1.0,3.0,7.0,6.0,4.0,5.0,4.0,8.0,14.0,12.0,14.0,18.0,32.0,30.0,42.0,32.0,31.0,14.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,20.0
山口県,下関市,本町,三丁目,下関市本町三丁目,35201,003003,4,188.0,下関市,本町三丁目,下関市本町三丁目,35201003003,2.0,3.0,6.0,3.0,4.0,4.0,7.0,9.0,7.0,8.0,9.0,16.0,18.0,23.0,22.0,22.0,13.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,11.0
山口県,下関市,本町,四丁目,下関市本町四丁目,35201,003004,4,205.0,下関市,本町四丁目,下関市本町四丁目,35201003004,3.0,9.0,11.0,4.0,5.0,3.0,5.0,9.0,14.0,14.0,9.0,5.0,7.0,19.0,31.0,19.0,18.0,7.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,12.0
山口県,下関市,宮田町,一丁目,下関市宮田町一丁目,35201,008001,4,332.0,下関市,宮田町一丁目,下関市宮田町一丁目,35201008001,17.0,9.0,8.0,12.0,12.0,10.0,23.0,21.0,14.0,30.0,16.0,22.0,24.0,18.0,29.0,16.0,18.0,22.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,20.0
山口県,下関市,宮田町,二丁目,下関市宮田町二丁目,35201,008002,4,657.0,下関市,宮田町二丁目,下関市宮田町二丁目,35201008002,9.0,15.0,15.0,22.0,16.0,20.0,22.0,26.0,31.0,47.0,44.0,31.0,33.0,42.0,67.0,64.0,48.0,44.0,29.0,13.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,7.0,6.0,5.0,3.0,1.0,0.0,46.0
山口県,下関市,貴船町,一丁目,下関市貴船町一丁目,35201,010001,4,610.0,下関市,貴船町一丁目,下関市貴船町一丁目,35201010001,13.0,20.0,27.0,12.0,15.0,19.0,18.0,29.0,43.0,46.0,39.0,53.0,41.0,51.0,67.0,45.0,34.0,18.0,10.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0,5.0,4.0,2.0,1.0,0.0,0.0,39.0
山口県,下関市,貴船町,二丁目,下関市貴船町二丁目,35201,010002,4,444.0,下関市,貴船町二丁目,下関市貴船町二丁目,35201010002,16.0,25.0,22.0,13.0,8.0,9.0,15.0,24.0,33.0,27.0,14.0,19.0,24.0,35.0,52.0,34.0,39.0,19.0,9.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,4.0,5.0,2.0,1.0,0.0,0.0,30.0
山口県,下関市,貴船町,三丁目,下関市貴船町三丁目,35201,010003,4,852.0,下関市,貴船町三丁目,下関市貴船町三丁目,35201010003,23.0,22.0,28.0,34.0,33.0,34.0,24.0,36.0,36.0,65.0,59.0,57.0,47.0,42.0,74.0,71.0,43.0,54.0,32.0,20.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,8.0,5.0,6.0,3.0,2.0,1.0,56.0
山口県,下関市,貴船町,四丁目,下関市貴船町四丁目,35201,010004,4,937.0,下関市,貴船町四丁目,下関市貴船町四丁目,35201010004,32.0,54.0,66.0,58.0,55.0,34.0,24.0,51.0,66.0,92.0,69.0,71.0,44.0,63.0,46.0,30.0,32.0,22.0,4.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,47.0
山口県,下関市,椋野町,一丁目,下関市椋野町一丁目,35201,011001,4,916.0,下関市,椋野町一丁目,下関市椋野町一丁目,35201011001,20.0,29.0,28.0,23.0,25.0,28.0,22.0,44.0,53.0,36.0,61.0,63.0,83.0,95.0,107.0,82.0,62.0,34.0,12.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,5.0,8.0,10.0,9.0,7.0,4.0,1.0,1.0,0.0,64.0
山口県,下関市,椋野町,二丁目,下関市椋野町二丁目,35201,011002,4,322.0,下関市,椋野町二丁目,下関市椋野町二丁目,35201011002,28.0,10.0,6.0,5.0,18.0,26.0,27.0,13.0,21.0,20.0,19.0,17.0,19.0,16.0,12.0,12.0,14.0,11.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,15.0
山口県,下関市,椋野町,三丁目,下関市椋野町三丁目,35201,011003,4,662.0,下関市,椋野町三丁目,下関市椋野町三丁目,35201011003,33.0,27.0,13.0,17.0,36.0,47.0,56.0,27.0,34.0,56.0,37.0,47.0,41.0,51.0,31.0,23.0,26.0,28.0,17.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,37.0
山口県,下関市,上田中町,一丁目,下関市上田中町一丁目,35201,013001,4,509.0,下関市,上田中町一丁目,下関市上田中町一丁目,35201013001,7.0,11.0,20.0,21.0,12.0,19.0,17.0,20.0,33.0,29.0,40.0,27.0,26.0,50.0,64.0,50.0,36.0,16.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0,6.0,4.0,2.0,1.0,0.0,0.0,37.0
