town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,済生会山口総合病院,山口県立総合医療センター,綜合病院 山口赤十字病院,医療法人和同会 防府リハビリテーション病院,医療法人神徳会 三田尻病院,医療法人 米沢記念 桑陽病院,一般財団法人防府消化器病センター 防府胃腸病院,みほりクリニック,相川医院,周南市立新南陽市民病院,なかもり内科クリニック,おさばファミリークリニック,たにがわ医院,淵上整形外科,医療法人 奥田胃腸科内科,光山医院,山口市徳地診療所,深川内科循環器科,やまがた循環器内科クリニック,おおうちクリニック,医療法人芳和会 アベ産婦人科クリニック,医療法人社団松友会 松本外科病院,おのクリニック,医療法人 仁保病院,林外科医院,うえだ内科・循環器クリニック,深野医院,クボクリニック,医療法人博愛会 山口博愛病院,竹内医院,野瀬内科小児科,医療法人社団 ながみつクリニック,大野整形外科リウマチ科,うちみち脳神経クリニック,医療法人財団清仁会附属 鴻城医院,医療法人清和会 吉南病院,医療法人社団 うのき内科・循環器科,医療法人 中村医院,ライフクリニック,緑町三祐病院,医療法人 原医院,藤原胃腸科内科,三の宮ふくだクリニック,医療法人治徳会 湯野温泉病院,よろず循環器内科,三好クリニック,くにちか内科 循環器・呼吸器クリニック,医療法人社団 ひらた内科呼吸器科医院,医療法人樹一会 山口病院,原田内科胃腸科医院,医療法人社団水生会 柴田病院,渡辺内科・呼吸器科,中央クリニック,医療法人 丘病院,医療法人社団イシス会 かまたクリニック,医療法人社団生和会 周南リハビリテーション病院,大腸クリニックかわむら内科,しおみ循環器内科,山本内科医院,山口若宮病院
山口市徳地堀旭,山口市,徳地堀旭,35203101007,0.05187120495565085,131.65781635943424,34.1904447816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀堀,山口市,徳地堀堀,35203101008,0.27600740983225325,131.65715037517697,34.18850575837281,48.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀関,山口市,徳地堀関,35203101002,0.39752079895096576,131.66123452367876,34.193243565191196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀本町,山口市,徳地堀本町,35203101009,0.42300603299634465,131.65528668356396,34.187807635287065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀上佐団地,山口市,徳地堀上佐団地,35203101018,0.45043907382038617,131.65338456223142,34.19229147523409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀伏野下,山口市,徳地堀伏野下,35203101004,0.5455236485629776,131.66368207737344,34.18954125943195,0.0,0.0,42.0,0.0,114.0,89.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
山口市徳地堀西川,山口市,徳地堀西川,35203101010,0.6300347687892334,131.65306582317348,34.18694404243397,0.0,38.0,19.0,71.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,23.0,40.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀須路上,山口市,徳地堀須路上,35203101016,0.8731765981574329,131.66075085899598,34.1833805016289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀才谷,山口市,徳地堀才谷,35203101001,0.973105396324201,131.66025190022765,34.19943840133928,39.0,0.0,53.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,46.0,39.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀須路下,山口市,徳地堀須路下,35203101015,1.0052422367264655,131.65495371747272,34.18220437151582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀上佐,山口市,徳地堀上佐,35203101017,1.3493310416910549,131.6484986045224,34.20015143766204,0.0,91.0,0.0,0.0,21.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地大字小古祖片山,山口市,徳地大字小古祖片山,35203100004,1.401372400670764,131.66690298217918,34.20110693867017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
