facility,total_patients,top3_frequency
山口市徳地診療所,5892.0,29
山口県立総合医療センター,650.0,6
医療法人 米沢記念 桑陽病院,631.0,2
ライフクリニック,533.0,3
医療法人社団松友会 松本外科病院,485.0,3
済生会山口総合病院,453.0,4
光山医院,402.0,4
一般財団法人防府消化器病センター 防府胃腸病院,354.0,4
綜合病院 山口赤十字病院,353.0,2
医療法人清和会 吉南病院,347.0,2
医療法人神徳会 三田尻病院,314.0,2
相川医院,301.0,1
おのクリニック,253.0,1
医療法人社団 ながみつクリニック,251.0,1
医療法人 仁保病院,244.0,2
医療法人社団生和会 周南リハビリテーション病院,239.0,1
医療法人和同会 防府リハビリテーション病院,230.0,3
医療法人芳和会 アベ産婦人科クリニック,207.0,2
くにちか内科 循環器・呼吸器クリニック,195.0,1
医療法人 原医院,168.0,1
たにがわ医院,164.0,1
藤原胃腸科内科,156.0,1
おさばファミリークリニック,139.0,0
野瀬内科小児科,125.0,1
医療法人社団 ひらた内科呼吸器科医院,116.0,1
淵上整形外科,110.0,0
おおうちクリニック,96.0,1
医療法人 丘病院,90.0,1
医療法人治徳会 湯野温泉病院,89.0,0
三好クリニック,84.0,0
医療法人 中村医院,78.0,1
みほりクリニック,77.0,0
医療法人博愛会 山口博愛病院,75.0,0
医療法人樹一会 山口病院,61.0,0
周南市立新南陽市民病院,50.0,0
医療法人社団水生会 柴田病院,48.0,0
深川内科循環器科,44.0,0
緑町三祐病院,38.0,0
渡辺内科・呼吸器科,36.0,1
うえだ内科・循環器クリニック,35.0,0
なかもり内科クリニック,34.0,0
大腸クリニックかわむら内科,27.0,0
医療法人 奥田胃腸科内科,23.0,0
しおみ循環器内科,22.0,0
深野医院,22.0,0
中央クリニック,21.0,1
クボクリニック,11.0,0
医療法人社団イシス会 かまたクリニック,0.0,0
山本内科医院,0.0,0
林外科医院,0.0,0
三の宮ふくだクリニック,0.0,0
原田内科胃腸科医院,0.0,0
よろず循環器内科,0.0,0
医療法人社団 うのき内科・循環器科,0.0,0
医療法人財団清仁会附属 鴻城医院,0.0,0
うちみち脳神経クリニック,0.0,0
大野整形外科リウマチ科,0.0,0
やまがた循環器内科クリニック,0.0,0
竹内医院,0.0,0
山口若宮病院,0.0,0
