rank,施設名,利用者数合計,対象施設フラグ
1,済生会山口総合病院,123750.0,0
2,山口県立総合医療センター,96815.0,0
3,綜合病院 山口赤十字病院,78773.0,0
4,医療法人和同会 防府リハビリテーション病院,37600.0,0
5,医療法人神徳会 三田尻病院,35489.0,0
6,医療法人 米沢記念 桑陽病院,35454.0,0
7,一般財団法人防府消化器病センター 防府胃腸病院,28614.0,0
8,みほりクリニック,24257.0,0
9,相川医院,22923.0,0
10,周南市立新南陽市民病院,21730.0,0
11,なかもり内科クリニック,21376.0,0
12,おさばファミリークリニック,19046.0,0
13,たにがわ医院,18820.0,0
14,淵上整形外科,17598.0,0
15,医療法人 奥田胃腸科内科,16430.0,0
16,光山医院,16271.0,0
17,山口市徳地診療所,15748.0,1
18,深川内科循環器科,15359.0,0
19,やまがた循環器内科クリニック,14687.0,0
20,おおうちクリニック,14567.0,0
21,医療法人芳和会 アベ産婦人科クリニック,14359.0,0
22,医療法人社団松友会 松本外科病院,13663.0,0
23,おのクリニック,13554.0,0
24,医療法人 仁保病院,13496.0,0
25,林外科医院,13466.0,0
26,うえだ内科・循環器クリニック,12911.0,0
27,深野医院,12569.0,0
28,クボクリニック,12363.0,0
29,医療法人博愛会 山口博愛病院,12350.0,0
30,竹内医院,11981.0,0
31,野瀬内科小児科,11627.0,0
32,医療法人社団 ながみつクリニック,11293.0,0
33,大野整形外科リウマチ科,11240.0,0
34,うちみち脳神経クリニック,10846.0,0
35,医療法人財団清仁会附属 鴻城医院,10729.0,0
36,医療法人清和会 吉南病院,10331.0,0
37,医療法人社団 うのき内科・循環器科,9998.0,0
38,医療法人 中村医院,9937.0,0
39,ライフクリニック,9679.0,0
40,緑町三祐病院,9642.0,0
41,医療法人 原医院,9524.0,0
42,藤原胃腸科内科,9346.0,0
43,三の宮ふくだクリニック,9110.0,0
44,医療法人治徳会 湯野温泉病院,8797.0,0
45,よろず循環器内科,8540.0,0
46,三好クリニック,8435.0,0
47,くにちか内科 循環器・呼吸器クリニック,8234.0,0
48,医療法人社団 ひらた内科呼吸器科医院,8141.0,0
49,医療法人樹一会 山口病院,8065.0,0
50,原田内科胃腸科医院,7680.0,0
51,医療法人社団水生会 柴田病院,7565.0,0
52,渡辺内科・呼吸器科,7559.0,0
53,中央クリニック,7263.0,0
54,医療法人 丘病院,7125.0,0
55,医療法人社団イシス会 かまたクリニック,7091.0,0
56,医療法人社団生和会 周南リハビリテーション病院,6995.0,0
57,大腸クリニックかわむら内科,6897.0,0
58,しおみ循環器内科,6886.0,0
59,山本内科医院,6854.0,0
60,山口若宮病院,6547.0,0
