town_name_show,dist_km,山口市徳地診療所,山口県立総合医療センター,医療法人 米沢記念 桑陽病院,ライフクリニック,医療法人社団松友会 松本外科病院,済生会山口総合病院,光山医院,一般財団法人防府消化器病センター 防府胃腸病院,綜合病院 山口赤十字病院,医療法人清和会 吉南病院
山口市徳地堀旭,0.05187120495565085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀堀,0.27600740983225325,199.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,25.0,0.0
山口市徳地堀関,0.39752079895096576,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀本町,0.42300603299634465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀上佐団地,0.45043907382038617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀伏野下,0.5455236485629776,171.0,0.0,89.0,46.0,0.0,0.0,0.0,0.0,42.0,0.0
山口市徳地堀西川,0.6300347687892334,497.0,38.0,0.0,38.0,0.0,0.0,40.0,0.0,19.0,0.0
山口市徳地堀須路上,0.8731765981574329,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀才谷,0.973105396324201,320.0,0.0,0.0,0.0,0.0,39.0,0.0,38.0,53.0,0.0
山口市徳地堀須路下,1.0052422367264655,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀上佐,1.3493310416910549,112.0,91.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0
山口市徳地大字小古祖片山,1.401372400670764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀上庄方,1.5299606741276732,35.0,74.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0
山口市徳地堀下庄方,1.571491551239515,335.0,167.0,77.0,29.0,0.0,0.0,140.0,0.0,56.0,0.0
山口市徳地伊賀地伊賀地団地,1.738472513801876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀伏野上,1.8886208265123576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地大字小古祖市,1.9365144666535647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地伊賀地沖ノ原東,1.9506615464154233,130.0,0.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0
山口市徳地伊賀地沖ノ原西,2.0781403204685294,140.0,27.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,233.0
山口市徳地堀中村,2.176986509665547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地伊賀地志手原,2.275987118781366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地大字小古祖上市,2.296583298503336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地大字小古祖才契,2.319650999187143,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地伊賀地船津上,2.6216411435530462,203.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
山口市徳地八坂下八坂下,2.7419684219794878,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀漆尾,2.8050546444726043,172.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0
山口市徳地山畑下畑,2.946905489619921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀二の宮,3.11420472306973,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
山口市徳地伊賀地古森,3.1931303561269773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地八坂下八坂中,3.35142103041383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地山畑中畑,3.401154343461757,135.0,85.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0
山口市徳地伊賀地新田上,3.427976678886123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地深谷御所野,3.551537416667108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地島地下津屋,3.6971425437137353,130.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地深谷茂知木,3.6988859125134517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地八坂下八坂上,3.744581279458314,305.0,42.0,28.0,0.0,231.0,0.0,0.0,57.0,0.0,0.0
山口市徳地伊賀地西大津,4.122019443363849,82.0,0.0,0.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0
山口市徳地引谷中村中,4.21477112306072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地山畑大野,4.215600197053907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地八坂三谷川上,4.308291535576058,364.0,0.0,0.0,82.0,81.0,0.0,0.0,0.0,0.0,0.0
山口市徳地引谷夏焼下,4.314050859954229,43.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
山口市徳地藤木中藤木,4.349247350717866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地藤木下藤木,4.369336835032421,205.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0
