医療機関名,保険区分,都道府県名,市区町村名,所在地,緯度,経度,distance_km,病床数計,診療科目
医療法人社団　時正会　佐々総合病院,医科,東京都,西東京市,西東京市田無町四丁目２４番１５号,35.72977,139.5388,0.0,183,内 呼内 循環器内科 消化器内科 消化器外科 救急科 乳腺外科 糖尿病内科 肛門外科 外 脳外 整外 ひ 皮 小 産 婦 形外 リハ 麻 脳内 呼外 小児精神科 放射線診断科
けやき在宅診療所,医科,東京都,西東京市,西東京市田無町四丁目２８番１４号　田無第２マーブルビル５階,35.72892,139.53969,0.1240455390976871,0,内 外 皮 整外 ひ
医療法人社団　薫風会　山田病院,医科,東京都,西東京市,西東京市南町三丁目４番１０号,35.72683,139.54144,0.4045521863911014,308,内 精 歯 心内
医療法人社団　東光会　西東京中央総合病院,医科,東京都,西東京市,西東京市芝久保町二丁目４番１９号,35.72678,139.53122,0.760728356708601,270,内 小 外 整外 脳外 眼 耳い 皮 ひ 消 循 麻 心外 神内 リハ
医療法人財団　緑秀会　田無病院,医科,東京都,西東京市,西東京市緑町三丁目６番１号,35.74204,139.54074,1.3755540727924969,86,内 外 整外 眼 耳い ひ リハ 脳外 消化器外科
柳橋診療所,医科,東京都,西東京市,西東京市新町一丁目１１番２５号,35.71719,139.54372,1.46765132877481,0,精 循環器内科 整外
医療法人　徳洲会　武蔵野徳洲会病院,医科,東京都,西東京市,西東京市向台町三丁目５番４８号,35.71741,139.53293,1.472987661896488,303,内 循環器内科 消化器内科 消化器外科 腎臓内科 乳腺外科 糖尿病内科 外 整外 脳外 形外 小 ひ 婦 リハ 放 麻 皮 耳い 病理 歯外 血管外科 救急科 呼内 呼外
南しばくぼ診療所,医科,東京都,西東京市,西東京市芝久保町二丁目２２番３６号,35.72652,139.52113,1.6354589615851232,0,内 内視鏡内科 消化器内科
西東京市休日診療所,医科,東京都,西東京市,西東京市中町一丁目１番５号　西東京市中町分庁舎,35.73898,139.55508,1.7911066420142008,0,内 外
医療法人社団　佑友会　ひばりケ丘診療所,医科,東京都,東久留米市,東久留米市学園町二丁目１１番１４号,35.74823,139.53485,2.083390688974875,0,内 胃 循 小
公立昭和病院,医科,東京都,小平市,小平市花小金井八丁目１番１号,35.7282,139.51466,2.1860238986476723,485,内 脳内 心内 外 呼外 心外 整外 脳外 形外 小 皮 ひ 産婦 眼 リハ 放 麻 歯 歯外 呼内 循環器内科 消火器内科 血液内科 糖尿病・内分泌・代謝内科 耳い 病理 臨床検査科 救急科
医療法人社団　成友会　小森病院,医科,東京都,武蔵野市,武蔵野市関前三丁目３番１５号,35.71349,139.55745,2.472173969273704,57,内 リハ
医療法人社団　花みずき会　保谷厚生病院,医科,東京都,西東京市,西東京市栄町一丁目１７番１８号,35.74875,139.55759,2.7074338458701477,174,内 外 消化器内科 循環器内科 呼内 心外 脳外 ひ 整外 リウ 呼外 眼 放 リハ 麻 糖尿病内科 皮
医療法人社団　ゆうの会　むさしの共立診療所,医科,東京都,武蔵野市,武蔵野市西久保二丁目１７番１１号,35.7108,139.55811,2.736483503865852,0,内 呼内 糖尿病科 神内
黒目川診療所西東京,医科,東京都,西東京市,西東京市栄町二丁目１番地２８号　ＪＵＮさかえ２０２号室,35.75208,139.55443,2.853794187170086,0,内 呼内
武蔵野陽和会病院,医科,東京都,武蔵野市,武蔵野市緑町二丁目１番３３号,35.71645,139.56583,2.854429195661171,103,内 消 外 整外 脳外 ひ リハ 放
医療法人社団　陽和会　にしくぼ診療所,医科,東京都,武蔵野市,武蔵野市緑町二丁目１番４０号,35.7153,139.56512,2.869548732935254,0,内
一般財団法人　天誠会　武蔵境病院,医科,東京都,武蔵野市,武蔵野市境一丁目１８番６号,35.70354,139.54715,3.0124925857690203,44,内 整外 外 リハ
武蔵境病院付属あんずクリニック,医科,東京都,武蔵野市,武蔵野市境南町四丁目１番１５号,35.70203,139.53784,3.0857689276938847,0,整外 内 小 皮 リハ リウ
公益財団法人　武蔵野健康づくり事業団　付属診療所,医科,東京都,武蔵野市,武蔵野市吉祥寺北町四丁目８番１０号　武蔵野市立保健センター２階,35.7131,139.56635,3.1018573484330316,0,内 放
医療法人社団　山本・前田記念会　前田病院,医科,東京都,東久留米市,東久留米市中央町五丁目１３番３４号,35.75023,139.51505,3.125800352712503,39,整外 脳外 救急科 麻 リハ
吉方病院,医科,東京都,武蔵野市,武蔵野市中町二丁目２番４号,35.70699,139.56111,3.2361854276925035,59,整外 外 内 リハ
医療法人社団　はなぶさ会　島村記念病院,医科,東京都,練馬区,練馬区関町北二丁目４番１号,35.7231,139.57397,3.2602681302405676,86,内 外 消化器内科 循環器内科 整外 小 リハ 婦 リウ 糖尿病・内分泌内科 肝臓内科 乳腺外科
富士見通り診療所,医科,東京都,東久留米市,東久留米市本町三丁目３番２３号　エアフォルクレーベン１階,35.75788,139.52805,3.2728008812934477,0,内 小
医療法人社団　じうんどう　慈雲堂病院,医科,東京都,練馬区,練馬区関町南四丁目１４番５３号,35.72011,139.5731,3.2773349319006315,476,精 内 歯
たけうち診療所,医科,東京都,武蔵野市,武蔵野市中町一丁目１０番６号　三鷹北口共同ビル２０２,35.70556,139.56035,3.321463068539989,0,精 老年精神科
社会福祉法人　聖ヨハネ会　桜町病院,医科,東京都,小金井市,小金井市桜町一丁目２番２０号,35.71007,139.511,3.3312300712174565,199,内 呼内 糖尿病・代謝内科 外 脳外 整外 小 産婦 精 神 眼 リハ 麻 消化器内科 循環器内科
境南耳鼻咽喉科診療所,医科,東京都,武蔵野市,武蔵野市境南町二丁目７番１３号,35.69973,139.54234,3.3555552117923404,0,耳い
東久留米市休日診療所,医科,東京都,東久留米市,東久留米市滝山四丁目３番１４号　わくわく健康プラザ内,35.74226,139.50389,3.4434354910410634,0,内 小
医療法人社団　心愛会　ＴＯＷＮ訪問診療所三鷹,医科,東京都,三鷹市,東京都三鷹市上連雀一丁目１番５号　三鷹ロイヤルハイツ１０４号室,35.70331,139.55904,3.4634730196270387,0,内 循環器内科 形外 皮
医療法人社団　東京白報会　みたか在宅診療所,医科,東京都,武蔵野市,武蔵野市中町一丁目６番７号　朝日生命三鷹ビル７階,35.70381,139.56042,3.4845930859698155,0,内 皮 精 眼 耳い
