医療機関名,保険区分,都道府県名,市区町村名,所在地,緯度,経度,distance_km,病床数計,診療科目
医療法人社団　時正会　佐々総合病院,医科,東京都,西東京市,西東京市田無町四丁目２４番１５号,35.72977,139.5388,0.0,183,内 呼内 循環器内科 消化器内科 消化器外科 救急科 乳腺外科 糖尿病内科 肛門外科 外 脳外 整外 ひ 皮 小 産 婦 形外 リハ 麻 脳内 呼外 小児精神科 放射線診断科
医療法人社団　石和会　耳鼻咽喉科ヒロクリニック,医科,東京都,西東京市,西東京市田無町四丁目２９番８号　丸保ビル４階,35.72953,139.53975,0.08980940140100513,0,耳い
医療法人社団　薫風会　田無メンタルクリニック,医科,東京都,西東京市,西東京市田無町四丁目２３番４号　クリーンヒルズＫＨビル２階,35.72903,139.53813,0.10211935252318399,0,精 心内
医療法人社団　悠悠会　つばさクリニック,医科,東京都,西東京市,西東京市田無町五丁目１番１３号　ハイセレサ田無本町シティータワー１０１,35.72989,139.53995,0.10465986443500805,0,眼
医療法人社団　明理会　田無皮フ科コンタニクリニック,医科,東京都,西東京市,西東京市田無町四丁目２８番１３号　おんべビル２・３階,35.72905,139.53972,0.1153523282874924,0,皮 整外
医療法人社団　湯川　湯川ウィメンズクリニック,医科,東京都,西東京市,西東京市田無町四丁目２６番９号　ＪＳビル２階,35.7287,139.5388,0.11897873584972142,0,産婦 内
けやき在宅診療所,医科,東京都,西東京市,西東京市田無町四丁目２８番１４号　田無第２マーブルビル５階,35.72892,139.53969,0.12404553909768715,0,内 外 皮 整外 ひ
グレースホームケアクリニック　多摩,医科,東京都,西東京市,西東京市田無町五丁目９番１号　１階,35.73077,139.53967,0.13613026036689282,0,内 美容皮膚科 精
久保眼科医院,医科,東京都,西東京市,西東京市田無町四丁目２７番１０号,35.72849,139.53946,0.1542953208097975,0,眼
たなし中村眼科クリニック,医科,東京都,西東京市,西東京市田無町三丁目１番１３号　ラ・ベルドゥーレ田無１０２,35.72943,139.54063,0.16945821578973969,0,眼
ゆい在宅クリニック,医科,東京都,西東京市,西東京市田無町３－３－２　グランドソレイユＴＡＮＡＳＨＩ　６０１,35.7309,139.54039,0.1907526146919587,0,内 緩和ケア内科 糖尿病内科 精
医療法人社団　吾勢会　指田医院,医科,東京都,西東京市,西東京市田無町四丁目２番１１号,35.72788,139.53941,0.21725239249502795,0,内 外 脳外
あおぞら田無クリニック,医科,東京都,西東京市,西東京市田無町二丁目９番１３号　丸嘉ビル３階,35.72869,139.54108,0.23828265385081943,0,皮 美容皮膚科 アレ
西東京めぐみクリニック,医科,東京都,西東京市,西東京市田無町二丁目９番１３号　丸嘉ビル２階,35.72869,139.54108,0.23828265385081943,0,内 内視鏡内科 消化器内科 外
オンラインクリニック西東京,医科,東京都,西東京市,西東京市田無町二丁目１０番１号,35.72868,139.54141,0.26494424519563103,0,消化器内科 外 内
メル眼科クリニック,医科,東京都,西東京市,西東京市田無町二丁目１１番７号　オークビル田無１階,35.72853,139.54135,0.268317449147173,0,眼
しげみつファミリークリニック,医科,東京都,西東京市,西東京市田無町五丁目４番１３号　ハママンション第二　１階,35.73065,139.53574,0.29303276534675676,0,内 小 呼内
西尾内科クリニック,医科,東京都,西東京市,西東京市南町５－５－１３　田無丸八ビル１０１号室,35.72702,139.5387,0.30591967554901517,0,糖尿病内分泌内科 内
西東京わたらせクリニック,医科,東京都,西東京市,西東京市南町５丁目５番１３号－２０１,35.72702,139.5387,0.30591967554901517,0,内
医療法人社団　壮仁会　西東京あゆみクリニック,医科,東京都,西東京市,西東京市田無町三丁目３番１４－２０１号　ベルビュー田無,35.73171,139.54129,0.3115305660841758,0,内
すがひろ内科クリニック,医科,東京都,西東京市,西東京市南町四丁目３番２号　サウスタウンビル２階,35.72717,139.54022,0.3162483677224485,0,内 循
高橋クリニック,医科,東京都,西東京市,西東京市南町五丁目３番１２号,35.72657,139.5376,0.37194678847115514,0,内 外 整外 リハ
医療法人社団　薫風会　山田病院,医科,東京都,西東京市,西東京市南町三丁目４番１０号,35.72683,139.54144,0.40455218639110146,308,内 精 歯 心内
田無循環器クリニック,医科,東京都,西東京市,西東京市南町五丁目１番８号　１階,35.72611,139.53696,0.4395620328257624,0,循環器内科 循環器外科 内
田無スキンクリニック,医科,東京都,西東京市,西東京市南町五丁目１番８号　田無クリニックモール２階,35.72611,139.53696,0.4395620328257624,0,皮膚科 小児皮膚科 美容皮膚科 皮膚外科
田無耳鼻咽喉科クリニック,医科,東京都,西東京市,西東京市南町五丁目１番８号　田無クリニックモール２階Ｄ区画,35.72611,139.53696,0.4395620328257624,0,耳鼻咽喉科 小児耳鼻咽喉科
医療法人社団　敬康会　やまぐち内科眼科クリニック,医科,東京都,西東京市,西東京市田無町七丁目１６番３０号　１階・地下１階,35.7317,139.53435,0.4554137867787625,0,内 眼 呼内 消化器内科 循環器内科
医療法人社団　欅会　田無南口クリニック,医科,東京都,西東京市,西東京市南町五丁目１番１５号,35.72606,139.53581,0.4929816694271613,0,透析内科 内
田無ペインクリニック内科,医科,東京都,西東京市,西東京市南町四丁目９番１号,35.72466,139.54057,0.5902434831286222,0,麻 ペインクリニック内科
医療法人社団　花楓会　笠井医院,医科,東京都,西東京市,西東京市田無町四丁目１１番７号　カーサエストゥペンダ１０１,35.72712,139.53311,0.5921453100694933,0,内 外
医療法人社団　ヒマワリ会　畑中医院,医科,東京都,西東京市,西東京市南町三丁目２２番８号,35.72507,139.54253,0.6216885307910923,3,産婦 肛門外科
田村医院,医科,東京都,西東京市,西東京市田無町七丁目３番１７号,35.73129,139.53197,0.6392589371634447,0,内 消 小
酒枝医院,医科,東京都,西東京市,西東京市北原町二丁目１番３８号,35.734,139.54405,0.6676824116082154,0,内 循 小 整外
医療法人社団　佳朋会　すくすくｋｉｄｓクリニック,医科,東京都,西東京市,西東京市南町五丁目９番１７号,35.72366,139.5387,0.6794619062767776,0,小 アレ
坂上医院,医科,東京都,西東京市,西東京市南町３－１７－８,35.72449,139.54376,0.7383521816234555,0,内 老年内科 外 小 循環器内科 老年精神科
医療法人社団　東光会　西東京中央総合病院,医科,東京都,西東京市,西東京市芝久保町二丁目４番１９号,35.72678,139.53122,0.760728356708601,270,内 小 外 整外 脳外 眼 耳い 皮 ひ 消 循 麻 心外 神内 リハ
医療法人社団　秀友会　ひらつか内科クリニック,医科,東京都,西東京市,西東京市南町二丁目１番１４号　新倉ビル１階,35.72593,139.54581,0.7633674207970058,0,内
こみち内科クリニック,医科,東京都,西東京市,西東京市南町６丁目９－１９,35.7254,139.53127,0.8355488146503331,0,内 循環器内科 腎臓内科 皮
医療法人社団　優希会　すぎはらこどもクリニック,医科,東京都,西東京市,西東京市西原町五丁目１番１７号　サンロイヤル西原Ａ号室,35.73746,139.53529,0.9118952761714927,0,小
六角地蔵整形外科クリニック,医科,東京都,西東京市,西東京市西原町五丁目１番８号　西原クリニックビル１階,35.73733,139.53485,0.9131172530881254,0,整外 リハ
小野内科循環器科クリニック,医科,東京都,西東京市,西東京市西原町五丁目１番８号　西原クリニックビル２階,35.73733,139.53485,0.9131172530881254,0,内
医療法人社団　明心会　やぎさわ循環器クリニック,医科,東京都,西東京市,西東京市保谷町四丁目５番６号　野口ビル,35.72862,139.54984,1.004714249312565,0,内 呼 循
医療法人社団　浩心会　なかやま内科循環器クリニック,医科,東京都,西東京市,西東京市向台町一丁目１９番１４号　ノーブルハイツ向台１階,35.72056,139.54297,1.0910979279019837,0,内 循環器内科 呼内 糖尿病内科
医療法人社団　翌檜会　ひがき医院,医科,東京都,西東京市,西東京市芝久保町一丁目１１番１０号　１階,35.72527,139.52798,1.0974203100777984,0,内 循 小
西東京眼科クリニック,医科,東京都,西東京市,西東京市保谷町六丁目１４番１４号,35.73189,139.55075,1.104122374675431,0,眼
たなしこどもクリニック,医科,東京都,西東京市,西東京市芝久保町三丁目４番３０号　ケルン田無Ⅰ（吉野ビル）１階Ｂ号室,35.72967,139.52634,1.1247696132166376,0,小
医療法人社団　一雅会　野田医院,医科,東京都,西東京市,西東京市向台町三丁目６番１０号,35.71928,139.53745,1.1727853344035504,0,内 循環器内科 消化器内科
医療法人社団　仁明会　安部医院,医科,東京都,西東京市,西東京市保谷町三丁目２４番２号,35.7295,139.55212,1.2027194870529867,0,内 耳い 小
