CITY_NAME,S_NAME,dominant,dominant_top,max_count,match_type2
杉並区,上荻三丁目,城西病院,その他(上位7以外),2520,exact
杉並区,上荻四丁目,城西病院,その他(上位7以外),1885,exact
杉並区,西荻北二丁目,杉並リハビリテーション病院,その他(上位7以外),7174,exact
杉並区,西荻北三丁目,医療法人社団　親和会　杉並病院,その他(上位7以外),2070,exact
杉並区,西荻北四丁目,医療法人社団　親和会　杉並病院,その他(上位7以外),4209,exact
杉並区,西荻北五丁目,医療法人財団　荻窪病院,その他(上位7以外),1073,exact
杉並区,今川二丁目,医療法人財団　荻窪病院,その他(上位7以外),1430,exact
杉並区,今川三丁目,医療法人財団　荻窪病院,その他(上位7以外),3838,exact
杉並区,今川四丁目,医療法人社団　杏順会　越川病院,その他(上位7以外),1483,exact
杉並区,桃井二丁目,城西病院,その他(上位7以外),4134,exact
杉並区,桃井三丁目,医療法人財団　荻窪病院,その他(上位7以外),2943,exact
杉並区,桃井四丁目,城西病院,その他(上位7以外),1786,exact
杉並区,井草五丁目,医療法人財団　荻窪病院,その他(上位7以外),802,exact
杉並区,上井草二丁目,医療法人財団　荻窪病院,その他(上位7以外),1992,exact
杉並区,上井草三丁目,上井草在宅支援診療所,その他(上位7以外),2965,exact
杉並区,上井草四丁目,医療法人社団　杏順会　越川病院,その他(上位7以外),5426,exact
杉並区,善福寺一丁目,医療法人社団　杏順会　越川病院,その他(上位7以外),1649,exact
杉並区,善福寺二丁目,医療法人社団　親和会　杉並病院,その他(上位7以外),1909,exact
杉並区,善福寺三丁目,市毛診療所 東京都練馬区,その他(上位7以外),3566,exact
杉並区,善福寺四丁目,市毛診療所 東京都練馬区,その他(上位7以外),2331,exact
練馬区,石神井町六丁目,練馬区石神井休日急患診療所,その他(上位7以外),4614,exact
練馬区,石神井町七丁目,練馬区石神井休日急患診療所,その他(上位7以外),6559,exact
練馬区,石神井台一丁目,練馬区石神井休日急患診療所,その他(上位7以外),1666,exact
練馬区,石神井台二丁目,練馬区石神井休日急患診療所,その他(上位7以外),4135,exact
練馬区,石神井台三丁目,練馬区石神井休日急患診療所,その他(上位7以外),8557,exact
練馬区,石神井台四丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,2233,exact
練馬区,石神井台五丁目,練馬区石神井休日急患診療所,その他(上位7以外),2647,exact
練馬区,石神井台六丁目,大泉生協病院,その他(上位7以外),2397,exact
練馬区,石神井台七丁目,医療法人社団　千秋会　田中脳神経外科病院,その他(上位7以外),888,exact
練馬区,石神井台八丁目,医療法人社団　千秋会　田中脳神経外科病院,その他(上位7以外),1349,exact
練馬区,上石神井一丁目,市毛診療所 東京都練馬区,その他(上位7以外),2283,exact
練馬区,上石神井二丁目,医療法人社団　市毛整形外科診療所,その他(上位7以外),4476,exact
練馬区,上石神井三丁目,医療法人社団　市毛整形外科診療所,その他(上位7以外),3506,exact
練馬区,上石神井四丁目,医療法人社団　杏順会　越川病院,その他(上位7以外),1111,exact
練馬区,上石神井南町,上井草在宅支援診療所,その他(上位7以外),1571,exact
練馬区,下石神井二丁目,練馬区石神井休日急患診療所,その他(上位7以外),1173,exact
練馬区,下石神井四丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1411,exact
練馬区,下石神井五丁目,練馬区石神井休日急患診療所,その他(上位7以外),906,exact
練馬区,下石神井六丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1847,exact
練馬区,立野町,医療法人社団　千秋会　田中脳神経外科病院,その他(上位7以外),2835,exact
練馬区,関町東一丁目,医療法人社団　千秋会　田中脳神経外科病院,その他(上位7以外),1836,exact
練馬区,関町東二丁目,練馬区石神井休日急患診療所,その他(上位7以外),208,exact
練馬区,関町北一丁目,医療法人社団　遼山会　関町病院,その他(上位7以外),2401,exact
練馬区,関町北二丁目,医療法人社団　はなぶさ会　島村記念病院,その他(上位7以外),4213,exact
練馬区,関町北三丁目,医療法人社団　はなぶさ会　島村記念病院,その他(上位7以外),4529,exact
練馬区,関町北四丁目,医療法人社団　遼山会　関町病院,その他(上位7以外),1365,exact
練馬区,関町北五丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1764,exact
練馬区,関町南一丁目,市毛診療所 東京都練馬区,その他(上位7以外),2442,exact
練馬区,関町南二丁目,医療法人社団　千秋会　田中脳神経外科病院,その他(上位7以外),3264,exact
練馬区,関町南三丁目,医療法人社団　千秋会　田中脳神経外科病院,その他(上位7以外),5540,exact
練馬区,関町南四丁目,医療法人社団　はなぶさ会　島村記念病院,その他(上位7以外),9302,exact
練馬区,東大泉一丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,2344,exact
練馬区,東大泉三丁目,医療法人社団　久保田産婦人科病院,その他(上位7以外),5315,exact
練馬区,東大泉四丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,967,exact
練馬区,東大泉五丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1841,exact
練馬区,東大泉六丁目,大泉生協病院,その他(上位7以外),3034,exact
練馬区,東大泉七丁目,医療法人社団　純正会　東大泉病院,その他(上位7以外),5007,exact
練馬区,西大泉一丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1453,exact
練馬区,西大泉二丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1554,exact
練馬区,西大泉三丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,2072,exact
練馬区,西大泉四丁目,医療法人社団　久保田産婦人科病院,その他(上位7以外),1443,exact
練馬区,西大泉五丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,2672,exact
練馬区,西大泉六丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1959,exact
練馬区,南大泉一丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1723,exact
練馬区,南大泉二丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1718,exact
練馬区,南大泉三丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1705,exact
練馬区,南大泉四丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,3417,exact
