CITY_NAME,S_NAME,dominant,max_count,topN_dominant,topN_max_count,match_type2
杉並区,上荻三丁目,城西病院,2520,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,547,exact
杉並区,上荻四丁目,城西病院,1885,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,362,exact
杉並区,西荻北二丁目,杉並リハビリテーション病院,7174,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,776,exact
杉並区,西荻北三丁目,医療法人社団　親和会　杉並病院,2070,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1282,exact
杉並区,西荻北四丁目,医療法人社団　親和会　杉並病院,4209,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1226,exact
杉並区,西荻北五丁目,医療法人財団　荻窪病院,1073,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,536,exact
杉並区,今川二丁目,医療法人財団　荻窪病院,1430,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,60,exact
杉並区,今川三丁目,医療法人財団　荻窪病院,3838,公立昭和病院,139,exact
杉並区,今川四丁目,医療法人社団　杏順会　越川病院,1483,武蔵野赤十字病院,143,exact
杉並区,桃井二丁目,城西病院,4134,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,631,exact
杉並区,桃井三丁目,医療法人財団　荻窪病院,2943,順天堂大学医学部附属練馬病院,218,exact
杉並区,桃井四丁目,城西病院,1786,順天堂大学医学部附属練馬病院,49,exact
杉並区,井草五丁目,医療法人財団　荻窪病院,802,順天堂大学医学部附属練馬病院,414,exact
杉並区,上井草二丁目,医療法人財団　荻窪病院,1992,順天堂大学医学部附属練馬病院,928,exact
杉並区,上井草三丁目,上井草在宅支援診療所,2965,順天堂大学医学部附属練馬病院,390,exact
杉並区,上井草四丁目,医療法人社団　杏順会　越川病院,5426,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,507,exact
杉並区,善福寺一丁目,医療法人社団　杏順会　越川病院,1649,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,713,exact
杉並区,善福寺二丁目,医療法人社団　親和会　杉並病院,1909,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,861,exact
杉並区,善福寺三丁目,市毛診療所 東京都練馬区,3566,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,664,exact
杉並区,善福寺四丁目,市毛診療所 東京都練馬区,2331,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,340,exact
練馬区,石神井町六丁目,練馬区石神井休日急患診療所,4614,順天堂大学医学部附属練馬病院,1588,exact
練馬区,石神井町七丁目,練馬区石神井休日急患診療所,6559,順天堂大学医学部附属練馬病院,1313,exact
練馬区,石神井台一丁目,練馬区石神井休日急患診療所,1666,順天堂大学医学部附属練馬病院,404,exact
練馬区,石神井台二丁目,練馬区石神井休日急患診療所,4135,順天堂大学医学部附属練馬病院,2786,exact
練馬区,石神井台三丁目,練馬区石神井休日急患診療所,8557,順天堂大学医学部附属練馬病院,2863,exact
練馬区,石神井台四丁目,順天堂大学医学部附属練馬病院,2233,順天堂大学医学部附属練馬病院,2233,exact
練馬区,石神井台五丁目,練馬区石神井休日急患診療所,2647,順天堂大学医学部附属練馬病院,1097,exact
練馬区,石神井台六丁目,大泉生協病院,2397,順天堂大学医学部附属練馬病院,523,exact
練馬区,石神井台七丁目,医療法人社団　千秋会　田中脳神経外科病院,888,順天堂大学医学部附属練馬病院,802,exact
練馬区,石神井台八丁目,医療法人社団　千秋会　田中脳神経外科病院,1349,順天堂大学医学部附属練馬病院,1108,exact
練馬区,上石神井一丁目,市毛診療所 東京都練馬区,2283,順天堂大学医学部附属練馬病院,1195,exact
練馬区,上石神井二丁目,医療法人社団　市毛整形外科診療所,4476,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,208,exact
練馬区,上石神井三丁目,医療法人社団　市毛整形外科診療所,3506,順天堂大学医学部附属練馬病院,1915,exact
練馬区,上石神井四丁目,医療法人社団　杏順会　越川病院,1111,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,439,exact
練馬区,上石神井南町,上井草在宅支援診療所,1571,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,196,exact
練馬区,下石神井二丁目,練馬区石神井休日急患診療所,1173,順天堂大学医学部附属練馬病院,1140,exact
練馬区,下石神井四丁目,順天堂大学医学部附属練馬病院,1411,順天堂大学医学部附属練馬病院,1411,exact
練馬区,下石神井五丁目,練馬区石神井休日急患診療所,906,順天堂大学医学部附属練馬病院,241,exact
練馬区,下石神井六丁目,順天堂大学医学部附属練馬病院,1847,順天堂大学医学部附属練馬病院,1847,exact
