CITY_NAME,S_NAME,_city_,_sname_,dominant,max_count,match_type2
世田谷区,給田五丁目,世田谷区,給田五丁目,杏林大学医学部付属病院,791,exact
世田谷区,北烏山四丁目,世田谷区,北烏山四丁目,杏林大学医学部付属病院,975,exact
世田谷区,北烏山五丁目,世田谷区,北烏山五丁目,杏林大学医学部付属病院,641,exact
世田谷区,北烏山七丁目,世田谷区,北烏山七丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1288,exact
世田谷区,北烏山八丁目,世田谷区,北烏山八丁目,杏林大学医学部付属病院,936,exact
中野区,若宮三丁目,中野区,若宮三丁目,藤村病院,605,exact
中野区,白鷺一丁目,中野区,白鷺一丁目,藤村病院,1968,exact
中野区,白鷺二丁目,中野区,白鷺二丁目,藤村病院,1838,exact
中野区,白鷺三丁目,中野区,白鷺三丁目,藤村病院,658,exact
中野区,鷺宮三丁目,中野区,鷺宮三丁目,藤村病院,443,exact
中野区,鷺宮四丁目,中野区,鷺宮四丁目,美穂診療所,1673,exact
中野区,鷺宮五丁目,中野区,鷺宮五丁目,美穂診療所,1694,exact
中野区,鷺宮六丁目,中野区,鷺宮六丁目,藤村病院,815,exact
中野区,上鷺宮一丁目,中野区,上鷺宮一丁目,河北前田病院,894,exact
中野区,上鷺宮二丁目,中野区,上鷺宮二丁目,美穂診療所,989,exact
中野区,上鷺宮三丁目,中野区,上鷺宮三丁目,藤村病院,522,exact
中野区,上鷺宮四丁目,中野区,上鷺宮四丁目,順天堂大学医学部附属練馬病院,736,exact
中野区,上鷺宮五丁目,中野区,上鷺宮五丁目,順天堂大学医学部附属練馬病院,546,exact
杉並区,梅里二丁目,杉並区,梅里二丁目,阿佐ヶ谷すずき診療所,4349,exact
杉並区,阿佐谷南一丁目,杉並区,阿佐谷南一丁目,阿佐ヶ谷すずき診療所,4319,exact
杉並区,阿佐谷南二丁目,杉並区,阿佐谷南二丁目,河北総合病院 分院,1490,exact
杉並区,阿佐谷南三丁目,杉並区,阿佐谷南三丁目,河北総合病院 分院,1546,exact
杉並区,阿佐谷北一丁目,杉並区,阿佐谷北一丁目,河北総合病院 分院,7630,exact
杉並区,阿佐谷北二丁目,杉並区,阿佐谷北二丁目,河北総合病院 分院,3149,exact
杉並区,阿佐谷北三丁目,杉並区,阿佐谷北三丁目,河北総合病院 分院,3350,exact
