CITY_NAME,S_NAME,dominant,max_count,sel_dominant,sel_max_count,match_type2
世田谷区,給田五丁目,杏林大学医学部付属病院,791,杏林大学医学部付属病院,791,exact
世田谷区,北烏山四丁目,杏林大学医学部付属病院,975,杏林大学医学部付属病院,975,exact
世田谷区,北烏山五丁目,杏林大学医学部付属病院,641,杏林大学医学部付属病院,641,exact
世田谷区,北烏山七丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1288,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1288,exact
世田谷区,北烏山八丁目,杏林大学医学部付属病院,936,杏林大学医学部付属病院,936,exact
中野区,若宮三丁目,藤村病院,605,順天堂大学医学部附属練馬病院,168,exact
中野区,白鷺一丁目,藤村病院,1968,順天堂大学医学部附属練馬病院,342,exact
中野区,白鷺二丁目,藤村病院,1838,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,495,exact
中野区,白鷺三丁目,藤村病院,658,杏林大学医学部付属病院,162,exact
中野区,鷺宮三丁目,藤村病院,443,順天堂大学医学部附属練馬病院,293,exact
中野区,鷺宮四丁目,美穂診療所,1673,順天堂大学医学部附属練馬病院,404,exact
中野区,鷺宮五丁目,美穂診療所,1694,順天堂大学医学部附属練馬病院,246,exact
中野区,鷺宮六丁目,藤村病院,815,順天堂大学医学部附属練馬病院,369,exact
中野区,上鷺宮一丁目,河北前田病院,894,順天堂大学医学部附属練馬病院,82,exact
中野区,上鷺宮二丁目,美穂診療所,989,東久留米市休日診療所,120,exact
中野区,上鷺宮三丁目,藤村病院,522,順天堂大学医学部附属練馬病院,186,exact
中野区,上鷺宮四丁目,順天堂大学医学部附属練馬病院,736,順天堂大学医学部附属練馬病院,736,exact
中野区,上鷺宮五丁目,順天堂大学医学部附属練馬病院,546,順天堂大学医学部附属練馬病院,546,exact
杉並区,梅里二丁目,阿佐ヶ谷すずき診療所,4349,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,186,exact
杉並区,阿佐谷南一丁目,阿佐ヶ谷すずき診療所,4319,順天堂大学医学部附属練馬病院,382,exact
杉並区,阿佐谷南二丁目,河北総合病院 分院,1490,東久留米市休日診療所,186,exact
杉並区,阿佐谷南三丁目,河北総合病院 分院,1546,杏林大学医学部付属病院,333,exact
杉並区,阿佐谷北一丁目,河北総合病院 分院,7630,,0,exact
杉並区,阿佐谷北二丁目,河北総合病院 分院,3149,杏林大学医学部付属病院,585,exact
杉並区,阿佐谷北三丁目,河北総合病院 分院,3350,順天堂大学医学部附属練馬病院,275,exact
杉並区,阿佐谷北四丁目,藤村病院,8195,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,410,exact
杉並区,阿佐谷北五丁目,河北総合病院 分院,4366,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,295,exact
杉並区,阿佐谷北六丁目,藤村病院,3630,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,173,exact
杉並区,天沼一丁目,河北総合病院 分院,1597,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,430,exact
杉並区,天沼二丁目,天沼診療所,3202,杏林大学医学部付属病院,224,exact
杉並区,天沼三丁目,天沼診療所,9917,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,291,exact
杉並区,本天沼一丁目,藤村病院,3367,順天堂大学医学部附属練馬病院,158,exact
杉並区,本天沼二丁目,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,1819,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,190,exact
杉並区,本天沼三丁目,天沼診療所,6737,順天堂大学医学部附属練馬病院,334,exact
杉並区,成田西二丁目,医療法人社団　杏順会　越川病院,304,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,86,exact
杉並区,成田西三丁目,杉並区休日等夜間急病診療所,395,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,263,exact
杉並区,成田西四丁目,医療法人財団　荻窪病院,240,杏林大学医学部付属病院,119,exact
杉並区,成田東三丁目,医療法人社団 成宗診療所,3111,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,255,exact
杉並区,成田東四丁目,阿佐ヶ谷すずき診療所,5192,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,255,exact
杉並区,成田東五丁目,河北総合病院 分院,1814,順天堂大学医学部附属練馬病院,412,exact
杉並区,荻窪一丁目,杉並区休日等夜間急病診療所,1672,杏林大学医学部付属病院,592,exact
杉並区,荻窪二丁目,杉並区休日等夜間急病診療所,2829,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,276,exact
杉並区,荻窪三丁目,杉並区休日等夜間急病診療所,3980,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,744,exact
杉並区,荻窪四丁目,杉並区休日等夜間急病診療所,4249,杏林大学医学部付属病院,403,exact
杉並区,荻窪五丁目,杉並区休日等夜間急病診療所,5513,杏林大学医学部付属病院,841,exact
杉並区,南荻窪一丁目,杉並区休日等夜間急病診療所,2474,杏林大学医学部付属病院,439,exact
杉並区,南荻窪二丁目,杉並区休日等夜間急病診療所,1369,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,699,exact
杉並区,南荻窪三丁目,城西病院,2288,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,319,exact
杉並区,南荻窪四丁目,桃井診療所,1992,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,245,exact
杉並区,上荻一丁目,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,678,杏林大学医学部付属病院,34,exact
杉並区,上荻二丁目,城西病院,9524,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1199,exact
杉並区,上荻三丁目,城西病院,2520,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,547,exact
杉並区,上荻四丁目,城西病院,1885,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,362,exact
杉並区,西荻南一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,643,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,643,exact
杉並区,西荻南二丁目,医療法人財団　荻窪病院,1219,杏林大学医学部付属病院,872,exact
杉並区,西荻南三丁目,杉並リハビリテーション病院,719,順天堂大学医学部附属練馬病院,309,exact
杉並区,西荻南四丁目,杉並リハビリテーション病院,1776,佐々総合病院,635,exact
杉並区,西荻北一丁目,杉並リハビリテーション病院,3745,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,386,exact
杉並区,西荻北二丁目,杉並リハビリテーション病院,7174,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,776,exact
杉並区,西荻北三丁目,医療法人社団　親和会　杉並病院,2070,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1282,exact
杉並区,西荻北四丁目,医療法人社団　親和会　杉並病院,4209,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1226,exact
杉並区,西荻北五丁目,医療法人財団　荻窪病院,1073,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,536,exact
杉並区,今川一丁目,医療法人財団　荻窪病院,1713,杏林大学医学部付属病院,188,exact
杉並区,今川二丁目,医療法人財団　荻窪病院,1430,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,60,exact
杉並区,今川三丁目,医療法人財団　荻窪病院,3838,杏林大学医学部付属病院,231,exact
杉並区,今川四丁目,医療法人社団　杏順会　越川病院,1483,,0,exact
杉並区,清水一丁目,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,7258,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,111,exact
杉並区,清水二丁目,天沼診療所,1654,順天堂大学医学部附属練馬病院,48,exact
杉並区,清水三丁目,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,2133,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,239,exact
杉並区,桃井一丁目,城西病院,8419,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,257,exact
