seq,facility_id,facility_name,prefecture,city,output_folder,status,kddi_query_name,conditions
1,1115100565,医療法人社団　武蔵野会　新座病院,埼玉県,新座市,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/001_医療法人社団_武蔵野会_新座病院,pending,医療法人社団　武蔵野会　新座病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
2,1115100680,堀ノ内病院,埼玉県,新座市,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/002_堀ノ内病院,pending,堀ノ内病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
3,1115101753,片山診療所,埼玉県,新座市,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/003_片山診療所,pending,片山診療所,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
4,1131511138,医療法人社団　親和会　杉並病院,東京都,杉並区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/004_医療法人社団_親和会_杉並病院,pending,医療法人社団　親和会　杉並病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
5,1131514967,医療法人財団　荻窪病院,東京都,杉並区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/005_医療法人財団_荻窪病院,pending,医療法人財団　荻窪病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
6,1131534437,上井草診療所,東京都,杉並区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/006_上井草診療所,pending,上井草診療所,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
7,1131570985,医療法人社団　杏順会　越川病院,東京都,杉並区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/007_医療法人社団_杏順会_越川病院,pending,医療法人社団　杏順会　越川病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
8,1132015154,医療法人社団　じうんどう　慈雲堂病院,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/008_医療法人社団_じうんどう_慈雲堂病院,pending,医療法人社団　じうんどう　慈雲堂病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
9,1132028066,医療法人社団　市毛整形外科診療所,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/009_医療法人社団_市毛整形外科診療所,pending,医療法人社団　市毛整形外科診療所,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
10,1132030492,市毛診療所,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/010_市毛診療所,pending,市毛診療所,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
11,1132033843,小野診療所,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/011_小野診療所,pending,小野診療所,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
12,1132070027,医療法人社団　千秋会　田中脳神経外科病院,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/012_医療法人社団_千秋会_田中脳神経外科病院,pending,医療法人社団　千秋会　田中脳神経外科病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
13,1132070266,医療法人社団　純正会　東大泉病院,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/013_医療法人社団_純正会_東大泉病院,pending,医療法人社団　純正会　東大泉病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
14,1132070860,医療法人社団　遼山会　関町病院,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/014_医療法人社団_遼山会_関町病院,pending,医療法人社団　遼山会　関町病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
15,1132070894,大泉生協病院,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/015_大泉生協病院,pending,大泉生協病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
16,1132070910,医療法人社団　久保田産婦人科病院,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/016_医療法人社団_久保田産婦人科病院,pending,医療法人社団　久保田産婦人科病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
17,1132070944,医療法人社団　はなぶさ会　島村記念病院,東京都,練馬区,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/017_医療法人社団_はなぶさ会_島村記念病院,pending,医療法人社団　はなぶさ会　島村記念病院,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
18,1132720886,恩多町診療所,東京都,東村山市,/Users/itotsubasa/IdeaProjects/pythoN/JADECOM/佐々総合病院/競合分析/kddi_raw_exports/018_恩多町診療所,pending,恩多町診療所,来訪者居住地分析|月ユニーク|2024-04-01~2025-03-31|期間全体|05:00-29:00|1日以上|120分以下
