施設名,患者数合計,上位3頻出回数
杏林大学医学部付属病院,307877,159
医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,292611,124
順天堂大学医学部附属練馬病院,225416,142
緑風荘病院,214383,97
公立昭和病院,203030,114
武蔵野赤十字病院,200005,119
佐々総合病院,165389,96
東久留米市休日診療所,160988,79
小金井リハビリテーション病院,154727,85
地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,130622,56
練馬区石神井休日急患診療所,123823,63
医療法人社団　東京白報会　みたか在宅診療所,118204,37
医療法人　徳洲会　武蔵野徳洲会病院,106719,36
医療法人社団　新新会　多摩あおば病院,98397,32
医療法人社団　東光会　西東京中央総合病院,93557,48
医療法人財団　荻窪病院,89509,39
城西病院,87196,23
医療法人社団　薫風会　山田病院,85284,48
吉祥寺こころの診療所,84393,17
医療法人社団　東山会　調布東山病院,84106,52
東村山市休日準夜応急診療所,80916,33
河北総合病院 分院,78996,34
社会医療法人社団　愛有会　久米川病院,73223,21
医療法人社団　山本・前田記念会　前田病院,67124,36
医療法人社団　杏順会　越川病院,66330,16
医療法人社団　好仁会　滝山病院,66248,31
東京都臨時医療施設（国立病院機構東京病院）,64965,28
医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,63345,18
公益財団法人　榊原記念財団　附属　榊原記念病院,62842,29
医療法人社団　久保田産婦人科病院,62112,27
社会福祉法人　聖ヨハネ会　桜町病院,61431,32
医療法人社団　千秋会　田中脳神経外科病院,59110,14
杉並区休日等夜間急病診療所,58071,21
国立研究開発法人　国立精神・神経医療研究センター病院,56555,23
医療法人財団　慈生会　野村病院,55899,19
武蔵野陽和会病院,53540,10
藤村病院,52648,27
医療法人社団　欣助会　吉祥寺病院,52589,11
医療法人社団　飯野病院,51204,35
公益財団法人　結核予防会　複十字病院,49391,26
天沼診療所,47823,10
医療法人財団　緑秀会　田無病院,46272,21
医療法人　泰一会　多摩北整形外科病院,45485,17
公益財団法人　井之頭病院,44856,14
医療法人社団　永寿会　三鷹中央病院,43375,17
医療法人社団　はなぶさ会　島村記念病院,42652,10
市毛診療所 東京都練馬区,41093,10
医療法人社団　大日会　小金井太陽病院,40420,16
