施設名,患者数合計,上位3頻出回数
東久留米市休日診療所,154330,79
佐々総合病院,152161,88
公立昭和病院,152004,64
武蔵野赤十字病院,147616,83
医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,139441,54
緑風荘病院,117111,26
杏林大学医学部付属病院,112985,44
順天堂大学医学部附属練馬病院,108338,68
医療法人社団　東京白報会　みたか在宅診療所,106131,33
医療法人　徳洲会　武蔵野徳洲会病院,96239,34
医療法人社団　東光会　西東京中央総合病院,85674,47
医療法人社団　薫風会　山田病院,77465,44
地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,72625,21
小金井リハビリテーション病院,63647,23
医療法人社団　好仁会　滝山病院,62329,30
練馬区石神井休日急患診療所,60297,20
吉祥寺こころの診療所,57381,11
医療法人社団　山本・前田記念会　前田病院,56835,33
医療法人社団　新新会　多摩あおば病院,53162,12
社会福祉法人　聖ヨハネ会　桜町病院,51064,27
医療法人社団　杏順会　越川病院,49584,13
武蔵野陽和会病院,49573,10
医療法人社団　千秋会　田中脳神経外科病院,49473,13
医療法人財団　荻窪病院,48921,22
医療法人財団　緑秀会　田無病院,44749,21
社会医療法人社団　愛有会　久米川病院,44326,9
東京都臨時医療施設（国立病院機構東京病院）,42089,15
医療法人社団　欣助会　吉祥寺病院,40845,4
医療法人社団　はなぶさ会　島村記念病院,40092,8
東村山市休日準夜応急診療所,37713,9
医療法人社団　久保田産婦人科病院,35854,13
城西病院,35671,10
市毛診療所 東京都練馬区,35284,8
医療法人社団　永寿会　三鷹中央病院,34007,15
国立研究開発法人　国立精神・神経医療研究センター病院,33007,9
富士見通り診療所,32341,19
公益財団法人　井之頭病院,32141,9
医療法人社団　大日会　小金井太陽病院,29105,12
公益財団法人　結核予防会　複十字病院,28092,9
医療法人社団　遼山会　関町病院,25936,8
医療法人社団　藤啓会　北町診療所,25753,8
公益財団法人　武蔵野健康づくり事業団　付属診療所,25552,6
医療法人社団　陽和会　にしくぼ診療所,24004,3
大泉生協病院,22782,12
医療法人社団　花みずき会　保谷厚生病院,22460,20
北多摩生協診療所,22253,1
医療法人　泰一会　多摩北整形外科病院,22185,5
医療法人　啓仁会　森本病院,21656,5
一般財団法人　天誠会　武蔵境病院,21412,13
境南耳鼻咽喉科診療所,20402,9
みその診療所,19750,8
北多摩中央医療生活協同組合　みなみうら生協診療所,19396,6
医療法人社団　東仁会　吉祥寺あさひ病院,19208,5
医療法人財団　慈生会　野村病院,19066,2
杉並リハビリテーション病院,19052,4
共立診療所,18551,11
さくらコート青葉町診療所,18402,5
医療法人社団　佑友会　ひばりケ丘診療所,18262,9
公益財団法人　榊原記念財団　附属　榊原記念病院,18195,4
黒目川診療所,16724,6
医療法人社団　武蔵野会　一橋病院,15569,11
救世軍　清瀬病院,15537,2
武蔵境病院付属あんずクリニック,15399,5
医療法人社団　純正会　東大泉病院,15199,5
医療法人社団　じうんどう　慈雲堂病院,15020,6
医療法人社団　親和会　杉並病院,14678,5
医療法人社団　幸悠会　逸見病院,13711,3
学園診療所,13680,5
東京衛生アドベンチスト病院附属めぐみクリニック,13564,3
医療法人社団　ゆうの会　むさしの共立診療所,13553,4
上井草在宅支援診療所,13456,3
医療法人社団　市毛整形外科診療所,12909,3
医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,12889,2
堀ノ内病院,12617,7
医療法人社団　成友会　小森病院,12550,5
たけうち診療所,12198,2
河北総合病院 分院,11471,0
社会福祉法人　多摩済生医療団　多摩済生病院,11407,5
保養会　竹丘病院,11085,4
清瀬診療所,10377,3
柳橋診療所 西東京市,10050,3
医療法人社団　碧水会　長谷川病院,9968,3
一般社団法人　小平市医師会　応急診療所,9320,5
下井草診療所,9294,0
上井草診療所,8866,4
東久留米なごみ内科診療所,8861,2
西東京市休日診療所,8859,2
大泉病院,8741,5
医療法人社団　雄心会　山崎病院,8103,3
山中病院,7859,0
吉方病院,7737,2
社会福祉法人　上宮会　清瀬リハビリテーション病院,7619,1
杉並区休日等夜間急病診療所,7608,1
社会福祉法人　信愛報恩会　信愛病院,7344,0
医療法人社団　實理会　東京国際大堀病院,7316,2
武蔵野会　新座病院,6913,3
医療法人社団　恵友会　三恵病院,6814,0
やさか記念病院,6159,0
医療法人社団　健智会　さいわい町診療所,5862,3
藤村病院,5727,0
社会福祉法人　白十字会　東京白十字病院,5651,0
医療法人社団　総合会　武蔵野中央病院,5636,2
黒目川診療所西東京,4954,5
医療法人財団　西武中央病院,4922,1
医療法人社団　東山会　調布東山病院,4916,2
天沼診療所,4714,1
片山診療所,4494,2
医療法人社団　健育会　ねりま健育会病院,4189,1
医療法人社団　良江会　久留米ヶ丘病院,4068,1
南しばくぼ診療所,4005,1
東京都　東村山福祉園診療所,3910,0
緑成会病院,3817,0
社会福祉法人　浴光会　国分寺病院,3737,1
医療法人財団　美生会　小金井病院,3412,0
東京都清瀬喜望園診療所,3343,0
清瀬療護園診療所,3335,0
静風荘病院,3189,0
小野診療所,3173,0
医療法人社団　武蔵野会　小平中央リハビリテーション病院,3037,1
阿佐ヶ谷すずき診療所,3032,0
医療法人社団　大坪会　北多摩病院,3022,0
医療法人社団　飯野病院,2979,0
社会福祉法人　慈生会　ベトレヘムの園病院,2974,0
社会福祉法人　東京弘済園　弘済園診療所,2962,0
医療法人社団　大慈会　慈秀病院,2947,0
佐藤神経内科診療所,2858,1
医療法人社団　馨風会　徳島診療所,2673,0
医療法人社団　翠会　陽和病院,2616,0
むさし小金井診療所,2359,0
三多摩医療生活協同組合　国分寺診療所,2081,1
恩多町診療所,2004,0
和光リハビリテーション病院,1974,0
医療法人社団　岸清会　清瀬下宿中央診療所,1875,0
前原診療所,1855,0
医療法人社団　弘善会　清瀬富士見病院,1833,0
河北前田病院,1753,0
三鷹市医師会　休日・小児平日準夜間診療所,1747,0
薬師堂診療所・乳腺外科,1713,0
医療法人社団　永寿会　ふれあい診療所,1603,0
みやまえ病院（旧寺田病院）,1588,0
医療法人社団　雅会　山本病院,1513,0
わこう在宅診療所,1337,1
愛の泉診療所,1317,1
医療法人社団　桐光会　調布病院,1196,1
やまと苑診療所,1184,0
医療法人社団　福仁会　国分寺南町診療所,1170,0
医療法人社団　慈誠会　慈誠会・練馬高野台病院,1137,0
医療法人財団　きよせ旭が丘記念病院,1117,0
西荻窪診療所,1114,0
石神井診療所,1095,0
医療法人社団　啓医会　国分寺内科中央病院,1050,0
富士見台診療所,1045,0
調布診療所,1019,0
医療法人社団 成宗診療所,949,1
桃井診療所,936,0
医療法人財団　赤光会　斎藤病院,916,0
美穂診療所,892,1
所沢秋津診療所,845,0
社会福祉法人　村山苑　ハトホーム診療所,754,0
東村山診療所,741,0
本町診療所,683,0
吉祥寺南町診療所,617,0
武蔵野みどり診療所,584,0
医療法人社団　太樹会　鈴の木台診療所,466,1
久我山おおすぎ診療所,416,0
医療法人社団　康野診療所,404,0
髙田整形外科病院,325,0
栄光会第一診療所,311,0
八幡診療所,254,0
和光内科外科診療所,119,0
調布市休日夜間急患診療所,91,0
牟礼高山診療所,62,0
