town,town_norm,CITY_NAME_from_master,S_NAME_from_master,total_87,東久留米市休日診療所,佐々総合病院,公立昭和病院,武蔵野赤十字病院,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,緑風荘病院,杏林大学医学部付属病院,順天堂大学医学部附属練馬病院,医療法人社団　東京白報会　みたか在宅診療所,医療法人　徳洲会　武蔵野徳洲会病院
杉並区上荻三丁目,杉並区上荻三丁目,杉並区,上荻三丁目,8036,0.0,0.0,0.0,0.0,547.0,0.0,145.0,140.0,0.0,0.0
杉並区上荻四丁目,杉並区上荻四丁目,杉並区,上荻四丁目,7929,54.0,63.0,60.0,0.0,362.0,0.0,60.0,0.0,57.0,0.0
杉並区西荻北二丁目,杉並区西荻北二丁目,杉並区,西荻北二丁目,13454,0.0,0.0,0.0,131.0,776.0,0.0,144.0,77.0,0.0,0.0
杉並区西荻北三丁目,杉並区西荻北三丁目,杉並区,西荻北三丁目,12720,0.0,66.0,0.0,158.0,1282.0,0.0,146.0,149.0,73.0,0.0
杉並区西荻北四丁目,杉並区西荻北四丁目,杉並区,西荻北四丁目,11064,0.0,56.0,56.0,0.0,1226.0,111.0,141.0,182.0,0.0,0.0
杉並区西荻北五丁目,杉並区西荻北五丁目,杉並区,西荻北五丁目,3876,0.0,0.0,0.0,0.0,536.0,0.0,0.0,98.0,0.0,61.0
杉並区今川二丁目,杉並区今川二丁目,杉並区,今川二丁目,4450,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
杉並区今川三丁目,杉並区今川三丁目,杉並区,今川三丁目,11726,53.0,0.0,139.0,0.0,96.0,48.0,231.0,51.0,0.0,0.0
杉並区今川四丁目,杉並区今川四丁目,杉並区,今川四丁目,8122,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
杉並区桃井二丁目,杉並区桃井二丁目,杉並区,桃井二丁目,11420,0.0,0.0,53.0,150.0,631.0,0.0,464.0,135.0,0.0,0.0
杉並区桃井三丁目,杉並区桃井三丁目,杉並区,桃井三丁目,9099,0.0,0.0,0.0,0.0,0.0,0.0,158.0,218.0,0.0,93.0
杉並区桃井四丁目,杉並区桃井四丁目,杉並区,桃井四丁目,6159,0.0,0.0,0.0,0.0,0.0,45.0,0.0,49.0,0.0,0.0
杉並区井草五丁目,杉並区井草五丁目,杉並区,井草五丁目,3622,0.0,345.0,46.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0
杉並区上井草二丁目,杉並区上井草二丁目,杉並区,上井草二丁目,13206,0.0,115.0,284.0,0.0,339.0,193.0,285.0,928.0,0.0,158.0
