CITY_CODE,TOWN_CODE,TOWN_CODE_11,CITY_NAME,S_NAME,TOWN_NAME_4COL,POP,__srcfile,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_受容者(小数),0～4歳_受容者(四捨五入),5～9歳_受容者(小数),5～9歳_受容者(四捨五入),10～14歳_受容者(小数),10～14歳_受容者(四捨五入),15～19歳_受容者(小数),15～19歳_受容者(四捨五入),20～24歳_受容者(小数),20～24歳_受容者(四捨五入),25～29歳_受容者(小数),25～29歳_受容者(四捨五入),30～34歳_受容者(小数),30～34歳_受容者(四捨五入),35～39歳_受容者(小数),35～39歳_受容者(四捨五入),40～44歳_受容者(小数),40～44歳_受容者(四捨五入),45～49歳_受容者(小数),45～49歳_受容者(四捨五入),50～54歳_受容者(小数),50～54歳_受容者(四捨五入),55～59歳_受容者(小数),55～59歳_受容者(四捨五入),60～64歳_受容者(小数),60～64歳_受容者(四捨五入),65～69歳_受容者(小数),65～69歳_受容者(四捨五入),70～74歳_受容者(小数),70～74歳_受容者(四捨五入),75～79歳_受容者(小数),75～79歳_受容者(四捨五入),80～84歳_受容者(小数),80～84歳_受容者(四捨五入),85～89歳_受容者(小数),85～89歳_受容者(四捨五入),90～94歳_受容者(小数),90～94歳_受容者(四捨五入),95～99歳_受容者(小数),95～99歳_受容者(四捨五入),100歳以上_受容者(小数),100歳以上_受容者(四捨五入),SUM_受容者(小数),SUM_受容者(四捨五入),CITY_NAME_from_master,S_NAME_from_master,town_name_show,LON,LAT,dist_km
27102,001001,27102001001,大阪市都島区,片町一丁目,大阪府大阪市都島区片町一丁目,1562.0,h03_27.csv,47.0,27.0,18.0,31.0,91.0,207.0,147.0,155.0,142.0,128.0,114.0,79.0,53.0,46.0,47.0,28.0,14.0,7.0,0.0,1.0,0.0,1.7813,2.0,1.40292,1.0,0.6624,1.0,0.76229,1.0,2.15397,2.0,5.87259,6.0,4.705469999999999,5.0,5.19715,5.0,4.97142,5.0,5.00736,5.0,5.0103,5.0,4.54329,5.0,3.3496,3.0,3.72646,4.0,4.41565,4.0,3.13516,3.0,1.6814,2.0,0.80381,1.0,0.0,0.0,0.10021,0.0,0.0,0.0,59.28275,60.0,大阪市都島区,片町一丁目,片町一丁目,,,
27102,001002,27102001002,大阪市都島区,片町二丁目,大阪府大阪市都島区片町二丁目,846.0,h03_27.csv,20.0,3.0,7.0,6.0,71.0,115.0,88.0,75.0,64.0,54.0,37.0,42.0,30.0,24.0,30.0,13.0,10.0,7.0,6.0,0.0,0.0,0.758,1.0,0.15588,0.0,0.2576,0.0,0.14754,0.0,1.68057,2.0,3.26255,3.0,2.81688,3.0,2.51475,3.0,2.24064,2.0,2.11248,2.0,1.6261500000000002,2.0,2.41542,2.0,1.8960000000000001,2.0,1.94424,2.0,2.8185000000000002,3.0,1.45561,1.0,1.201,1.0,0.80381,1.0,0.6012599999999999,1.0,0.0,0.0,0.0,0.0,30.70888,31.0,大阪市都島区,片町二丁目,片町二丁目,,,
27102,003001,27102003001,大阪市都島区,東野田町一丁目,大阪府大阪市都島区東野田町一丁目,2046.0,h03_27.csv,48.0,24.0,38.0,40.0,172.0,288.0,211.0,148.0,155.0,178.0,176.0,133.0,63.0,52.0,35.0,29.0,22.0,12.0,3.0,4.0,0.0,1.8192000000000002,2.0,1.24704,1.0,1.3984,1.0,0.9836,1.0,4.07124,4.0,8.17056,8.0,6.754109999999999,7.0,4.96244,5.0,5.42655,5.0,6.963360000000001,7.0,7.735200000000001,8.0,7.64883,8.0,3.9816000000000003,4.0,4.21252,4.0,3.28825,3.0,3.24713,3.0,2.6422,3.0,1.37796,1.0,0.30062999999999995,0.0,0.40084,0.0,0.0,0.0,76.63166000000001,75.0,大阪市都島区,東野田町一丁目,東野田町一丁目,,,
27102,003002,27102003002,大阪市都島区,東野田町二丁目,大阪府大阪市都島区東野田町二丁目,463.0,h03_27.csv,12.0,3.0,0.0,1.0,5.0,35.0,37.0,26.0,26.0,36.0,37.0,29.0,21.0,10.0,14.0,22.0,25.0,19.0,7.0,4.0,0.0,0.45480000000000004,0.0,0.15588,0.0,0.0,0.0,0.02459,0.0,0.11835,0.0,0.99295,1.0,1.18437,1.0,0.8717799999999999,1.0,0.91026,1.0,1.40832,1.0,1.6261500000000002,2.0,1.6677899999999999,2.0,1.3272000000000002,1.0,0.8101,1.0,1.3153000000000001,1.0,2.46334,2.0,3.0025,3.0,2.18177,2.0,0.7014699999999999,1.0,0.40084,0.0,0.0,0.0,21.61776,20.0,大阪市都島区,東野田町二丁目,東野田町二丁目,,,
27102,003003,27102003003,大阪市都島区,東野田町三丁目,大阪府大阪市都島区東野田町三丁目,399.0,h03_27.csv,10.0,7.0,4.0,2.0,16.0,20.0,16.0,21.0,20.0,24.0,23.0,32.0,29.0,27.0,24.0,34.0,22.0,5.0,4.0,0.0,0.0,0.379,0.0,0.36372,0.0,0.1472,0.0,0.04918,0.0,0.37872,0.0,0.5674,1.0,0.51216,1.0,0.7041299999999999,1.0,0.7001999999999999,1.0,0.93888,1.0,1.01085,1.0,1.84032,2.0,1.8328000000000002,2.0,2.18727,2.0,2.2548000000000004,2.0,3.80698,4.0,2.6422,3.0,0.57415,1.0,0.40084,0.0,0.0,0.0,0.0,0.0,21.290799999999997,22.0,大阪市都島区,東野田町三丁目,東野田町三丁目,,,
27102,003004,27102003004,大阪市都島区,東野田町四丁目,大阪府大阪市都島区東野田町四丁目,1365.0,h03_27.csv,31.0,18.0,24.0,29.0,95.0,123.0,114.0,95.0,79.0,74.0,78.0,69.0,72.0,72.0,48.0,49.0,37.0,34.0,10.0,1.0,0.0,1.1749,1.0,0.93528,1.0,0.8832,1.0,0.71311,1.0,2.24865,2.0,3.48951,3.0,3.6491399999999996,4.0,3.1853499999999997,3.0,2.76579,3.0,2.89488,3.0,3.4281,3.0,3.96819,4.0,4.550400000000001,5.0,5.83272,6.0,4.509600000000001,5.0,5.48653,5.0,4.4437,4.0,3.90422,4.0,1.0021,1.0,0.10021,0.0,0.0,0.0,59.16558,59.0,大阪市都島区,東野田町四丁目,東野田町四丁目,,,
27102,003005,27102003005,大阪市都島区,東野田町五丁目,大阪府大阪市都島区東野田町五丁目,1580.0,h03_27.csv,31.0,17.0,34.0,26.0,120.0,202.0,146.0,107.0,92.0,118.0,102.0,80.0,66.0,75.0,88.0,77.0,40.0,35.0,15.0,2.0,0.0,1.1749,1.0,0.88332,1.0,1.2511999999999999,1.0,0.63934,1.0,2.8404,3.0,5.73074,6.0,4.6734599999999995,5.0,3.5877099999999995,4.0,3.22092,3.0,4.61616,5.0,4.4829,4.0,4.6008,5.0,4.171200000000001,4.0,6.07575,6.0,8.2676,8.0,8.62169,9.0,4.804,5.0,4.01905,4.0,1.50315,2.0,0.20042,0.0,0.0,0.0,75.36470999999999,77.0,大阪市都島区,東野田町五丁目,東野田町五丁目,,,
27102,004001,27102004001,大阪市都島区,中野町一丁目,大阪府大阪市都島区中野町一丁目,1294.0,h03_27.csv,15.0,13.0,14.0,16.0,137.0,204.0,127.0,98.0,82.0,87.0,74.0,43.0,31.0,33.0,42.0,42.0,34.0,30.0,27.0,8.0,3.0,0.5685,1.0,0.67548,1.0,0.5152,1.0,0.39344,0.0,3.24279,3.0,5.7874799999999995,6.0,4.06527,4.0,3.2859399999999996,3.0,2.87082,3.0,3.4034400000000002,3.0,3.2523000000000004,3.0,2.47293,2.0,1.9592000000000003,2.0,2.67333,3.0,3.9459000000000004,4.0,4.70274,5.0,4.0834,4.0,3.4449,3.0,2.70567,3.0,0.80168,1.0,0.30062999999999995,0.0,55.15103999999999,55.0,大阪市都島区,中野町一丁目,中野町一丁目,,,
27102,004002,27102004002,大阪市都島区,中野町二丁目,大阪府大阪市都島区中野町二丁目,1953.0,h03_27.csv,33.0,40.0,40.0,59.0,154.0,148.0,148.0,133.0,139.0,153.0,109.0,111.0,77.0,110.0,95.0,97.0,53.0,18.0,11.0,1.0,0.0,1.2507000000000001,1.0,2.0784,2.0,1.472,1.0,1.4508100000000002,1.0,3.64518,4.0,4.19876,4.0,4.73748,5.0,4.45949,4.0,4.86639,5.0,5.98536,6.0,4.7905500000000005,5.0,6.38361,6.0,4.8664000000000005,5.0,8.9111,9.0,8.92525,9.0,10.86109,11.0,6.3652999999999995,6.0,2.06694,2.0,1.10231,1.0,0.10021,0.0,0.0,0.0,88.51733000000002,87.0,大阪市都島区,中野町二丁目,中野町二丁目,,,
27102,004003,27102004003,大阪市都島区,中野町三丁目,大阪府大阪市都島区中野町三丁目,1065.0,h03_27.csv,23.0,25.0,30.0,30.0,74.0,120.0,95.0,75.0,60.0,77.0,63.0,60.0,45.0,48.0,52.0,44.0,34.0,31.0,11.0,3.0,0.0,0.8717,1.0,1.299,1.0,1.104,1.0,0.7377,1.0,1.75158,2.0,3.4044,3.0,3.0409499999999996,3.0,2.51475,3.0,2.1006,2.0,3.0122400000000003,3.0,2.76885,3.0,3.4506,3.0,2.8440000000000003,3.0,3.88848,4.0,4.885400000000001,5.0,4.92668,5.0,4.0834,4.0,3.55973,4.0,1.10231,1.0,0.30062999999999995,0.0,0.0,0.0,51.647,52.0,大阪市都島区,中野町三丁目,中野町三丁目,,,
